person	too
fishhook	singil
hunger	ofa
sugar cane	onas
blanket	oles
family	bonat
trumpet	trompita
ringworm	kolad
brake	prino
sole	chafan
sheet	esim
whip	baras
punishment	chosa
uncooked	bekas
absence	dangan
flower	bonga
fire	afoy
elbow	siho
complaint	riri
angel	anghil
we	kawi
apple	mansanas
head	toktok
new	tebol
suddenly	bigla
ghost	aninit
fine	dasa
snack	malmal
four	epat
areca	bowa
leaf	bolong
end	ngoro
thunder	kirol
buttocks	oget
tomato	kamatis
belief	pamati
devil	sairo
mange	kodkod
eye	matha
sky	dangit
tool	ngano
sadness	engos
cushion	chepen
warning	bancha
money	pilak
rice	alang
digging	sangkap
small	binga
shrimp	pasayan
cassava	kahoy
owl	bangaw
container	sibog
edge	kilig
clay	degdeg
palm	palad
female	kaong
boil	pelsa
black pepper	paminta
gold	balitok
small	agong
tongue	taytay
gate	pasbol
arm	diwa
lucky	magasat
water	chanom
expensive	palit
lameness	pilay
office	opisina
greed	agom
space	doong
cock	kawitan
eggplant	tarong
smoke	asok
scissors	katdi
loop	sangal
celebration	kihan
span	karang
chick	sisiw
certain	oneg
plaque	chani
eyelash	paspas
gray	ogan
sword	kampilan
civet	tabaw
vomit	otha
drizzle	demdem
large	paniki
homemade	kingki
fish	kiskis
coconut	kawil
clean	malinis
dove	kalapati
oink	ngikngik
influenza	trangkaso
fence	alad
ten	sampolo
year	tawen
slingshot	palsiit
nit	ilit
beard	iming
comb	sagaysay
red	pitpit
name	ngaran
skirt	kaing
chin	pangal
mango	mangka
morning	agsapa
stone	batho
church	simbaan
yeast	bobod
ear	ngila
Chinese cabbage	pitsay
jackfruit	dangka
egg	ikdog
eel	kiwet
dust	depok
value	banol
coarse	pasil
glass	salming
youngest	seket
wristwatch	dilos
immature	sabsab
scale	siksik
eagle	salagma
twin	singin
small	sihi
prayer	atob
scar	kabat
yes	owen
offense	senit
width	banaw
woman	bii
meaning	banag
dog	angal
noodle	pangsit
example	arig
disappointment	dismaya
backyard	baeng
bolo	etak
coffin	kolong
taro	pising
cat	ngiyaw
blink	kimkim
preparation	sagana
how many	piya
shade	sirom
gall bladder	apko
tea	itsa
sweat	dinget
accent	ayog
early	dadabi
hair	bowek
crocodile	bowaja
vagina	botho
saliva	ilol
waist	gwakes
face	dofa
neck	bokdow
skin	bedat
liver	altiy
rib	tagdang
intestine	sosot
lip	sobil
knee	poweg
navel	poseg
bone	pohel
shoulder	pasanan
uncle	pangamaan
testis	paltak
chest	pahow
penis	othin
brain	othek
lower	olpo
nipple	ngoyngoyob
earwax	kolideng
heel	mohod
snout	ngoseb
forehead	temok
scapula	taheb
lower	taladong
eyebrow	kiriy
uterus	kilkiling
armpit	kikkihan
little finger	kihing
semen	kesis
throat	kalongkong
finger	kalomot
palate	kalengahang
back	jaod
nape	jenged
thigh	alebong
owl	angkop
smell	angob
tick	angpas
spirit	angpasit
body odor	angsed
bitter gourd	apalja
big	apangel
wire	aramdi
small	asimiy
salty	engasin
puppy	ngafol
sugar	asokal
wild	athap
sheath	athip
cockroach	badeki
hot spring	badekbek
wheel	badilis
menstruation	badiyang
jail	badoran
servant	bagaen
top	bagwet
turtle	bahoko
lightning	bakilat
fishing net	balcharo
house	baliy
five	balkeg
belt	balkes
package	balkot
cockscomb	balongibing
fragrance	bangdo
potato	bathatas
garbage	basora
guava	bajawas
vacation	bahasjon
young	balodahi
leg	baniy
type	basikol
tadpole	bayek
bamboo	bayengbeng
pregnancy	bechel
fishing line	belniw
bile	belsis
only	bengat
door	bengbeng
share	betang
small	bileg
wild	alingo
whirlwind	alipospos
toy	amayo
playmate	kaamayo
bumblebee	ambiyongan
evil	ampasit
season	sianian
frost	angchap
shadow	alichon
sun	akow
length	akgwang
large	akdo
backpack	akbot
woven	agwel
truth	agpayso
dragonfly	adodon
alcoholic beverage	adak
learning	achal
lawyer	abokaro
spouse	abidat
bladder	birong
poverty	bitheg
ash	bithibit
famine	bithil
life	biyag
responsibility	biyang
Tuesday	Madtis
Wednesday	Midkolis
Thursday	Kowibis
Friday	Biyarnis
Saturday	Sabaro
Monday	Donis
Sunday	Domingko
roof	bobongan
blindness	bodki
meat	bohi
hawk	bokaw
goiter	bokjong
monkey	bolengen
pronunciation	bolikas
small	bolilit
rainbow	bolnong
prayer	bonong
explosion	bongbong
line	borit
east	bosakan
west	denakan
bandit	bosol
curse	botbot
drunkenness	botheng
wind	chahem
windy	marekem
needle	chakom
large	chalay
wave	chalojon
news	chamag
scallion	changko
cliff	chepdas
soup	chigo
belief	chigwa
wall	chingching
dispute	chingkol
low	chochongan
length	chokiy
lumber	cholong
mountain	chontog
spit	chopda
grasshopper	choron
feather	chotchot
salary	dagbo
moss	dagoy
saw	dakari
leather	dalat
metal	danchok
sweet potato	dantong
round	dangaja
small	dasona
rust	dathi
flesh	dawan
rice	debeg
emotion	dekna
blister	depto
book	dibcho
upper	difad
difficulty	digat
demon	dimonyo
soul	dinawa
bee	dinowan
law	dinteg
backdoor	dingagwan
jicama	dingkamas
receipt	disibo
December	Disimbri
list	distaan
termite	diyek
thread	dobid
world	dobong
cloth	dofot
place	dogad
measurement	dohod
arrow	dokbong
sweet potato	dokto
week	domingko
pomelo	dongban
prayer	dowado
stream	dowag
jealousy	edem
handle	egchi
knife	egwas
thirst	ekow
orphan	engoso
fart	etot
soursop	goyabano
vine	gwahal
flower	gwalgwadik
eight	gwalo
axe	gwasay
July	Holyo
Chinese cabbage	hombok
age	idad
clothespin	ifit
tail	ihol
selfishness	ikot
spouse	imbaliy
rice	ineng
seedling	inengan
hot	inepoy
drinking	inoman
school	iskwida
sword	ispada
mirror	ispiho
spirit	ispirito
lie	itek
breeze	jabjab
thin	jafit
breath	jasjas
earthquake	jegjeg
baby food	jogaw
huge	jowjow
daytime	kaakawan
ancestor	kaapoan
horse	kabajo
padlock	kabikab
long	kabjon
supreme	kabonian
chain	kadina
thin	kafot
industrious	ekaget
cause	kagol
dawn	kagwis
parent-in-law	kaising
friend	kajem
henhouse	kakaban
spider	kakagwa
small	kakajap
eating	kakanan
crow	kakaok
nighttime	kalabian
big	kalakiyan
large	kalbot
string	kalchang
jail	kalebosan
shield	kalesay
digging	kalidkid
desire	kalikagom
sheep	kalniro
mud	kaloy
large	kalpat
carpenter	kalpintiro
road	kalsara
centipede	kamajan
mistake	kamali
knife	kamdang
property	kameng
smallpox	kamodas
grave	kamposan
cooking	kancharo
candle	kanchila
goat	kanching
celebration	kanjaw
goose	kanso
coffee	kapian
skin	karambel
prayer	kararag
custom	karawjan
authority	karebengan
rubber band	karing
social	kasaad
necessity	kasapolan
cucumber	kasimon
cousin	kasingsing
spendthrift	kastarol
expense	kastos
expensive	makastos
milk	kathas
leather	kathat
itchy	magetel
footstep	kathin
bathroom	katiljas
bed	katiri
spear	kayang
conical	kaybang
pigpen	kebkeban
landslide	kechay
domesticated	kechel
intestinal	kedang
wall	kedeb
pinch	kedit
first	kednal
short	kedpeng
strength	kedsang
wooden	kedso
round	kejag
tree	kejow
epilepsy	kelchas
shout	keljaw
firefly	kemkemti
natural	kenchat
dried	kenot
short	kespo
blanket	ketap
coffee grinder	kidingan
young	kikaw
cold	kilaban
headache	kilkil
tug-of-war	kinoyod
faucet	kiripo
noisy	mahisi
bedbug	kitheb
lie	kitjaw
liar	mahitjaw
cicada	kiyes
war	kobat
use	kobchal
spoon	kodsara
narrow	kofit
wallet	kofita
circumcision	kogit
dream	kokip
bleach	kolada
rattan	kolbong
harelip	kolengis
scab	kolid
irrigation	kolokol
cloud	kolpot
freshwater	kombibi
flute	komising
small	kompay
edible	komsil
reward	konkona
matches	korabis
electricity	korinti
charcoal	kosang
walking stick	kosnod
head	kotho
guard	kowadja
room	kowadto
square	kowagdaro
deer	makgwas
bowl	malokong
cooking oil	maltiha
believer	mamati
young	mamechihit
boar	manador
sinner	managbasol
visitor	mangidi
good	mapteng
passion fruit	masaplora
plane	katham
third	maykafintedo
possible	mebedin
sticky	meket
dead	etiy
intermittent	migis
minute	minoto
endurance	mingel
point	modsok
group	mokdo
piglet	moksit
large	molmol
mung bean	monggo
mustard	mostasa
nose	motheg
again	mowan
flavor	namat
expectation	namnama
cry	nangis
act	nangoy
vegetable	natheng
thought	nemnem
November	Nobimbri
number	nomiro
pimple	nonong
noise	notheng
noisy	manoteng
talk	notnot
water buffalo	nowang
cinder	ngaap
burning	ngalab
loud	ngalakngak
disturbance	ngalawngaw
family	pamilja
gun	paltog
inedible	palpalan
mountain	palingping
chair	palangka
rope	pakod
hook	pakgwit
ladder	pakchal
forgiveness	pakawan
waterfall	pajaspas
fish	paideng
unhusked	pahiy
hot	indotho
red	kintoman
prophecy	padto
crow	owak
yawn	owab
diarrhea	othoy
rat	othot
wrapping	othom
debt	othang
bubble	osab
rainy	sioranan
last	onod
mid	omsiyang
muteness	omnel
slander	omang
deer	olsa
tree	oling
whirlpool	oligweg
snake	oleg
October	Oktobri
cough	ok-ok
small	okbong
outer	ohis
nest	ogong
whetstone	ogolan
sign of the cross	ogis
custom	ogadi
work	obda
newborn	ngoyat
howl	ngokngok
exclamation	ngoaman
coconut	ngiyog
dirt	ngithi
first	nginaw
playing card	ngifis
headhunting	ngayow
growl	ngarednged
level	panad
representative	panakaangel
divine	panakabalin
grave	panchon
evidence	paneknek
small	ditdit
nephew	panganahan
meal	panganan
excuse	pangbal
pineapple	pangchan
heartbeat	pegpeg
moonlight	pedak
wet	payow
wing	payad
death	pathiy
star	pasingsing
rattan	pasiking
happening	pasamak
creation	parsowa
father	papang
aunt	panginaan
transportation	peliti
short	pelnek
cock	peltan
downriver	pesaw
boundary	peteg
blast	petok
second	pidgwa
side	piig
chicken	pinikpikan
abaca	pintok
full moon	pingil
plate	pingkan
iron	pirinsa
bottle	pirongko
twenty	pisita
small	piskaw
soil	pithek
trust	piyal
festival	piyasta
hairstyle	pohis
cowlick	poligwesgwes
burial	ponpon
ambition	pontilja
offspring	potot
rainstorm	powek
problem	problima
duty	rebeng
gift	rigalo
respect	rispito
poison	sabirong
flower	sabsabong
joy	chadsak
bunch	safal
female	safiy
cobweb	safot
wild	sagwag
dried	sagwal
doorway	sagwejen
sickness	sahit
area	sahop
horn	sakdod
earthquake	sakdong
front	sakepan
shelter	sakmao
antique	salaw
fifty	salepi
question	salodsod
tamarind	salomagi
harrow	saloysoy
cement	saminto
whole	sandabi
whip	sapalit
chayote	sayoti
thorn	sebit
beginning	sechek
thickness	sechel
flying	sigsigmot
original	sigod
house	sigib
good	siged
time	sidenekan
mature	siboyas
time	sibosahan
gnat	sepsep
sideburns	sepig
trunk	sengeg
love	semek
door	selbeng
inside	sekep
sooty	segseg
upriver	sedong
brushy	sedek
cigarette	sikariljo
food	sikdop
area	sikop
secret	sikrito
change	siljo
false	sinan
thread	sinodid
city	siyodad
sauce	siwsiwan
silverfish	sipet
explanation	sodsod
pillowcase	sofot
gambling	sogal
wound	sogat
short	sogod
corner	sohong
soldier	solcharo
toy	sinolsolcharo
soldier	solibaw
hen	solkok
joke	solog
answer	songbat
beak	songsong
drying	soodan
lid	sowep
salary	sowilcho
top	teneng
freshwater	temtem
mumps	tek-ing
earthworm	tegwing
phlegm	teg-ak
belch	teg-ab
pierced	tebing
cloth	tebak
type	taychek
blanket	tayaw
inheritance	tawid
butterfly	tatabaw
towel	towalja
reign	toray
act	topdik
personhood	kinatoo
price	tongkal
