encyclopedia	encyclopaedia
town	toun
thumb	thoum
sickly	peely-wally
haggis	thairm
tae	get tae fuck
dig	howk
hoo	hoo are ye
whit	whit like
burn	scowder
minute	meenit
dexterous	knackie
parlor	aben
over-	ower-
already	a'ready
splinter	spail
fortnight	fortnicht
neighbour	neibour
Moon	Mune
precise	preceese
these	thir
highly	heichly
round	roond
rim	roon
sob	sab
young at heart	goodwin
wag	linkie
lead	fordel
pig	grice
thistle	thrissel
gold	gowd
gold	goold
hook	heuk
pregnant	biggen
long ago	lang syne
grey seal	selch
soldier	sodger
hauf	hauf a tale is eneuch for a wise man
half	hauf
enough	eneuch
soft	saft
byspale	byspel
puffin	tammie norrie
osprey	fish hawk
wether	wedder
foreign	fremmit
formerly	umwhile
formerly	umquhile
marble	bool
marbles	bools
old man	bodach
advent	oncome
kirk	kirkward
tear	tirr
toad	taid
bogle	boglet
pithead	pitheid
curlew	whaup
squeeze	knuse
doesn't	doesnae
ewe	yowe
restlessness	wanrest
pale	blikken
similarly	otherways
sit	hurkle
every	ilka
beat	skelp
suchlike	siclike
limb	lith
mealy	frush
mess	aggle
good	gid
solid	solit
did	didna
crumb	pran
mild	moy
trust	lippen
jackdaw	kae
rabbit	kinnen
ask	frain
snug	queem
neck	hause
idiot	dafty
engineer	ingineer
bony	baney
fumble	fummle
swift	cliver
insufficient	flird
wouldn't	wadna
sunset	sundoun
sunshine	sunsheen
sunlight	sunlicht
meadow	meidae
Weel	Weelum
Will	Willum
grass	gress
harvest	hairst
warlike	weirlike
arm	airm
knock	daud
die	sterve
friend	freend
difficult	deeficult
useful	uisefu
system	seestem
city	ceety
hand	haund
England	Ingland
formerly	aforetimes
into	intil
death	daith
saint	saunt
hasn't	haesna
modern	modren
'cause	acause
dowry	tocher
amber	lammer
land	roch
blow	crunt
won't	winna
dawdle	daver
another	anither
sow	sawe
Muirhouse	Muirhoose
Newcastleton	Copshie
March	Mairch
April	Apryle
May	Mey
June	Juin
is	isnae
Scotland	Broch
window	winnock
house martin	windae-swallae
window	windae-sneck
windowsill	windae-sole
handful	haundfu
palm	luiffu
France	Fraunce
handful	nievefu
while	quhile
bewitch	forspeak
country	thede
fondle	cuiter
whether	quhether
boundary	meith
rage	fren
crazy	bammy
porpoise	pellock
colour	faw
deaf	deef
wrongfulness	wrength
departure	outgang
nothing	naething
porridge	parritch
ministry	meenistry
corbie	corbie messingers
asking	fraining
besides	forbye
precisely	preceesely
moorland	muirland
silver	siller
skill	skeel
civil	ceevil
pity	peety
certainly	I wis
respected	respeckit
disreputable	disrepitable
corner	hirn
weapon	weepon
behind	ahint
Semitic	Palmira
relegate	religait
which	whilk
bowman	bouman
anyway	onyway
anything	onything
anybody	onybody
slither	slidder
waesuck	waesucks
drear	driegh
devil	divil
withstand	forstand
call	umbethink
adjoining	byland
are	urnae
palm	luif
pitiful	peetiful
abate	faik
child	chield
barter	troaking
dried	roughie
weak	wankle
busy	thrang
export	klondyke
ship	klondyker
tocumen	tocum
association	samin
abreast	abreist
one	aefauld
wave	waff
chamber	chaumer
kindly	guidwilly
devil	deil
Satan	Clootie
ecstasy	exies
arrival	tocoming
flat	laich
meal	too-meill
additional	tooboot
little	too-weight
great	to-rare
turn	to-wrye
change	tochange
split	to-cleve
homosexual	buftie
policeman	labdick
careful	tenty
suck up	souk in
fate	wanweird
ring	jow
brood	weirdie
smoke	feuch
active	leish
Africa	Africae
by heart	perqueer
enough	eneugh
against	foreanent
childish	weanish
child	bairnie
mallard	muir-deuk
meadow pipit	muir cheeper
red grouse	muir foul
Dand	Ander
fortuneteller	spaewife
sorrel	sourock
stomach	gebbie
forget	forgettle
last year	fernyear
pledge	forenail
quire	quair
frightened	feart
free	fre
fright	fleg
saunter	dacker
belly	wame
perhaps	aiblins
crusty	barkit
oak	aik
jargonelle	queez-maddam
fluff	oose
branch	beuch
screech	skreigh
rascal	smaik
detained	unforholden
to	fornent
sprat	garvie
turf	flauchter-spade
flying	flaucht
turf	flaucht-spade
headlong	belly-flaucht
bolt	fire-flaucht
spread-eagle	flaucht-braid
get	get the flaucht
utensil	ruskie
false	fause
gallows	wuddy
flame	lowe
along	alangst
woe	wae
nearest	ewest
reverberation	dirl
hare	maukin
stomach	kyte
sunken	kyte-clung
beaten	fochten
sheepfold	bucht
unsteady	coggle
scolding	dirdum
harsh	chirk
dare	daur
implement	champer
moustache	moutash
wholemeal	rochie
flannel	flannen
Hender	Hendry
ae	ae loe ye
stupid	donnered
stare	gype
silly	gypit
barren	yeld
carcass	ablach
thrifty	fendie
otherwise	ithergates
unmannerly	menseless
fir	firren
home	ahame
homely	hamely
home	hamit
return	hame-gaun
homeless	hameless
homemade	hame-made
native	hamespun
homewards	hame-throu
homely	hame-aboot
coming	hame-comin
selfish	hame-drauchtit
homely	hamle
home	hamelt
whale	whaul
owl	oul
warn	disadvise
barren	eild
David	Dauid
among	amang
Wednesday	Wadensday
stonen	thrashel
undoand	umbedo
wig	jiz
Commandment	mandment
fortuneteller	spaeman
market	mercat
beating	paik
steep	stey
Dumfries	Doonhamer
bloom	blume
allow	alloo
heaven	heiven
heavenly	heivenly
daybreak	skybrek
nightfall	skysettin
not at all	no ava
scare	daunton
recompense	gainyield
hide	hiddle
thirty	threty
entangle	taigle
whelk	buckie
broil	birstle
yard	yaird
dealings	trokins
heap	rickle
other	ither
ease	bightsome
mother	minnie
magpie	pyat
smart	besmarten
aloof	abeigh
behavior	havings
stretch	abreed
sprout	breer
century	yeirhunder
rare	daimen
at random	à la volée
breakfast	disjune
breakfast	brakfast
adventure	adventur
left	caurie
fret	frait
admonish	speak a wird tae
slander	ill-speak
slanderous	ill-speakin
frank	fair-spoken
reply	speak back
watchword	ensenyie
idle	clishmaclaver
at random	beguess
dialect	byleid
quarrel	collie-shangie
covered	browden
ridgeling	riggot
freckle	ferntickle
beaten	feuchten
hatch	cleck
honk	claik
gosh	losh
broad	buirdly
scallywag	nickum
strange	antrin
Haematopus ostralegus	chalder
feat	prettikin
fondle	daut
behaved	farrand
ill-tempered	capernoity
star	starn
kitten	kittlin
new year	first-fit
good for nothing	nochtie
steelbow	steelbou
motorcar	motorcaur
tramcar	tramcaur
vehicle	trottle-caur
toddle	trottle
china	cheenae
China	Cheenae
coaxing	enculȝe
brave	fechtie
fearless	bonnie fechter
fight	fechter
holy	haly
inhabitant	indwaller
Hawick	aiger
alswa	alsua
smooth	smuith
Hawick	apern
aslant	aswaip
atwist	athraw
upside-down	awhummle
elbow	elbuck
box	ballion
foster child	dalt
bony	banie
tight-fisted	near the bane
marrowbone	marrae-bane
breastbone	breestbane
wishbone	fortuin bane
wishbone	thochtbane
marrow	marrae
hip bone	hurkle-bane
hunchbacked	hurklin
collarbone	hausebane
funny bone	dirlie-bane
breast	breest
abreast	abreest
clatter	clatter banes
emaciated	rickle o banes
tailbone	rumple-bane
wrist	shackle-bane
thighbone	thee-bane
completely	rump an stump
shoulder blade	spaul-bane
limb	spaul
socialist	blackneb
cornflower	blaver
splash	blash
abuse	snash
bluster	blouster
cleavers	bluid-tongue
reach	ryke
lantern	bowat
bowing	bowsome
appear	kyth
haver	haiver
half-witted	haivert
half-wit	haiverel
nonsense	haivers
nonsensical	haiverin
nosebag	haverpoke
oatmeal	havermeal
unfortunate	donsie
goods	guids
grandfather	guidsire
grand-	guid-
grandmother	guiddame
sister-in-law	guid-sister
brother-in-law	guid-brither
father-in-law	guid-faither
mother-in-law	guid-mither
son-in-law	guid-son
daughter-in-law	guid-dochter
mither	mither tongue
Good Book	Guid Beuk
Fuirsday	Guid Thuirsday
Fuirsday	Skyre Thuirsday
God	Guid Man
Messrs	Guid Sirs
take advantage	tak the guid o
unco	unco guid
goodness	guidness
devoid	guidless
guid	guid wirds
goodwill	guidwill
wife	guidwife
husband	guidman
deserve	hempie
splinter	skelf
auld	auld wife
housewifery	housewifeskip
widow	weedae-wife
widower	weedae-man
washerwoman	washerwife
soothsayer	weirdman
mischievous	wanweirdly
unfortunate	weirdless
fateful	weirdfu
meaning	meanin
dae	dae guid
guid	guid-gaun
guid	guid an weel
guid	a guid pickle
guid	guid place
goodly	guidly
barely	guidably
guids	guids an gear
goodwilled	guidwillt
mustn't	maunna
fairyland	Elfame
concerning	hereanent
matter	thareanent
nation	naition
weather	wather
dew	dyow
potato	pitattie
pan	pan scone
tousled	thrimmelt
fumbling	thrimmle
bruising	birsin
bristly	birsie
squeeze	chirt
constraint	streen
blow	nievel
rub	knidge
bruise	brousle
crush	grush
useless	wallidrag
deil	deil's buckie
worthy	wirthy
wirth	wirth saut til his kail
shaggy	tawtie
marry	mairy
Mary	Mairy
brewing	browst
Sarah	Saurah
behind	behoochie
extraordinary	byous
snowboard	snawbuird
fearful	feartie
movement	faird
swift	fairdy
hilltop	brae-heid
turnips	breard
soot	bruiky
tame	caif
argue	cammel
flashy	fantoush
cabbage	castie
Hawick	chumli
Hawick	chumli-brace
Hawick	chumli-can
cistern	cistren
Peebles	Cardrona
Scottish Borders	Ulston
Scottish Borders	Lambden
Tweed Water	Caddonfoot
Linn Burn	Lindean
clepe	clipe
powder	pouther
Hawick	elbi
fierce	fairce
fern	fairn
blossom	floorish
fright	fricht
president	preses
capital	caipital
gelded	libbit
tae	tae the maist pairt
mostly	maistly
almost	maistlins
mole	mowdie
janitor	jannie
photo	photie
stun	dammish
grandmother	grandmither
mither	mither-brither
mither	mither wit
grandfather	grandfaither
low	nethmost
speak	spraff
tense	tacht
such	siccan
daren't	daurna
goodman	gudeman
goodwife	gudewife
disorderly	throughither
woeful	waesome
complete	kemper
origin	springheid
plough	fauch
gravel	grevel
Earth	Yird
earthquake	yirdquauk
Mars	Maurs
Latvia	Latvie
Egypt	Egyp
Kenya	Kenyae
Libya	Libie
Slovakia	Slovakie
Slovenia	Slovenie
Romania	Romanie
Switzerland	Swisserland
Indonesia	Indonesie
gosling	gaisling
Udmurtia	Udmurtie
Karelia	Karelie
Karachay-Cherkessia	Karachay-Cherkessie
Ingushetia	Ingushetie
Kabardino-Balkariya	Kabardino-Balkarie
Kalmykia	Kalmykie
Mordovia	Mordovie
North Ossetia-Alania	North Ossetie-Alanie
Carolina	Sooth Carolina
South Dakota	Sooth Dakota
British Columbia	Breetish Columbie
Newfoundland and Labrador	Newfoundland an Labrador
Bavaria	Bavarie
Thuringia	Thuringie
owl	yuggle
trickery	joukery
misrepresentation	joukery-pawkery
information	joukery-cookery
worthless	wallydraigle
loves	luves
loved	luved
lover	luver
see	goam
Alexander	Sawnie
sweep	soop
apron	scoogie
rowan	roddin
churchyard	kirkyaird
woeful	waeful
lordly	lairdly
lonely	lanely
inglenook	ingleneuk
another	awey
golfer	gowfer
peely	peelie
ill-bred	misleared
screech	scraich
screech	scraigh
screech	scraugh
screech	screigh
screech	screich
noble	hathill
noble	athill
wakeful	waukrife
worst	waurst
whinge	wheenge
bruised	brizzed
porridge	parridge
often	oftin
bonnie	bonie
does	disna
himself	himsell
have	haena
trim	prejink
foost	foost up
ear	aicher
tedious	tedisome
yet	yeet
sackless	saikless
webster	wabster
alas	ewhow
wakeful	wakerife
reckless	ramstam
timely	tidely
repay	foryeild
lightly	lichtly
mistook	misteuk
bellyful	wamefou
twosome	twasome
heavy	sweir
leisure	bytime
rent	maill
scald	scaud
homeward	hamewith
cattle	hawkit
hellcat	hellicat
roast	howtowdie
and all	an a'
uphold	uphaud
everyday	ilkaday
weak	waik
beard	beird
tewit	teuchat
everyone	everycunt
promise	behecht
churching	kirking
cattle	haig
bool	kypie
belly	kytie
undertaken	undertane
whinstone	whunstane
on grouf	grouf
face-down	on grouf
on one's groof	groof
face-down	on one's groof
loathly	laithly
once	aince
parish	pairish
stupid	dowfart
perverse	camsteary
fistle	fissle
chicken	chucky
topsy-turvy	tapsalteerie
could	cudnae
should	shudnae
froth	froad
frothing	froading
half-wit	staumrel
hobbil	hobbel
little one	littleane
upbye	upby
murmur	murmell
impertinent	nashgab
shining	skyrin
gift	gyurd
hand in	ingive
staggering	staggersome
Davie	Dauvit
subterranean	weem
trespass	owerloup
stag	staig
strongly	steevely
unworthy	wanwordy
nominal	wanworth
quarrel	tuilyie
earth	yirth
drown	droon
vacant	vake
clepe	clype
conceited	conceity
hoarfrost	cranreuch
cranky	crankous
disorder	carfuffle
chilling	cauldrife
lowland	lawland
home	heame
ram	tuip
ewe	keb
premature	kebbit
stallion	couser
laugh	lauch
Glasgow	Glasgae
flake	fliss
little one	littlin
buried	yirdit
tobacco	strummel
concert	sangschaw
bark	yaff
ankle	queet
at random	allevolie
at random	allevoly
refrain	owerword
refrain	owercome
cake	nacket
red currant	rizzer
scorch	birsle
hoop	girr
glimpse	glisk
sparrow	spug
caraway	carvy
pipe organ	kist o' whistles
hairy	oubit
face	gizz
partridge	paitrick
silly	nipperty-tipperty
snuff	sneeshing
poverty	poortith
miserly	hoodock
young	eirack
Wikipedia	Wikipædia
rough	raucle
hesitate	tarrow
draughts	dambrod
factious	fykesome
shriek	spraich
pleasing	leeze me
crabbed	doddy
whimsical	fifish
A	A'm
ability	abeelity
inability	inabeelity
seven	seiven
Perth and Kinross	Abriven
abstain	absteen
habuliment	abuilyiement
abuse	abuise
village	Abyne
Jeamie	Jeams
Rab	Rabert
Tam	Tammas
Chairlie	Chairles
Erswauld	Airchibauld
knight	knicht
trinket	whigmaleerie
primsy	primsie
straw	strae
flap	flaff
dizziness	mirligoes
whetstone	whatstane
account	accoont
accountable	accoontable
accrue	accress
accustom	accuistom
Auchencrow	Achencraw
sprout	acherspyre
persevere	ackaduir
weak	ackamy
awkward	ackwart
acquaint	acquent
acquaintance	acquentance
acquaint	unacquent
peekaboo	keek-a-bo
roundabout	'bootgates
church	buinhoose
holiday	haliday
get over	get abuin
overcome	win abuin
misuse	disabuise
damage	disabuiss
abound	abund
grass	lang acre
active	acteeve
inactive	unacteeve
fuss	adae
addition	addeetion
Berwickshire	Adderton
addicted	addictit
Berwickshire	Aderom
sign	adheebit
adminicle	admeenicle
administer	admeenister
administration	admeenistration
admissible	admeesible
admission	admeesion
admiralty	admirality
admonition	admoneetion
distance	adreich
limited partnership	jynt adventur
advertise	adverteese
advertising	adverteesin
advertisement	adverteesement
run	scoup
aw	aw-bay-say
off and on	aff an on
upset	aff in it
outset	affset
dissuade	affroad
afford	affuird
affordable	affuirdable
earmark	hauf-oot-afore
difficult	agalis
flu	fleein Nansie
Antrim	Ahauchill
earmark	hauf-oot-ahint
Fife	Aiberdour
Perthshire	Aiberfyle
East Lothian	Aiberleddy
Moray	Aiberlour
