foot	pie
minute	minutu
sole	solu
vinegar	vinagre
caesium	cesiu
rarely	raramente
ant	formiga
shark	tiburón
bubble	boya
existent	esistente
Scotland	Escocia
street	cai
pronoun	pronome
wheel	rueda
blow	soplar
all	tola
belly	tripa
Dutch	holandés
Icelandic	islandés
Sweden	Suecia
Danish	danés
Easter	pascua
por	por eso
way	mou
sixteen	dieciséis
example	exemplu
skull	craniu
dedicate	dedicar
phase	fase
other	demás
thank	agradecer
cathedral	catedral
song	canción
emblem	emblema
compose	componer
situation	situación
press	calcar
nave	nave espacial
promise	promesa
cientu	cien
seventeen	diecisiete
eighteen	dieciocho
nineteen	diecinueve
responsible	responsable
resident	residente
beg	rogar
bet	apostar
news	noticia
metre	metru
cave	cueva
patient	paciente
raise	alzar
nature	naturaleza
cider	sidra
slope	cuesta
damage	dañar
bishop	alfil
oppose	oponer
threaten	amenazar
national	nacional
trillion	billón
pay attention	atender
for	pola
muse	musa
position	cartera
mix	mecer
daughter-in-law	nuera
common	común
grandsons	nietos
advance	avanzar
baptize	bautizar
bear	osu
law	llei
sensation	sensación
piece	pieza
version	versión
eyelash	pestaña
page	páxina
portal	portada
free	llibre
agricultural	agrícola
car	automóvil
balcony	balcón
teaching	enseñanza
guitar	guitarra
loss	perda
reasonable	razonable
purity	pureza
America	América
tinder	esca
patience	paciencia
sandal	sandalia
immediately	inmediatamente
conduct	conducta
particle	partícula
northwest	noroeste
northeast	nordeste
southwest	suroeste
southeast	sureste
astronomy	astronomía
opening	abertura
rice	arroz
walnut	nuez
depart	colar
respiration	respiración
Canadian	canadiense
officially	oficialmente
building	construcción
impressive	impresionante
autobiography	autobiografía
individualistic	individualista
combination	combinación
elevator	ascensor
kick	patada
g	gue
neutron	neutrón
proportion	proporción
stable	estable
instance	instante
hormone	hormona
anatomy	anatomía
motorway	autopista
guarantee	garantizar
philosophy	filosofía
volcano	volcán
landowner	terrateniente
oar	remu
moon	lluna
oblige	obligar
pyramid	pirámide
supposedly	supuestamente
antenna	antena
block	bloque
multiple	múltiple
fantasy	fantasía
atmosphere	atmósfera
compete	competir
annual	anual
bagpipes	gaita
cane	caña
asteroid	asteroide
court	cancha
articulation	articulación
absence	ausencia
absent	ausente
gamma	gama
exciting	emocionante
grind	moler
herd	manada
dos	dos puntos
semantics	semántica
ejaculate	eyacular
tabla	tabla periódica
eruption	erupción
spit	cuspir
toward	haza
palladium	paladiu
statistics	estadística
portion	porción
estrella	estrella de mar
connotation	connotación
where	ú
reap	segar
profession	profesión
cornfield	maizal
tart	tarta
horse	caballería
Romania	Rumanía
Hungarian	húngaru
Transylvania	Transilvania
low	baxo
substantive	sustantivu
niece	sobrina
impurity	impureza
tattoo	tatuaxe
two hundred	doscientos
spiritual	espiritual
behave	comportar
homosexuality	homosexualidá
squid	calamar
friend	amigu
adjective	axetivu
skin	pelleyu
prayer	oración
water	aguar
Frisian	frisón
milk	lleche
image	imaxe
vigilance	vixilancia
commonly	familiarmente
Basque	vascu
tall	altu
dialectal	dialeutal
this	esi
Gibraltar	Xibraltar
pick	coyer
Arabia	Arabia Saudita
pornography	pornografía
bark	lladrar
ear	oreya
shoulder	costín
sexuality	sexualidá
bisexuality	bisexualidá
heterosexuality	heterosexualidá
city	ciudá
sponge	esponxa
bird	páxaru
phallus	falu
stop	paru
bury	soterrar
highland	montés
year	añu
heron	garza
lithium	litiu
beryllium	beriliu
americium	americiu
aluminum	aluminiu
almond	almendra
salvation	salvación
abdication	abdicación
openly	abiertamente
boron	boru
valve	válvula
oil	aceitera
acceptable	aceptable
writing	escritura
AD	dC
thanks	gracies
meanwhile	mentes
sexually	sexualmente
Asturian	bable
groin	vería
specifically	específicamente
broom	escoba
Aragonese	aragonés
prosecutor	fiscalía
beautiful	xana
volador	volador
Aristotle	Aristóteles
ring	argolla
island	islla
circumcision	circuncisión
biceps	bíceps
arte	arte marcial
hopefully	asina
fisher	pescador
horizon	horizonte
big toe	deda
Mark	Marcos
forget	escaecer
swan	cisne
scorpion	escorpión
helium	heliu
for	polos
mother-in-law	suegra
seven hundred	setecientos
nine hundred	novecientos
beech	faya
stork	cigüeña
world	mundu
psychology	sicoloxía
use	usu
pandemic	pandemia
terrace	terraza
glass	vasu
orientation	orientación
surprisingly	sorprendentemente
guideline	pauta
celebration	celebración
stern	popa
granddaughter	nieta
conjunction	conxunción
preposition	preposición
origin	orixe
original	orixinal
imagine	imaxinar
bronze	bronce
chameleon	camaleón
falcon	falcón
van	furgoneta
game	xuegu
politically	políticamente
century	sieglu
soap	xabón
cold	fríu
book	llibru
old	vieyu
brother	hermanu
very	mui
other	otru
week	selmana
same	mesmu
much	munchu
newspaper	periódicu
woman	muyer
worker	obreru
short	baxu
crazy	llocu
right	xeitu
mammal	mamíferu
synonym	sinónimu
antonym	antónimu
tool	ferramienta
object	oxetu
instrument	instrumentu
verb	verbu
nome	nome propiu
nome	nome común
adverb	alverbiu
figuratively	figuradamente
anonymous	anónimu
wolf	llobu
world	mundiu
phosphorus	fósforu
carbon	carbonu
stadium	estadiu
atom	átomu
pencil	llapiceru
pencil	llápiz
utensil	utensiliu
cylinder	cilindru
shoulder	costazu
acronym	acrónimu
aphorism	aforismu
chlorine	cloru
elbow	coldu
eye	güeyu
government	gobiernu
hydrogen	hidróxenu
winter	iviernu
winter	hibiernu
lip	llabiu
magnesium	magnesiu
sock	calcetu
calcium	calciu
birth	nacimientu
nitrogen	nitróxenu
osíxenu	oxíxenu
autumn	seronda
autumn	otoñu
autumn	tardíu
patriarchy	patriarcáu
site	sitiu
titanium	titaniu
summer	branu
ice	xelu
rain	chubascu
churro	churru
coloráu	colloráu
caramel	carambelu
son	fíu
daughter	fía
arm	brazu
element	elementu
article	artículu
conjugation	conxugación
garax	garaxe
glasses	gafes
elm	llamera
liberty	llibertá
language	llingua
building	edificiu
diphthong	diptongu
acute accent	acentu agudu
diacritic	diacríticu
letter	lletra
word	pallabra
alphabet	alfabetu
omnivorous	omnívoru
Italian	italianu
Breton	bretón
Bulgarian	búlgaru
Castilian	castellanu
Czech	checu
Slovak	eslovacu
Slovene	eslovenu
Faroese	feroés
Greek	griegu
Galician	gallegu
Latin	llatín
Norwegian	noruegu
Occitan	occitanu
Polish	polacu
Romanian	rumanu
Russian	rusu
Swedish	suecu
Japanese	xaponés
psychiatrist	siquiatra
group	grupu
from	dende
vierbu	vierbu a vierbu
leave	dexar
show	amosar
begin	entamar
begin	apenzar
watch	güeyar
seem	paecer
lick	llamber
beat	firir
the	'l
for	p'
all	tolo
all	tolos
all	toles
numeral	numberal
tres	trés
six	seyes
sixteen	selce
twenty-one	ventiún
twenty-two	ventidós
twenty-three	ventitrés
twenty-four	venticuatro
twenty-five	venticinco
twenty-six	ventiséis
twenty-seven	ventisiete
twenty-eight	ventiocho
twenty-nine	ventinueve
three hundred	trescientos
four hundred	cuatrocientos
five hundred	cincocientos
six hundred	seiscientos
eight hundred	ochocientos
quinientes	cincocientes
cincocientes	quinientes
trumpet	trompeta
say	dicir
attach	afacer
guerra	guerra civil
unbearable	insoportable
almond	almendral
a	a poco a poco
lie	trola
come together	xuntase
vacuum cleaner	aspiradora
travel	viaxar
trip	viaxe
plea	ruega
bid	puxar
protect	protexer
Morocco	Marruecos
wall	parea
alteration	alteración
initially	inicialmente
short	cortu
straight	rectu
stepdaughter	andada
indication	indicación
son-in-law	xenru
piranha	piraña
impregnate	preñar
worm	cocu
plate	platu
Malawi	Malaui
piedra	piedra preciosa
stick	palu
silicon	siliciu
uranium	uraniu
boutique	botica
rubidium	rubidiu
indium	indiu
cerium	ceriu
iridium	iridiu
neptunium	neptuniu
prow	proba
diamond	diamante
Turkey	Turquía
nudist	nudista
Texan	texana
berkelium	berkeliu
repression	represión
baroness	baronesa
automatically	automáticamente
mole	topu
great-granddaughter	bisnieta
great-grandsons	bisnietos
pine	pinu
punctual	puntual
fold	plegar
meditation	meditación
dynamic	dinámica
cadmium	cadmiu
rhodium	rodiu
mummy	momia
invention	invención
gallium	galiu
Cyprus	Chipre
diminutive	-ín
stepmother	madrasta
vanadium	vanadiu
selenium	seleniu
niobium	niobiu
ruthenium	ruteniu
barium	bariu
samarium	samariu
europium	europiu
gadolinium	gadoliniu
terbium	terbiu
dysprosium	disprosiu
holmium	holmiu
erbium	erbiu
thulium	tuliu
hafnium	hafniu
rhenium	reniu
osmium	osmiu
thallium	taliu
polonium	poloniu
radium	radiu
actinium	actiniu
protactinium	protactiniu
plutonium	plutoniu
curium	curiu
nobelium	nobeliu
almost	cuasi
boil	ferver
vegetable	vexetal
giant	xigante
biology	bioloxía
sugar	azucre
contradiction	contradicción
energy	enerxía
geometry	xeometría
de	Torre de Babel
register	rexistrar
geology	xeoloxía
logic	lóxica
marble	boliche
back	espaldar
biomolecule	biomolécula
dolphin	tolina
optics	óptica
ham	xamón
tailor	xastre
giraffe	xirafa
imagination	imaxinación
class	clas
mythology	mitoloxía
technology	tecnoloxía
March	marzu
disinterest	desinterés
wage	xornal
Finland	Finlandia
Germany	Alemaña
suggest	suxerir
flee	fuxir
geography	xeografía
nomes	nomes propios
throne	tronu
flour	fariña
dew	rosada
willow	salce
Antwerp	Amberes
enamour	namorar
Chinese	chinu
body	cuerpu
neck	pescuezu
postpone	aplazar
californium	californiu
Aragonese	aragonesa
however	anque
orientación	orientación sexual
stalactite	estalactita
francium	franciu
thorium	toriu
fermium	fermiu
mining	minería
glass	bidre
acentos	acentos agudos
twin	ximelu
firstly	primeramente
epsilon	épsilon
commemorate	conmemorar
love	amor
etymology	etimoloxía
spike	espiga
box	caxa
filter	filtru
orgasm	orgasmu
speaker	falante
sow	semar
emergency	urxencia
stepsister	hermanastra
gymnastics	ximnasia
win	trunfar
rugby	rugbi
Corea	Corea del Sur
Zelanda	Nueva Zelanda
omnipotent	omnipotente
beach	sablera
fetus	fetu
rub	esfregar
generalization	xeneralización
vagina	vaxina
middle	mediu
choke	afogar
en	nesta
Jesus	Xesús
astronomical unit	unidá astronómica
identity	identidá
his	suyu
from	a partir de
empire	imperiu
farm	granxa
save	aforrar
future	futuru
centre	centru
automation	automatización
chocolate	chicolate
interest	petar
sacrifice	sacrificiu
verse	versu
jump	saltu
course	cursu
Seoul	Seúl
Basque	eusquera
bottom	culu
healthy	sanu
time	vegada
matriarchy	matriarcáu
unidaes	unidaes astronómiques
very	muncho
December	avientu
January	xineru
February	febreru
May	mayu
June	xunu
July	xunetu
August	agostu
September	setiembre
October	ochobre
November	payares
Sunday	domingu
Monday	llunes
Thursday	xueves
Friday	vienres
Saturday	sábadu
ewe	oveya
competition	concursu
accent	acentu
mane	clina
cidery	sidrería
rule	reglar
monkey	monu
shave	afaitar
still	aínda
iron	fierro
reflect	cavilar
coo	ruar
town square	plazoleta
dictionary	diccionariu
shoe	zapatu
wash	llavar
derechos	derechos humanos
sickle	foz
lengthen	allargar
census	censu
Quixote	Don Quixote
sex	sexu
rest	restu
process	procesu
place	llau
list	llista
prize	premiu
theatre	teatru
bid	puya
follow	siguir
establish	afitar
serve	escanciar
obsolete	obsoletu
riddle	cosadiella
cream	ñata
lower	baxar
smoke	fumu
pass	pasu
people	xente
Cyprus	Xipre
smell	golor
stable	establu
destroy	destruyir
over here	pequí
believe	creyer
auction	puyar
pierce	mancar
Sudán	Sudán del Sur
where	ónde
tattoo	tatuar
sphinx	esfinxe
tail	rabu
minister	ministru
cat	gatu
false	falsu
also	tamién
apple	mazana
territory	territoriu
lake	llagu
chorizo	chorizu
cheese	quesu
fig	figu
Georgia	Xeorxa
play	xugar
basketball	baloncestu
fight	lluchar
obligatory	obligatoriu
spokesman	voceru
council	conceyu
activity	actividá
around	alredor
inside	dientro
collective	coleutivu
day	xorná
novelty	novedá
pupil	escolín
field	campu
midday	meudía
digital	dixital
sound	soníu
noise	ruíu
only	namás
some	daqué
Gijón	xixonés
old	antiguu
young	xoven
councillor	conceyal
mail	corréu
electronic	electrónicu
send	unviar
measure	midir
money	dineru
justify	xustificar
public	públicu
time	tiempu
leader	xerente
small	pequeñu
strategy	estratexa
Communism	comunismu
study	estudiu
make	faer
bring	trayer
d'	Estaos Xuníos d'América
Soviet Union	Xunión Soviética
Azerbaijan	Azerbaixán
Black Sea	Mar Negru
black	prietu
gray	buxu
white	blancu
yellow	mariellu
red	bermeyu
brown	castañu
sky	cielu
night	nueche
good night	bones nueches
wind	vientu
insect	inseutu
butterfly	pumarina
horse	caballu
Asturcón	asturcón
fish	pexe
mackerel	xarda
snake	culiebra
squirrel	esguilu
pig	gochu
bat	esperteyu
number	númberu
bagpiper	gaiteru
also	amás
new	nuevu
path	camín
literature	lliteratura
title	títulu
school	colexu
as well as	asina como
Joseph	Xosé
place	llugar
what time is it	qué hora ye
retire	xubilar
child	neñu
girl	neña
sack man	home del sacu
Covadonga	Cuadonga
Ribadesella	Ribeseya
Jaén	Xaén
single	solteru
health	salú
wind	eólicu
Hellenic	helenu
parliament	parllamentu
effect	efeutu
text	testu
reality	realidá
quality	cualidá
publication	espublización
vocabulary	vocabulariu
alphabet	abecedariu
director	direutor
museum	muséu
squid	chipirón
join	arrexuntar
paradise	paraísu
religion	relixón
next	dempués
see you later	hasta dempués
marvelous	maraviyosu
sadness	tristura
tuna	bonitu
dark	escuru
liquid	líquidu
urine	mexu
doubt	duldar
truth	verdá
dream	suañu
Galician-Asturian	gallego-asturianu
dream	suañar
prime minister	primer ministru
offer	ufrir
objective	oxetivu
nationalism	nacionalismu
difference	dixebra
fair	xustu
Edinburgh	Edimburgu
half	metá
second	segundu
first	primeru
third	terceru
fourth	cuartu
fifth	quintu
sixth	sestu
seventh	séptimu
eighth	octavu
ninth	novenu
tenth	décimu
eleventh	oncenu
twelfth	docenu
thirteenth	trecenu
mining	mineru
candidate	candidatu
congress	congresu
tax	impuestu
agreement	alcuerdu
modern	modernu
previous	pasáu
narrow	estrechu
wide	anchu
hole	furacu
leaf	fueya
fruit	frutu
dog	perru
here	equí
river	ríu
horn	cuernu
clothing	vistíu
lower	baxeru
seat	siella
stool	tayuelu
needle	aguya
weave	texer
cup	cacíu
organ	muérganu
nude	desnudu
kiss	besu
fall	cayer
fat	gordu
before	delantre
long	llongu
after	alantre
knot	nuedu
few	pocu
freeze	xelar
throw	llanzar
long	llarguísimu
high	peraltu
scrotum	escrotu
fast	rápidu
slow	lentu
better	meyor
improve	ameyorar
someone	daquién
vustedes	vusté
worm	viérbene
oven	fornu
gypsum	yelsu
quantity	cantidá
piece	pedazu
generally	xeneralmente
solid	sólidu
space	espaciu
Leonese	llionés
seat	escañu
weekend	fin de selmana
action	aición
appear	apaecer
work	trabayar
work	trabayu
far	lloñe
European	européu
clock	reló
mechanism	mecanismu
fear	mieu
cheap	baratu
rummage	caciplar
udder	caldar
male	machu
thin	flacu
fondle	amasuñar
young	mozu
embassador	embaxador
kilometer	quilómetru
practically	práuticamente
en	nestes
demand	esixir
order	pidir
get	llograr
alms	llimnosa
price	preciu
fiancé	noviu
wedding	casamientu
join	axuntar
together	xuntu
homes	homes del sacu
porridge	fariñes
fines	fines de selmana
smell	goler
some	dalgo
devote	beatu
fire	fueu
singe	xamuscar
suspicious	sospechosu
humiliate	humildar
hot	percaliente
our	nuestru
your	vuestru
too much	por demás
too much	demasiao
dead	muertu
Oviedan	carbayón
Aryan	ariu
bath	bañu
serious	seriu
duo	dúu
robbery	robu
nozzle	pixu
lost	perdíu
authority	autoridá
direct	derechu
citizen	ciudadanu
economic	económicu
measurement	midida
longitude	llonxitú
length	llargor
equal	equivalir
ten millionth	diezmillonésimu
millionth	millonésimu
meridian	meridianu
perfect	perfeutu
community	comunidá
autonomous community	comunidá autónoma
correct	correutu
correct	correxir
correctly	correutamente
expression	espresión
express	espresar
pick	recoyer
hive	caxellu
movement	movimientu
bush	arbustu
maple	pládanu
ground	suelu
clog	madreña
electric	llétricu
electricity	lletricidá
umbrella	paragües
euro	euru
ruble	rublu
pound	llibra
hard-working	trabayador
firefighter	bomberu
juridical	xurídicu
lawyer	abogáu
fall	cayida
genital	xenital
ovary	ovariu
annual	añal
present	regalu
affection	cariñu
affectionate	cariñosu
very	perbien
affection	afeutu
feeling	sentimientu
dampen	amollecer
soften	ablandiar
soft	blandiu
calf	xatu
bull	güe
excrement	escrementu
drinking water	agua potable
capacity	capacidá
strict	estrictu
strength	fuercia
bad	amalar
every now and again	cada cuando
catarrh	catarru
rainy	lluviosu
drizzle	lloviscar
drizzle	lloviscu
drip	gotiar
tap	cañu
apparatus	aparatu
velocity	velocidá
munches	munches gracies
thanks to	gracies a
plate	platiar
side	costáu
narrow	perestrechu
wide	peranchu
sieve	cribar
sieve	criba
hourglass	reló d'arena
cloud	Nuberu
dragon	cuélebre
