but	en
sand	sandr
snow	snær
snail	snigill
sock	sokkr
shall	skulu
dear	dýrr
deer	hjǫrtr
shepherd	hirðir
wheat	hveiti
friend	vinr
grey	grár
choose	velja
blind	blindr
dear	kærr
same	líkr
none	engi
naked	nǫkkviðr
sour	súrr
more	meiri
most	mestr
thin	magr
even	sléttr
seven	sjau
tvær	tvær
foot	fótr
offer	bjóða
brew	brugga
chest	bringa
bear	þola
own	eiginn
brass	eir
flee	flýja
adorn	fága
death	feigr
greedy	frekr
fill	fylla
repay	gjalda
my	minn
my	mínn
your	þínn
sufficient	gnógr
fast	hraðr
glad	glaðr
holy	heilagr
uncomfortable	leiðr
loose	lauss
spleen	milti
mild	mildr
help	hjalpa
hollow	holr
smoke	reykr
reek	rjúka
mass	múgr
hit	slá
small	smalr
yesterday	gær
moon	máni
rim	barmr
buck	bukkr
dale	dalr
plate	diskr
judgement	dómr
man	drengr
poison	eitr
fire	eldr
finger	fingr
flock	flokkr
frog	froskr
embrace	faðmr
feather	fjǫðr
firth	fjǫrðr
fetter	fjǫturr
elf	alfr
arrow	akka
spear	dorruðr
spear	Dorruðr
kenning	Báleygr
Odin	Biflindi
eye	Bileygr
evildoer	Bǫlverkr
kenning	Eyluðr
double	Tveggi
prophetess	vǫlva
dial.	vǫlr
cake	kaka
fun	gaman
ignite	tendra
fall asleep	sofna
great-grandfather	ái
tar	tjara
ten	tigr
Wednesday	óðinsdagr
Thursday	þórsdagr
Friday	frjádagr
Saturday	laugardagr
Sunday	sunnudagr
oftener	optar
drop	detta
blend	blanda
angel	engill
miss	sakna
loss	tapan
brain	heili
livestock	búfé
acicular leaves	barr
shape	skapa
crow	kráka
giant	risi
out of	ór
now	nú
peacock	pái
robbery	rán
secret	rún
hedged plot	tún
waterfall	fors
wash	vaska
pour	æla
horse	jór
show	ydda
brother-in-law	svili
claw	kló
Jutland	Jótland
Faroe Islands	Færeyjar
sill	syll
taste	berging
help	beinir
lead	blý
bear	bassi
distress	stríð
hook	krókr
barter	mang
jotun	jǫtunn
custom	siðr
Byzantium	Grikkland
sap	safi
Åland	Áland
murder	morð
brown	brúnn
forehead	enni
thirst	þorsti
push	hrinda
stretch	beina
catch	henda
call	kalla
clip	klippa
seek	leita
speak	mæla
rune	ráða
shine	skína
anoint	smyrja
speed	skunda
work	yrkja
girl	genta
friend	frændi
what	hvat
swim	svimma
agricultural implement	amboð
bank	bakki
openly	bert
poet	skald
tools	tól
female cat	ketta
work	yrki
boundary	merki
roast	steik
night	nátt
goose	gás
bang	banga
growth	vǫxtr
Christianity	kristni
meanwhile	meðan
fine	pína
at home	heima
from home	heiman
bowl	skál
heel	hæll
former	fyrri
fiddle	fiðla
lout	lúta
piss	míga
slave	þræll
firm	tryggja
light elves	Ljósálfar
dark elves	Dǫkkálfar
seat	sissa
trail	slóð
strait	kreppa
sin	synd
Svartálfar	Svartálfaheim
incite	eggja
fræmmæ	fremja
thrash	lemja
beat	merja
unwind	rekja
grin	grína
whiz	hvína
look	líta
shit	skíta
gush	gjósa
squat	húka
order	skipan
wade	vaða
breeding	menning
bishop	biskup
mainland	meginland
swan	svanr
Árni	Arni
Børge	Birgir
bird	igða
as	alls
hell	helviti
warm	verma
before	fyrr
calm	logn
foal	fyl
godi	goði
chess	skák
knight	riddari
tickle	kitla
elephant	fíll
song	ljóð
sigh	stynja
bull	tarfr
nature	aðal
pike	gedda
ptarmigan	rjúpa
heathen	heiðinn
afloat	fleyta
wariness	vari
nape	hnakki
stay	vist
Latin	latína
father	feðgar
rainbow	regnbogi
juniper	einir
rain	rosi
hope	ón
mirror	spegill
interpretation	þýðing
serve	þjóna
haddock	ýsa
fourth	fjórði
wish	ósk
weapon	vápn
drip	drjúpa
mail	brynja
slope	hallr
battle	hildr
victory	sigr
attack	snerra
warrior	verr
bladder	blaðra
dandelion	fífill
bridegroom	brúðgumi
break	brjóta
intensive	all-
Greenland	skrælingi
heed	anza
dough	deig
tame	temja
thorn	þyrnir
stretch	þenja
row	róa
parting	reik
angry	vreiðr
flow	rinna
swear	sverja
mind	hugi
female sex	kvennkyn
you	þér
lot	hljóta
dwelling	ból
shape	semja
payment	gildi
turn	horfa
acorn	akarn
dash noisily	glymja
kidney	nýra
unity	eining
farmhouse	bǿr
memory	minning
glen	geil
fat	fita
string	taug
lash	reim
wine	vín
auk	alka
abbess	abbadissa
strong drink	líð
raise	reisa
name	Jari
make	syfja
lovely	fríðr
beating	bardagi
from under	undan
where	þars
it	þat
compel	nauðga
hold	heyja
perceive	skynja
sow	sýr
namesake	nafni
colour	litr
windpipe	barki
self	sjálfgi
wave	bára
listen	hlýða
receive	þiggja
even	jafna
sweep	sveipa
quick	kvika
clap	þruma
towel	þerra
lock	læsa
strike	ljósta
harm	skaði
fuck	serða
sedge	sef
toad	padda
poem	dikt
boil	kaun
myrrh	mirra
king	konungr
wolf	ulfr
knife	knífr
afraid	hræddr
slender	svangr
Danish	danskr
evil	illr
madness	vitleysa
fall	hrjóta
creep	krjúpa
choose	kjósa
election	kosning
will	munu
thaw	þíða
tub	ker
kinsman	ættingi
door	dyrr
cold	kuldi
chilliness	nepja
bend	veikja
strife	róg
splinter	flís
gladden	gleðja
cord	bendi
twice	tvisvar
miserable person	aumingi
saying	spjall
Candlemas	kyndilsmessa
hearth	arinn
keel	kjǫlr
sword	sveðja
great auk	geirfugl
blunt	sljór
pace	skref
comb	kambr
Freyr	Yngvi
bark	bǫrkr
molar	jaxl
blindness	blindi
she	hón
beverage	afr
state	tign
shield	skjǫldr
dream	dreyma
big	stórr
rot	sprek
honour	heiðra
hoarfrost	héla
cite	appellera
herring	síld
lizard	eðla
grow	gróa
late	síð
name	heiti
wrap	vefja
crooked	rár
sword	raufnir
boasting	raup
Christian	kristinn
pant-leg	brók
bellow	baula
bear	bjǫrn
Bjǫrgyn	Bjǫrgvin
hill	hóll
silent	þegja
emit	þjóta
for sale	til sǫlu
mutter	tauta
drawing	togan
habit	háttr
call on	kveðja
arch-	erki-
fy	tví
twice	tví-
cat	kattarhali
Eilif	Eilífr
clearing	þveit
sorrow	angr
mountain pasture	sætr
kettle	ketill
from above	ofan
gravel bank	eyrr
tree stump	stubbr
seed	sáð
such	haldinn
wolf	vargr
cartilage	brjósk
together	samt
soften	mýkja
cairn	hreysi
stone	grjót
hazel	hesli
elevate	rimi
gape	gína
hind	kolla
cloth	váð
seagull	már
glory	dýrð
lacking	van-
shudder	hrjósa
hen	hœna
hardness	harka
cite	appella
exhale	anga
Odin	Gizurr
stir	hrœra
ice	íss
hew	hǫggva
together	sam-
mistletoe	mistilteinn
tatter	trefill
reed	reyrr
feyness	feigð
æsir	goð
enchanted	galinn
comb	kemba
glad	feginn
jósu	ausa
large net	nót
name	Dóri
build	timbra
leek	laukr
manger	jata
below	neðan
Welsh	brezkr
barley	bygg
tooth	tǫnn
angelica	hvǫnn
honey	mjǫðr
service	embætti
wether	geldingr
sheep	sauðr
song	sǫngr
sword	hjǫrr
linen	hǫrr
shaft	skeyti
man	fjǫrr
sparrow	spǫrr
given name	Sigtryggr
dragon	Níðhǫggr
fat	mǫrr
hiss	hvæsa
seal	kópr
Thor	Þórr
twinkle	titra
awful	ógurligr
division	skipti
relief	fró
rim	strǫnd
Hebrides	Suðreyjar
Orkney Islands	Orkneyjar
Westman Islands	Vestmannaeyjar
plough	plœgja
rest	æja
gnísting	gnastan
gnashing	gnísting
ravine	gil
bedspread	ábreiða
nail	negla
Ljósálfar	Svartálfar
spear	geirr
soon	senn
lewdness	ergi
dust	ím
vessel	berill
fertilize	fræva
bleed	blœða
street	stræti
pick	tína
pretty	býsna-
drive	vreka
thin	mjór
willing	fúss
diaphragm	þind
blue	blána
evening	kveld
honour	tigna
move	hreyfa
deaf	deyfa
corner	skaut
fat	feitr
scolding	skak
giantess	gýgr
mountain	bergrisi
frost	hrímþurs
giant	þurs
giantess	íviðja
corpse	nár
Odin	Óðinn
your	yðvarr
Freyr	Freyr
foot	jarki
bird	fogl
host	skari
or	eðr
mock	gabba
opposite	and-
piece	stykki
eagle	ǫrn
son	mǫgr
snout	trjóna
pier	bryggja
swell	svella
Norse	þorri
squeal	hrína
green	grœnn
bull	þjórr
rudder	stýri
whisper	hvísla
wash	þváttr
wash	þvá
sneeze	hnjósa
score	skor
knowledge	kunnusta
might	máttr
might	megin
abroad	útanlands
abundant	nógr
accomplish	inna
goatling	kið
serve	skenkja
crane	trana
down	hý
roar	rymja
timidly	óframliga
land	Saxland
lær	lær
Denmark	Danmǫrk
mumble	rabba
strange	undarligr
luck	hamingja
moonlight	tunglskin
rich	auðigr
woman	víf
wander	hvarfa
tread	troða
flower	blómstr
aftermost	aptari
wonder	undra
gape	gapa
tool	tygi
rest	hvíld
circle	hvirfill
flay	flá
thigh	þjó
neighbour	granni
defend	verna
nickname	rosti
father	feðgin
sacrifice	tafn
sow	gylta
mockery	skaup
blow	feykja
thrive	dafna
hand	hǫnd
flat	fletja
whet	hvetja
anvil	steði
slope	brekka
storm	hríð
cairn	dys
delay	dvelja
lynx	gaupa
rest	styðja
fellowship	félag
copsewood	kjarr
Finnish	gammi
twilight	røkkr
torment	kvelja
longitudinal beam	meiðr
sprung	reginkunnr
well	jafnvel
thirst	þyrsta
wane	þverra
smiling	hýrr
broth	soð
mankind	mannkyn
shark	hákarl
quilt	kǫgurr
cow	kúga
goad	gaddr
commissary	umboðsmaðr
reindeer	hreindýri
grieve	angra
knot	knútr
tight	þéttr
wand	vǫndr
impediments	meinbugir
she	fóa
she-bear	birna
thence	þaðan
commander	hertogi
sea-urchin	ígull
rump	stjǫlr
Old Norse	ǫ
byre	fjós
wood	skógr
point	hyrna
lap	kjalta
tithe	tíund
tenth	tíundi
handbarrow	barar
feared	uggligr
fear	uggr
staff	stǫng
testicle	eista
quarrel	þjarka
lift	yppa
marry	kvæna
wisdom	vitra
heather	lyng
ways	vegar
chasm	gjá
ale	ǫl
gear	gervi
embellish	fegra
soft	deigr
little	lítt
jerkin	treyja
underground	jarðhús
dunghill	dyngja
hasten	skynda
constrain	þjá
keg	kaggi
fir trees	fýri
pull	rýja
blood	sóknbára
eye	glyrna
bait	agn
window	vindauga
wither	visna
kirtle	kyrtill
sexual intercourse	samræði
snout	trýni
crutch	hœkja
teal	arta
walrus	hrosshvalr
whale	hvalr
sweet odour	angi
woman	kerling
westerly	vestri
dead	dofinn
anger	gremja
footstool	skemill
lull	dús
suffix	-ari
deacon	djákni
earth	jǫrð
investigate	rannsaka
enemy	óvinr
not	-gi
Saxon	saxar
she-ass	asna
wheresoever	hvars
famous	mærr
assert	sanna
twelve	tolf
truss	sáta
bishop	bagall
dung	teðja
goddess	gyðja
clear	ryðja
fifth	fimmti
ninth	níundi
equally	jafn-
neighbour	granna
foul	fúll
great-grandmother	edda
clatter	skrapa
god	regin
falcon	falki
realm	heimr
eating	áta
after	eptir
ᛁᛆᚱᚴ	Eiríkr
exonym	Finnr
commission	umboð
frantic	œðask
fertile	frjór
greyen	grána
livestock	smali
bury	heygja
watch	gæta
bleach	bleikja
stroke	strjúka
fall gently	hníga
fight	jara
cleave	kljúfa
break	rjúfa
open	kryfja
delay	tefja
heat	hita
Valkyrie	valkyrja
make straight	rétta
pound	melja
play	tefla
neck	svíri
Odin	Gauti
archbishop	erkibiskup
weigh down	þyngja
weigh down	þvinga
furnish	hringa
battle	gunnr
Norse god	Baldr
herring	síl
soot	sót
head	hǫfuð
liver	lifr
sing	syngva
relative	mágr
ore	malmr
chandler	mangari
month	mánaðr
wing	vængr
ability	mjúkleikr
anger	móðr
murderer	morðvargr
morning	morginn
mouth	munnr
Helluland	Helluland
furnish	birgja
sweat	sveiti
bottom	botn
seat	sess
reading	lestr
brain	hjarni
dart	darr
seek	sœkja
earth	verǫld
club	kylfa
fling	fleygja
bow	sveigja
stretch out	teygja
fiddle	gígja
Greenland	Grœnland
tree	kvísl
wrinkle	hrukka
beginning	upphaf
golden	gullinn
forsake	yfirgefa
toil	erfiði
track	ferill
god	týr
aforetime	forðum
oystercatcher	tjaldr
from	framan
she-wolf	ylgr
eyelash	brá
south	sunnan
procreation	eldi
stone	hamarr
auger	nafarr
chieftain	skati
beam	vagl
Bokmål	austrœnn
northern	norrœnn
Nynorsk	suðrœnn
Bokmål	vestrœnn
compass point	-œnn
grovel	grúfa
scrape	skafa
entrails	innyfli
black guillemot	þeisti
muscle	vǫðvi
fate	ragnarǫk
sight	sýn
she	fúa
sleeve	ermr
filling	fylling
ox	oxi
seventeen	sjaután
eleven	ellifu
moor	mýrr
milk	mjǫlk
winter	vetr
snake	ormr
hairy	loðinn
twentieth	tuttugasti
swarm	ýja
wonder	býsn
fief	lén
Viking	víkingr
life	fjǫr
horse	hestr
heaviness	þungi
plough	erja
rabbet	gátt
withers	makki
worry	ómaka
kittiwake	rytr
dare	þora
winter	vintr
scarlet	skarlak
hero	garpr
rotten	rotinn
calm	rór
chest	kistill
better	betr
tar	tjarga
Egypt	Egiptaland
plough	plógr
hatch	klekja
saw	sǫg
bee	bý
nose	nǫs
river	ǫ́
axe	øx
boathouse	naust
Old Norse alliterative verse form	ljóðaháttr
highborn	tiginn
fail	þrjóta
delight	yndi
clear	sýnn
thrush	þrǫstr
heiress	arfa
half	halfr
listen	hlera
horse	vingull
hale	hress
sweet odour	angan
fair wind	byrr
great	mikla
black grouse	orri
smokka	smjúga
men	fírar
Odin	Valfǫðr
Heimdall	Heimdallr
demand	krefja
confuse	glepja
drive away	hrekja
crush to pieces	mylja
resound	bylja
hide	dylja
shut	lykja
roar	gnýja
press	knýja
recount	fyrtelja
forward	framr
feed	fǿða
right measure	mjǫt
time	ǫld
wave	unnr
ever	æva
flat land	bjǫð
Earth	Miðgarðr
room	salr
pile	hlað
say	kveða
easy	hœgr
rim	jaðarr
argument	rǫk
council chair	rǫkstóll
most holy	ginnheilagr
afternoon	undorn
new moon	nið
evening	aptann
sanctuary	hǫrgr
glad	teitr
much	mjǫk
very powerful	ámáttigr
nothing	vættki
lord	dróttinn
name	Brimir
name	Bláinn
father	Mótsognir
keep	hirða
name	Durinn
image	mannlíkan
many	margr
name	Norðri
name	Suðri
name	Austri
name	Vestri
name	Nýi
name	Niði
name	Alþjófr
name	Dvalinn
name	Nár
name	Náinn
name	Dáinn
name	Nípingr
drinking	drykkja
name	Bifurr
name	Bǫfurr
name	Bǫmburr
sphere	knǫttr
knorr	knǫrr
hip	mjǫðm
name	Nóri
name	Ánn
name	Ánarr
name	Óinn
name	Mjǫðvitnir
name	Veggr
name	Gandálfr
name	Vindálfr
name	Þorinn
name	Þrár
name	Þráinn
name	Þekkr
name	Litr
name	Vitr
name	Nýr
name	Nýráðr
name	Reginn
name	Ráðsviðr
name	Fíli
name	Kíli
name	Fundinn
name	Náli
name	Víli
name	Hepti
name	Hanarr
name	Svíurr
name	Billingr
name	Brúni
name	Bíldr
name	Buri
name	Frár
name	Hornbori
name	Frægr
name	Lóni
name	Aurvangr
name	Eikinskjaldi
great skua	skúfr
men	ljónar
name	Lofarr
howe	haugr
garden	vangr
moist earth	aurr
place-name	Jǫruvǫllr
host	sjǫt
name	Draupnir
name	Dólgþrasir
name	Hár
name	Haugspori
name	Hlévangr
name	Glóinn
name	Óri
name	Dúfr
name	Andvari
name	Skirfir
name	Virfir
name	Skáfiðr
name	Ái
name	Ginnarr
name	Frosti
name	Fjalarr
name	Álfr
descending lineage	langniðjar
strong	ǫflugr
strength	styrkr
snake	naðr
stud	naddr
stud	nadda
possible	mǫguligr
river	elfr
crowberry	krækiber
crow	krákr
mussel	krákuskel
slender	krakligr
moose	elgr
endurance	eljan
endurance	eljun
concubine	friðla
awful	ógnarligr
-y	-ligr
dim	dimmr
dark	myrkr
light	ljóss
ugly	ljótr
mountainous	fjǫllóttr
freckly	freknóttr
flecked	flekkóttr
black	svartflekkóttr
flecked	rauðflekkóttr
red	rauðfreknóttr
snowslip	snjóskriða
glove	hanzki
clapper	kólfr
bolt	kólfskot
terrible	œgiligr
lake	tjǫrn
whore	púta
cluster	kǫngull
crook	kengr
cat	kǫttr
ermine	hreysikǫttr
mousetrap	fjalakǫttr
mousetrap	trékǫttr
porpoise	hnísa
ballad	kviða
earn	ǫðla
ruler	ǫðlingr
ankle	ǫkla
swan	álpt
narrow	ǫngr
offering	blót
cape	skagi
glove	vǫttr
ostrich	strúz
useless things	klatr
hearing	heyrn
Ymir	Ymir
noise	jálmr
smock	smokkr
prophetic	spár
skin	hamr
Tórshavn	Þórshǫfn
muddy shore	leira
wave	hrǫnn
Ullr	Ullr
shamanism	seiðr
wadeable	œðr
go off	ganga af
revert	ganga aptr
attack	ganga at
go	ganga á
salty	saltr
fleet	skjótr
act	grǫftr
crafty	slœgr
port	hǫfn
frequent	tíðr
bound	skyldr
true	trúr
don't count your chickens before they hatch	at kveldi skal dag leyfa
seem	þykkja
hope	ván
furnish wood	viða
sow	purka
thief	þjófr
sew	sýja
magical chanting	galdr
wolfling	feilan
sack	sekkr
knob	hjalt
disk	kringla
nephew	nefi
pour	gjóta
eager	gjarn
Thor	Fjörgyn
wizard	galdramaðr
wizard	seiðmaðr
witch	seiðkona
gift	gipt
lift	lypta
Norns	Skuld
Norway	Noregr
búningr	búnaðr
Valhalla	Valhǫll
hall	hǫll
bridle	beizl
tread	traðka
healing hand	læknishǫnd
case	sǫk
any	nǫkkurr
hence	héðan
fifth	fimti
choice	kør
rogue	skelmir
twig	teinn
glory	rǫðull
Celtic	valskr
ocean	vágr
darkish	sámr
unlike	úlíkr
lady	freyja
separation	skilnaðr
buttermilk	saup
creep along	kranga
askew	skjalgr
accessories	raiþi
cairn	kumbl
devil	djǫfull
defence	vǫrn
draff	draf
fit	grœfr
stony	grýttr
rail	spǫlr
twin	billingr
placed	settr
sixth part	séttungr
set purpose	setningr
descended	ættaðr
danger	eldsváði
eager	annt
pale	fǫlr
deal	fjǫl
boyhood	sveindómr
boggy	fenjóttr
gibe	gemsmikill
barren sheep	geldfé
evil	illgørðasamr
evil doing	illgørð
help	beini
avail	týja
drain plug	nygla
temple	þunnvangi
relationship	venzl
red	rjóðr
creak	braka
speech	sǫgn
meal	verðr
Thor	ᚦᚢᚱ
ᚱᛅᛁᛋᛏᛁ	ᚱᛅᛁᛋᛅ
carve	ᚱᛁᛋᛏᛅ
God	ᚴᚢᚦ
glowing ember	eisa
falcon	falkr
bail	ausker
and	ᛅᚢᚴ
hollow	lægð
hens	hœnsn
fibre	slyðra
dweller	búi
millstone	kvern
wolf	vitnir
carefully	virkuliga
wretched	vesall
scaffold	hjallr
against	andsœlis
weed	akrdái
obedience	hlýðni
ridicule	hlœgi
warm	hlær
lade	hlœða
listen	hløra
leopard	hlébarðr
mound	þúfa
fold	sveipr
touchwood	hnjóskr
ailing	veill
spike	broddr
valiant	frœkinn
hissing	fræs
groove	lǫgg
helpless	ørbjarga
scathe	váði
singe	sviðna
faggot	tróð
victory rune	sigrún
hovel	kytja
fit	kyssiligr
Mjollnir	Mjǫllnir
crush	mølva
