someone	a-
food	chʼiyáán
chʼil łichxíʼí	chʼil łichxíʼí
pear	bilasáana bitseeʼ nineezígíí
honey	tsísʼná bitłʼizh
milk	abeʼ
flour	akʼáán
tamale	ałchʼįʼ beʼestłʼóní
smallpox	łóódtsoh
coal	tsékǫʼ
o	ǫ
snake	tłʼiish
ship	tsin naaʼeeł
tsin yiłkaałii	tsin yiłkaałii
beaver	chaaʼ
centipede	jááłánii
armadillo	kááʼtsʼiní
red-winged blackbird	chʼagii
moose	deeteel
łéʼé-	łį́į́ʼ
hummingbird	dahiitį́hii
turtle	chʼééh digháhii
tééh łį́į́ʼ	tééh łį́į́ʼ
shash łigaígíí	shash łigaígíí
whale	łóóʼtsoh
American robin	téél halchíʼí
Earth	nahasdzáán
mountain	dził
saguaro	hosh aditsahiitsoh
Gila monster	tiníléí
Komodo dragon	tiníléítsoh
cougar	náshdóítsoh
Yavapai	Dilzhíʼí
Chiricahua Apache	Chíshí
Havasupai	Góóhníinii
Papago	Kégiizhí
Blackfeet	Kéʼ łizhiní
Ute	Nóódaʼiʼ
Comanche	Naałání
Waalibéí dineʼé	Waalibéí dineʼé
Chééwokii dineʼé	Chééwokii dineʼé
Paiute	Béíyózhin
Gáagii dineʼé	Gáagii dineʼé
fire	kǫʼ
yucca	tsáʼásziʼ
quaking aspen	tʼiisbáí
willow	kʼaiʼ
holly	didzéłchííʼ
monster	naayééʼ
skunk	gólízhii
dog	łééchąąʼí
táłtłʼááh łį́į́ʼ	táłtłʼááh łį́į́ʼ
naʼashǫ́ʼii łóóʼ	naʼashǫ́ʼii łóóʼ
łóóʼ hashké	łóóʼ hashkéhé
lizard	naʼashǫ́ʼii
rhinoceros	déélgééd
rat	łéʼétsoh
mole	naadoobooʼíinii
hedgehog	adijiłii
porcupine	dahsání
sloth	ndilnaʼii
hippopotamus	tééhoołtsódii
kangaroo	nahatʼeʼiitsoh
kangaroo rat	nahatʼeʼii
naaki góneʼ yéigo daʼahijoogą́ą́ʼ	naaki góneʼ yéigo daʼahijoogą́ą́ʼ
tsin naaʼeeł bee daʼahijighánígíí	tsin naaʼeeł bee daʼahijighánígíí
tsin yilátah ayání	tsin yilátah ayání
Grand Canyon	Bidááʼ Haʼaztʼiʼ Tsékooh
grass	tłʼoh
bamboo	lókʼaatsoh
Arizona	Tségháhoodzání
Chinese	Tsiiʼyishbizhí Dineʼé
Texas	Akałii bikéyah
turkey	tązhii
Wyoming	Tóʼííbézhí Hahoodzo
Navajo rug	diyogí
France	Dáághahii Dineʼé bikéyah
star	sǫʼ
tank	chidí naaʼnaʼí beeʼeldǫǫhtsoh bikááʼ dah naaznilígíí
snow	yas
wolf	mąʼiitsoh
camel	ghą́ą́ʼaskʼidii
mouse	naʼatsʼǫǫsí
wóláchííʼ yiyání	wóláchííʼ yiyání
mąʼii łitsooí	mąʼii łitsooí
mágí diʼilí	mágí diʼilí
butterfly	kʼaalógii
scorpion	séigoʼ
grasshopper	nahachagii
falcon	giní
crow	gáagii
dragonfly	tániilʼáí
duck	naalʼeełí
thermometer	hadoh dóó hakʼaz neiłkidígíí
łeetsoh bee atsiniltłʼish álʼį́	łeetsoh bee atsiniltłʼish álʼį́
táłkááʼ tsʼin	táłkááʼ tsʼin
money	béeso
cotton	ndikʼąʼ
submarine	tsin naaʼeeł táłtłʼááh naagháhígíí
tsin naaʼeeł chidí naatʼaʼí bee nágéhé	tsin naaʼeeł chidí naatʼaʼí bee nágéhé
tʼáadoo leʼé danílʼį́ bił hazʼą́	tʼáadoo leʼé danílʼį́ bił hazʼą́
sulfur	łeetsoii
thank you	ahéheeʼ
cannon	beeʼeldǫǫhtsoh
big	-tsoh
Navajo	Naabeehó
Tʼóok bikéyah	Tʼóok bikéyah
land	kéyah
state	hahoodzo
flute	tsʼisǫ́ǫ́s
shoulder blade	agąąstsiin
dilní bee nidaʼanéhígíí	dilní bee nidaʼanéhígíí
łóód doo nádziihii	łóód doo nádziihii
cell phone	bił níjoobałí
cell phone	bił níjooyisí
cocaine	nííʼiiʼniłí
condom	akááʼ ałtsoozígíí
rottenness	naałdzid
chʼil łigaii	chʼil łigaii
dah woozh	dah woozh
chestnut	neeshchʼííłchííʼ
pine nut	neeshchʼííʼ
onion	tłʼohchin
elephant	bíchį́į́h yee adilohii
peanut	neeshchʼííłbáhí
hazelnut	neeshchʼíínímazí
neeshchʼííʼ hááheeshchiiʼí	neeshchʼííʼ hááheeshchiiʼí
bįįh yildeeʼí	bįįh yildeeʼí
air	níłchʼi
big	nitsaa
big	nitsxaaz
pueblo	kiisʼáanii
monkey	mágí
sore	łóód
Wikipedia	Wikiibíídiiya
January	Zas Niłtʼees
bicycle	dziʼizí
encyclopedia	ínsadoobíídiiya
goat	tłʼízí
otter	tábąąstíín
tábąąh mąʼii	tábąąh mąʼii
lion	náshdóítsoh bitsiijįʼ daditłʼooígíí
flint	béésh
wool	aghaaʼ
mercury	béésh tózháanii
prairie dog	dlǫ́ǫ́ʼ
color	nidaashchʼąąʼígíí
microorganism	chʼosh doo yitʼínii
fever	tahoniigááh
Germany	Béésh Bichʼahii bikéyah
tornado	níyoltsoh
muskmelon	taʼneeskʼání
watermelon	chʼééhjiyáán
chʼil łitsxooí ntsxaaígíí	chʼil łitsxooí ntsxaaígíí
orange	chʼil łitsxooí
chʼil naʼatłʼoʼii	chʼil naʼatłʼoʼii
walnut	haʼałtsédii
tea	chʼil ahwééh
mágí bichʼiyąʼ	mágí bichʼiyąʼ
soldier	siláo
and	dóó
from	-dóó
annual plant	chʼil
tea	chʼil gohwéhí
then	áádóó
white	łigaii
black	łizhiní
Africa	Naakaii Łizhiní Bikéyah
land	bikéyah
chipmunk	hazéítsʼósii
squirrel	hazéí
fall	iichʼąh
quarter	naakiiyáál
bisóodi bitsįʼ niheeshchʼiizhígíí	bisóodi bitsįʼ niheeshchʼiizhígíí
bisóodi bitsįʼ yikʼánígíí	bisóodi bitsįʼ yikʼánígíí
bisóodi bitsįʼ	bisóodi bitsįʼ
awl	tsah
clam	chʼosh bitsʼaʼ doolkʼoolígíí
canoe	tsin naaʼeeł nineezígíí
curtainlike	níbaal
chair	bikááʼdahʼasdáhí
nátʼoh náltʼohí	nátʼoh náltʼohí
alizh bizis	alizh bizis
rose	chǫǫh
sunflower	nidíyílii
tulip	bílátah łichííʼígíí
eye	binááʼ
smoke	łid
bottle	tózis
tłʼohchin díchʼííʼí	tłʼohchin díchʼííʼí
son	hayeʼ
daughter	hatsiʼ
thirty	tádiin
two	naaki
twenty	naadiin
eight	tseebíí
bee iʼiilkeedí	bee iʼiilkeedí
beer	bizhééʼ hólóní
liver	azid
muscle	adoh
knee	agod
shoulder	awos
gąą-	agaan
mother	amá
sister	hádí
kéyah haʼdéísná	kéyah haʼdéísná
tsunami	tó nitéél nitságo atságáá
feces	chąąʼ
contract	ałgáádeitʼááh
hakʼaz ayání	hakʼaz ayání
carrot	chąąshtʼezhiitsoh
tobacco	nátʼoh
circular	názbąs
hail	níló
níłchʼi doo diiltłádí	níłchʼi doo diiltłádí
níłchʼi bee adíníséhé	níłchʼi bee adíníséhé
storage pit	nooʼ
shore	tábąąh
dough	taosʼniiʼ
valley	tééh
plastic	tó doo bidééłníní
river	tooh
covering	chʼah
smokehole	chʼíláyiʼ
cook	chʼiyáán ííłʼíní
spruce	chʼó
lake	beʼekʼid
béeso bá hooghan	béeso bá hooghan
béeso bizis	béeso bizis
heat	hado
coldness	hakʼaz
roll	yisdis
lobster	chʼosh bíláshgaantsohí
serrated	doolghas
bisóodi bijáád	bisóodi bijáád
tongue	atsooʼ
-wó-	awooʼ
lip	adaaʼ
heel	akétal
brother	hánaaí
man	hastiin
husband	hahastiin
zá-	azééʼ
foot	akeeʼ
forest	tsintah
rock	tsé
łį́į́ʼ bighan	łį́į́ʼ bighan
rectangle	heeneez
tééh łééchąąʼí	tééh łééchąąʼí
bįįh yáázh	bįįh yáázh
arroyo	bikooh
pineapple	bilasáana diwozhí
wood	chizh
dolphin	tééh hóyáanii
rhyolitic tuff	dleesh
package	hééł
tsin naaʼeeł hééł bee nágéhé	tsin naaʼeeł hééł bee nágéhé
salve	tłah
dirty	niłhin
diné bee naagehé	diné bee naagehé
stitches	nálkad
hooghan bikááʼ	hooghan bikááʼ
spaghetti	naaʼahóóhai bichʼííʼ
bag	bizis
bag	azis
ladder	haazʼéí
dancer	alzhishí
basketball	jooł nikídílniihí
ball	jooł
sand	séí
bindweed	nahooyéí
herb	hazaʼaleeh
celery	hazaʼaleehtsoh
ring	yoostsah
bead	yooʼ
bracelet	látsíní
sock	yistłé
jacket	éétsoh
coat	éénééz
cut	jizhgish
burn	ádoodlid
blood	dił
béésh áłtsʼózí	béésh áłtsʼózí
bee adleeshí	bee adleeshí
copper	béésh łichíiʼii
dah azką́	dah azką́
Homo sapiens	bílaʼashdlaʼii
tłʼiish áníní	tłʼiish áníní
firefly	chʼosh bikǫʼí
carbon	káábin
béésh ászólí	béésh ászólí
tin	béésh dildǫʼí
béésh łigaii	béésh łigaii
oxygen	níłchʼi yáʼátʼéehii
magnesium	béésh łikoní
sodium	soodin
hydrogen	háájiʼjin
níłchʼi ászólí	níłchʼi ászólí
níłchʼi łitsxooí	níłchʼi łitsxooí
cobalt	béésh łibáhí
níłchʼi dootłʼizhí	níłchʼi dootłʼizhí
Sunday	Damóo
Monday	Damóo Biiskání
Friday	Nidaʼiiníísh
gray	łibá
axe	tsénił
magazine	naaltsoos wóltaʼí
grouse	dįʼ
thorn	hosh
ripened	neestʼą́
pretty	nizhóní
sacred	diyin
bizęęs	sęęs
swan	dééłgai
pigeon	hasbídí
decorated	naashchʼąąʼ
dah alzhin	dah alzhin
Nematocera	tsʼíʼii
clock	náʼoolkiłí
dwelling	hooghan
snare	beeʼódleehí
or	éí doodaí éí
kǫʼ naʼałbąąsii diné bee nágéhé	kǫʼ naʼałbąąsii diné bee nágéhé
very	ayóo
quail	díłdánii
living thing	naaldeehii
number	námboo
time	naʼalkid
slave	naalté
herder	naʼniłkaadí
year	nááhai
crab	chʼosh bikágí ntłʼizí
iguana	naʼashǫ́ʼiitsoh
leader	naatʼáanii
Sunday	Damį́įgo
thin	tózháán
hat	bichʼah
flammable	łikon
tsi-	tsin
red	łichííʼ
titanium	béésh doo ńdiniichxíihii
ground	niʼ
Russia	Biʼééʼ Łichííʼí bikéyah
Catholic Church	Ééʼ neishoodii
clothing	ééʼ
rainforest	hodíłchʼil níłtsánígíí
guitar	agaanstsiin
German	Bééshbichʼahí
Dziłgaiitsoh Honeezkʼazii bikéyah	Dziłgaiitsoh Honeezkʼazii bikéyah
Himalayas	Dziłgaiitsoh Honeezkʼazii
agaanstsiin yiltązhí yázhí	agaanstsiin yiltązhí yázhí
tsídii naʼałkʼaiʼí	tsídii naʼałkʼaiʼí
bird	tsídii
parrot	tsídii yáłtiʼí
tónteel tsídii	tónteel tsídii
flamingo	tsídii jáádnézí
red ant	wóláchííʼ
red ant	wáláchííʼ
Héítii bizaad	Héítii bizaad
agaanstsiin yiltązhí dijoolígíí	agaanstsiin yiltązhí dijoolígíí
agaanstsiin yiltązhí nímazígíí	agaanstsiin yiltązhí nímazígíí
agaanstsiin yiltązhí názhahígíí	agaanstsiin yiltązhí názhahígíí
béeso neizooí	béeso neizooí
United Nations	Nahasdzáán Bikáaʼgi Kéyah Naaznilgo Ałhidadiidzooígíí
praying mantis	Naakaii náásééł
ocean	tónteel
united	ałhidadiidzooígíí
leaf	bitʼąąʼ
light	ászólí
Persian cat	mósíʼilí
pheasant	zéédzísgaii
hakʼaz bįįh	hakʼaz bįįh
łeeyiʼ chʼosh	łeeyiʼ chʼosh
irrigation	nidaʼąnyéézh
blister	tóʼiiłtą́
chʼosh bijáád hastání	chʼosh bijáád hastání
six	hastą́ą́
leg	bijáád
bizaʼazis hólónígíí	bizaʼazis hólónígíí
ten	neeznáá
three	tááʼ
four	dį́į́ʼ
five	ashdlaʼ
seven	tsostsʼid
nine	náhástʼéí
eleven	łaʼtsʼáadah
twelve	naakitsʼáadah
thirteen	tááʼtsʼáadah
fourteen	dį́į́ʼtsʼáadah
fifteen	ashdlaʼáadah
sixteen	hastą́ʼáadah
seventeen	tsostsʼidtsʼáadah
eighteen	tseebíítsʼáadah
nineteen	náhástʼéítsʼáadah
one	tʼááłáʼí
janitor	nahashoohí
florist	chʼil baa nahaniihí
tailor	ééʼ ííłʼíní
baker	bááh ííłʼíní
béésh bee haneʼé	béésh bee haneʼé
calendar	yoołkáłí
performance	nahaghá
náhásdzo yázhí	náhásdzo yázhí
experiment	nabóhonitaah
wheelbarrow	nabégilí
urine	łizh
bone	tsʼin
brass	béésh łitsoii
dilní daabééshígíí	dilní daabééshígíí
trails	bitiin
words	bizaad
tsin bigaan	tsin bigaan
arm	bigaan
Aooméénii bikéyah	Aooméénii bikéyah
van	chidí níyizí
pickup truck	chidí bikéeʼjįʼ adeezʼáhígíí
beside	bąąh
moustache	dághá
chidí bigaan	chidí bigaan
clergyman	ééʼ neishoodii
pace	adéesʼeez
bee naʼanishí	bee naʼanishí
too	ałdóʼ
tsin deigházhígíí	tsin deigházhígíí
therefore	háálá
everywhere	tʼáá ałtsogóó
tʼáá áłahjįʼ	tʼáá áłahjįʼ
tłʼóóʼgóó dadiltłiʼígíí	tłʼóóʼgóó dadiltłiʼígíí
one	-ígíí
desert	doo nidahałtingóó
tropics	deesdoigi
subtropics	honeezílígi
valence-change prefix	-ł-
fundamentals	áʼádaatʼéhígíí
moth	iichʼąhii
within	iiʼ
in	biiʼ
in	biyiʼ
chanter	hataałii
earwig	jeeʼiighááh
centipede	jáád łánii
many	łą́
kin shijaaʼ	kin shijaaʼ
town	kin łání
upon	yikʼi
upon	bikʼi
upon	yikááʼ
exchange	yikʼé
exchange	bikʼé
tłʼiish bichóhí	tłʼiish bichóhí
greetings	yáʼátʼééh
reptile	naaldlooshii dadichʼízhii
Pima	Naakétłʼáhí
wild boar	bisóodi ałchiní
I don't speak English	Bilagáana bizaad doo shił bééhózin da
dlǫ́ʼátah néʼéshjaaʼ	dlǫ́ʼátah néʼéshjaaʼ
owl	néʼéshjaaʼ
red-tailed hawk	atseełtsoii
łeeyiʼ bitiiní	łeeyiʼ bitiiní
dormouse	yéigo ałhoshii
tsiiyah wozhii	tsiiyah wozhii
pine weevil	neeshchʼííʼ biyaʼ
Antarctica	Shádiʼááhjí kéyah yistinígíí
waterfall	hadahiilį́
raspberry	dzidzé łikaní dinilchííʼígíí
Cyprus	Béésh Łichíiʼii bikéyah
chʼil bílátah hózhóón	chʼil bílátah hózhóón
flower	chʼilátah baa hózhónii
biyázhí neiyéhé	biyázhí neiyéhé
church	ééʼneishoodii bikin
finger	álázhoozh
work	naʼanish
work	naanish
jéí ádįįh	jéí ádįįh
I	Į
ooljééʼ nitʼą́ą́ hanádzá	ooljééʼ nitʼą́ą́ hanádzá
ooljééʼ łáhjigo nádaał	ooljééʼ łáhjigo nádaał
known	bééhózin
seed	akʼǫ́ǫ́ʼ
wren	jádídlǫ́ʼii
-ta	-tah
hell	chʼį́įdiitah
cherry	didzéchííʼ
antler	adeeʼ
moon	ooljééʼ
moon	tłʼéhonaaʼéí
oak	chéchʼil
maple	sóól
backbone	íígháán
caterpillar	chʼosh ditłʼooí
caterpillar	wódítłʼooí
inspection	naalkaah
mint	azeeniłchin
tłʼoh naadą́ą́ʼ	tłʼoh naadą́ą́ʼ
chili pepper	azeedíchʼííʼ
poison ivy	kʼíshíshjį́į́zh
agave	noodah
hackberry	jiłhazhí
sunflower	ndíyíliitsoh
merely	tʼóó
kʼįįʼ báhádzidígíí	kʼįįʼ báhádzidígíí
kʼįį-	kʼįįʼ
heaven	yáʼąąsh
rutabaga	tséyaa hataałí
turnip	chʼil bikétłʼóól dijoolí
there is	hólǫ́
ayęęzhii yiltʼąąʼí	ayęęzhii yiltʼąąʼí
mushroom	ábishjaaʼ
lime	chʼil dootłʼizhí díkʼǫ́zhígíí
bilasáana bitseeʼ hólóní	bilasáana bitseeʼ hólóní
gooseberry	kʼíníjíłʼahí
Taiwan	Táiwáán
whiskey	tódiłhił
wine	wáán
Lord's Prayer	Bóhólníihii bisodizin
reed	lókʼaaʼ
cattail	teeł
summer	shį́
éí doodaiiʼ éí	éí doodaiiʼ éí
or	doodaiiʼ
autumn	aakʼee
meals	daadánígíí
say	deiłní
jackrabbit	gahtsoh
chʼilátah baa hózhónii bijeeh	chʼilátah baa hózhónii bijeeh
Vietnam	Biʼednam
house	bikin
treaty	ahaʼdeetʼaah
naa-	anaaʼ
pleural	ajéí
heart	ajéídíshjool
pine	ńdíshchííʼ
tó nilį́į́h	tó nilį́į́h
wild gourd	ndilkal
government	wááshindoon
Rocky Mountains	Tsédeeshzha Dził
cloud	kʼos
dah iistłʼǫ́	dah iistłʼǫ́
turquoise	dootłʼizhii
argument	saadtah
tsé naatʼaʼí	tsé naatʼaʼí
pitch	bijeeh
twenty-two	naadįįnaaki
birch	kʼishchííʼ
ash	dahbaʼ
home	bighan
navigation	naʼaʼeełígíí
windy	níyol
government	biwááshindoon
wildcat	náshdóí
table	bikááʼ adání
made	ályaa
-ná	anááʼ
pupil	anázhiin
pupil	anázhiin ałníiʼdiígíí
gruel	tóshchíín
chéchʼil binááʼ	chéchʼil binááʼ
quadruped	naaldlooshii
one	łáaʼii
each other	ał-
hawk	dzílí
usually	łeh
dahsitą́	dahsitą́
picture	eʼelyaa
béeso adaʼhaʼnį́į́ł	béeso adaʼhaʼnį́į́ł
sweet potato	nímasii łikaní
beeʼeldǫǫh tʼáá bíniʼdii bikʼa ádiih yiyiinííłígíí	beeʼeldǫǫh tʼáá bíniʼdii bikʼa ádiih yiyiinííłígíí
photograph	eʼelyaaígíí
toad	chʼał dichʼízhí
what about	shąʼ
táłtłʼááh chʼosh daadánígíí	táłtłʼááh chʼosh daadánígíí
naaki góneʼ	naaki góneʼ
inside	góneʼ
shellfish	łóóʼ bitsʼaʼ dahólónígíí
gruel	naadą́ą́ʼ dootłʼizhí
ílį́įgo naalyéhé	ílį́įgo naalyéhé
autumn	aakʼeego
during	-go
winter	haigo
who	háí
summer	shį́įgo
springtime	dąągo
do not	tʼáadoo
beetle	chéłchaaʼ
locust	wóóneeshchʼįįdii
from	-dę́ę́ʼ
federal government	Wááshindoon
not	doo...da
nitʼąąʼ nahaneʼ	nitʼąąʼ nahaneʼ
sand painting	iikááh
at	-gi
at	-di
sing	hataał
łé-	łeezh
tobacco pipe	nátʼostseʼ
bar	bikááʼ adlání
naalyéhé bá hooghan	naalyéhé bá hooghan
merchandise	naalyéhé
cow	béégashii
béégashii yáázh	béégashii yáázh
soap	táláwosh
mica (original meaning source)	tsésǫʼ
hammer	bee atsidí
bee	tsísʼná
rope	tłʼóół
oak	tséchʼil
moccasin	kélchí
ké yistłóní	ké yistłóní
marijuana	naakai binátʼoh
with us	nihił
disease	ąąh dah hazʼą́
disease	ąąh dah hoyoołʼaałii
white man	bilagáana
gourd	aghááł
spoon	bééshʼadeeʼ
antler	bideeʼ
walrus	tábąąstííntsoh bideeʼ hólónígíí
sea lion	tábąąstííntsoh
personal computer	béésh bee akʼeʼelchí áłtsisígíí
computer	béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí
pronghorn	jádí
nahachagii biyázhí	nahachagii biyázhí
Milky Way	yikáísdáhí
medicine	azeeʼ
spinach	waaʼ
łáaʼii góneʼ	łáaʼii góneʼ
tááʼ góneʼ	tááʼ góneʼ
dį́į́ʼ góneʼ	dį́į́ʼ góneʼ
ashdlaʼ góneʼ	ashdlaʼ góneʼ
hastą́ą́ góneʼ	hastą́ą́ góneʼ
tsostsʼid góneʼ	tsostsʼid góneʼ
tseebíí góneʼ	tseebíí góneʼ
náhástʼéí góneʼ	náhástʼéí góneʼ
neeznáá góneʼ	neeznáá góneʼ
broadcast	naasas
it	sisas
naaghá	naʼadá
aspirin	atsiitsʼiin dinih azeeʼ
some	łaʼ
wing	atʼaʼ
Merry Christmas	Yáʼátʼééh Késhmish
hornet	tsísʼnáłtsooítsoh
yellowjacket	tsísʼnáłtsooí
just	tʼáá
lightning	atsiniltłʼish
aahwiinítʼį́ bá hooghan	aahwiinítʼį́ bá hooghan
tsáskʼeh bá hooghan	tsáskʼeh bá hooghan
raven	zhį́ʼii
tsin naabąąs	tsin naabąąs
they	daabí
go ahead	hágoshį́į́
lying around	naaznilgo
crane	dééł
little	yáázh
little	yázhí
ago	yę́ędą́ą́ʼ
aforementioned	yę́ę
autumn	aakʼeedą́ą́ʼ
last summer	shį́į́dą́ą́ʼ
last winter	haidą́ą́ʼ
probably	shį́į́
wagon	tsinaabąąs
back	tʼą́ą́ʼ
water	taah
nothing	ádin
by means of	nihee
but	ndi
by means of	shee
story	bahaneʼ
so then	áko
forever	hoolʼáágóó
to	-góó
extend	hoolʼá
current events	ádahooníłígíí
next day	biiskání
excess	biláahgo
beyond	bilááh
beyond	biláahdi
beyond	bilááhgóó
ahead	biláahjįʼ
completed	ałtso
later	náasdi
forward	náás
future	náásgóó
lengthwise	náásee
there	áadi
there	aadę́ę́ʼ
there	áádę́ę́ʼ
there	aadóó
point	áajiʼ
direction	áájí
optative	lágo
tʼáá átʼé	tʼáá átʼé
is	átʼé
only	tʼéí
only	tʼéiyá
sister	adeezhí
newspaper	aseezį́ binaaltsoos
glove	lájish
pants	tłʼaajįʼééʼ
deijiʼ ééʼ	deijiʼ ééʼ
nose	áchį́į́h
elbow	achʼoozhlaaʼ
asdzání bichʼah	asdzání bichʼah
dress	tłʼaakał
too	dóʼ
blanket	beeldléí
arrowhead	kʼaabéésh
béésh	béésh astʼogii
coffee	gohwééh
meteor	sǫʼ nanidéhígíí
beautifully	nizhónígo
that one	éidí
now	kʼad
marked	náhásdzo
road	atiin
petroleum	tókǫʼí
petroleum	akʼahkǫʼ
chidí bitooʼ	chidí bitooʼ
fat	akʼah
social security card	naanish binaaltsoos
water	táłkááʼ
laughter	dloh
scarf	zéédéełdoii
with each other	ahił
clock	naʼalkidí
upper part	deijiʼ
ground	łeeyiʼ
upward	dego
Internet	Béésh Łichíiʼii Bee Ééhoozinígíí
telegraph	béésh łichíiʼii bee dahaniʼígíí
naaʼahóóhai aleeh	naaʼahóóhai aleeh
bee haʼnitá	bee haʼnitá
tsitsʼaaʼ naadloʼí	tsitsʼaaʼ naadloʼí
ééʼ bee naatʼáhí	ééʼ bee naatʼáhí
bottom	táłtłʼááh
deictic	ho-
chʼil naʼatłʼoʼii	chʼil naʼatłʼoʼiitsoh
chicken	naaʼahóóhai
lion	náshdóítsoh bitsiijįʼ diʼilígíí
do you speak English	Bilagáana bizaadísh dinitsʼaʼ
haigééd	ha-
amen	tʼáá ákótʼée doo
wóláchííʼ yildeełí	wóláchííʼ yildeełí
okay	lą́ʼąąʼ
night	tłʼééʼ
how old are you	díkwíí ninááhai kʼad
how many	díkwíí
hundred	neeznádiin
nowadays	dííshjį́
Solar System	Yágháhookáán biiʼ hólónígíí
Naabeehó nishłį́	Naabeehó nishłį́
US-American	ílį́įgo Wááshindoon Bikéyah biiʼ kééhojitʼíinii
valuable	ílį́įgo
United States	Wááshindoon Bikéyah
cell phone	biłńjoobałí
one hundred	tʼááłáhádí neeznádiin
two hundred	naakidi neeznádiin
three hundred	táadi neeznádiin
four hundred	dį́įʼdi neeznádiin
five hundred	ashdladi neeznádiin
six hundred	hastą́ądi neeznádiin
seven hundred	tsostsʼidi neeznádiin
eight hundred	tseebíidi neeznádiin
nine hundred	náhástʼéidi neeznádiin
this	díí
díí jį́	díí jį́
where	háadi
here	kwii
here	kweʼé
there	níláahdi
that one	níléí
that one	nléí
when	hahgo
tʼáá ałtso	tʼáá ałtso
that one	ńléí
