house	Haus
cricket	Cricket
curium	Curium
day	Dag
dessert	Dessert
diamond	Diamant
door	Dier
plank	Dill
thunder	Donner
dossier	Dossier
deed	Dot
dirt	Dreck
dysprosium	Dysprosium
einsteinium	Einsteinium
elephant	Elefant
enamel	Email
angel	Engel
erbium	Erbium
Estonian	Est
europium	Europium
case	Fall
February	Februar
fairy	Fee
fermium	Fermium
photographic	Film
Finn	Finn
spot	Fleck
woman	Fra
francium	Francium
gadolinium	Gadolinium
bile	Gal
gallium	Gallium
gas	Gas
gel	Gel
money	Geld
genius	Genie
germanium	Germanium
glass	Glas
goal	Gol
golf	Golf
grass	Gras
hafnium	Hafnium
hall	Hal
foyer	Hall
neck	Hals
Schläiss	Ham
hamster	Hamster
hand	Hand
mobile phone	Handy
skin	Haut
bush	Heck
hoe	Heel
hero	Held
heroine	Heldin
helium	Helium
helmet	Helm
sky	Himmel
hedge	Ho
hail	Hol
holmium	Holmium
hotel	Hotel
hammer	Hummer
indium	Indium
insect	Insekt
Irishman	Ir
iridium	Iridium
Italy	Italien
jealousy	Jalousie
January	Januar
yes	Jo
July	Juli
June	Juni
potassium	Kalium
can	Kan
kilometer	Kilometer
copper	Koffer
critique	Kritik
krypton	Krypton
kangaroo	Känguru
lacquer	Lack
land	Land
louse	Laus
lawrencium	Lawrencium
slate	Lee
lithium	Lithium
lung	Long
lutetium	Lutetium
magnesium	Magnesium
mango	Mango
man	Mann
mast	Mast
moth	Matt
mouth	Maul
mendelevium	Mendelevium
mouth	Mond
Mongolian	Mongol
chick	Moss
engine	Motor
month	Mount
mussel	Mull
sodium	Natrium
neon	Neon
neptunium	Neptunium
niobium	Niob
nobelium	Nobelium
zero	Null
October	Oktober
orange	Orange
osmium	Osmium
path	Pad
palladium	Palladium
paprika	Paprika
parish	Par
patent	Patent
personnel	Personal
beach	Plage
plutonium	Plutonium
poker	Poker
polonium	Polonium
portal	Portal
post	Post
problem	Problem
promethium	Promethium
protactinium	Protactinium
wheel	Rad
radio	Radio
radium	Radium
radon	Radon
cream	Ram
report	Rapport
rat	Rat
right	Recht
horizontal bar	Reck
rhenium	Rhenium
rhodium	Rhodium
skirt	Rock
advice	Rot
rubidium	Rubidium
rugby	Rugby
ruthenium	Ruthenium
rutherfordium	Rutherfordium
salami	Salami
samarium	Samarium
sand	Sand
scandium	Scandium
saw	See
senior	Senior
signal	Signal
briefs	Slip
tale	So
seed	Som
memory	Souvenir
bacon	Speck
stable	Stall
stand	Stand
stone	Steen
beach	Strand
strontium	Strontium
summer	Summer
symptom	Symptom
technetium	Technetium
telephone	Telefon
tennis	Tennis
terbium	Terbium
thallium	Thallium
thorium	Thorium
thulium	Thulium
titanium	Titan
uranium	Uran
vanadium	Vanadium
verse	Vers
indicator	Winker
balance	Wo
car	Won
xenon	Xenon
ytterbium	Ytterbium
yttrium	Yttrium
zebra	Zebra
zone	Zon
zoo	Zoo
badminton	Badminton
who	wien
here	hei
holy	Ramadan
grave	Graf
suffer	leiden
Aristotle	Aristoteles
cut	schneiden
tailor	Schneider
mince	Gehacktes
box	boxen
farmer	Bauer
build	bauen
bus	Bus
joint	Brot
oxygen	Sauerstoff
fluorine	Fluor
silicon	Silizium
phosphorus	Phosphor
chlorine	Chlor
calcium	Kalzium
chromium	Chrom
manganese	Mangan
cobalt	Kobalt
arsenic	Arsen
selenium	Selen
bromine	Brom
zirconium	Zirkonium
molybdenum	Molybdän
antimony	Antimon
tellurium	Tellur
iodine	Iod
caesium	Cäsium
lanthanum	Lanthan
cerium	Cer
praseodymium	Praseodym
neodymium	Neodym
tantalum	Tantal
tungsten	Wolfram
bismuth	Bismut
astatine	Astat
India	Indien
east	Osten
diminutive	-chen
bed	Bett
now	elo
ever	jee
act	Handlung
treatment	Behandlung
adventure	Abenteuer
put	stellen
name	nennen
think	denken
ocean	Ozean
get used to	gewinnen
order	bestellen
felt	Filz
interpreter	Dolmetscher
stomach	Bauch
salt	Salz
throw	werfen
dwarf	Zwerg
sing	sangen
avoid	meiden
addiction	Sucht
wood	Holz
knife	Messer
tail	Schwanz
lyre	Leier
tent	Zelt
lynx	Luchs
flat	platt
field	Feld
glue	Pech
net	Netz
point	Punkt
moss	Moos
wall	Mauer
hedgehog	Igel
scarf	Schal
badger	Dachs
south	Süden
north	Norden
deer	Hirsch
hemp	Hanf
asparagus	Spargel
germ	Keim
marten	Marder
blood vessel	Oder
or	oder
mourning	Trauer
coat	Mantel
Bible	Bibel
sheet	Blech
purchase	Achat
then	dann
good	gutt
vague	flou
easy	einfach
noun	Substantiv
pursue	verfollegen
hide	verstoppen
book	buchen
Latvian	Lett
limit	beschränken
tired	midd
much	vill
duke	Herzog
-est	-st
move	bewegen
get used	winnen
everything	alles
know	kennen
false	falsch
just	gerecht
keep	halen
alarm clock	Wecker
second	zweet
chess	Schach
Sweden	Schweden
Norway	Norwegen
God	Gott
sound	Laut
stop	stoppen
cylinder	Zylinder
observe	beobachten
cup	Becher
me	mech
she	hatt
cinema	Kino
twin	Zwilling
custom	Zoll
put	setzen
sour	sauer
hope	hoffen
work	schaffen
bride	Braut
use	gebrauchen
commandment	Gebot
rescue	retten
pure	reng
bet	wetten
slope	Hank
neither	weder
report	mellen
ought	sollen
baker	Bäcker
stork	Storch
off	of-
stock market	Bourse
show	weisen
purpose	Zweck
ill	krank
number	Nummer
intention	Absicht
thank	danken
cover	decken
thresh	dreschen
ram	Widder
youth	Jugend
lamb	Lamm
prong	Zack
foam	Schaum
hardly	kaum
bakery	Bäckerei
forehead	Stier
-ism	-ismus
evening	owes
rough	rau
leather	Lieder
maple	Ahorn
loyal	trei
prayer	Gebiet
calculate	rechnen
burn	brennen
muscle	Muskel
stem	Stamm
shower	Schauer
tame	zam
end	Schluss
building	Bau
abbey	Abtei
anvil	Amboss
anchor	Anker
apostle	Apostel
beaver	Biber
date	Dattel
duration	Dauer
compartment	Fach
fibre	Faser
enemy	Feind
plait	flechten
tailcoat	Frack
vulture	Geier
law	Gesetz
shine	Glanz
wether	Hammel
staple	heften
hurry	hetzen
cellar	Keller
sound	Klang
cheek	Bak
form	bilden
recognise	erkennen
guess	ahnen
bang	Knall
crane	Kran
wreath	Kranz
puzzle	Rätsel
pilgrim	Pilger
conductor	Schaffner
sound	Schall
slim	schlank
scarlet fever	Scharlach
thigh	Schenkel
bad	schlecht
hit	Schlag
mud	Schlamm
swan	Schwan
spider	Spann
sparrow	Spatz
spinach	Spinat
traffic jam	Stau
bush	Strauch
truffle	Trüffel
salmon	Salem
brew	brauen
stretch	dehnen
compose	dichten
avenue	Allee
push	drängen
rotten	faul
pious	fromm
smooth	glat
hamper	hemmen
poet	Dichter
chapter	Kapitel
drink	saufen
recommend	roden
peel	schielen
snow	schneien
smear	schmieren
spin	spannen
hit	treffen
trust	trauen
separate	trennen
act	Akt
numeral	Ziffer
himself	sech
cold	kal
elm	Ulm
newspaper	Zeitung
kind	Aart
need	brauchen
bismuth	Wismut
crocodile	Krokodil
love	Léift
sweetheart	Häerzi
closed	zou
rectangle	Rechteck
physics	Physik
nine	néng
therein	doran
film	filmen
form	formen
dead	dout
shower	duschen
antique	antik
after	no
de-	des-
metal	Metall
fit	passen
gentleman	Monsieur
behave	verhalen
Russian	Russ
paint	molen
ask	bieden
act	handelen
injured	wond
remember	gedenken
where	wou
blue	blo
bake	baken
kitten	Kätzchen
secret	geheim
not	keng
parrot	Papagei
alcohol	Alkohol
mushroom	Champignon
camera	Fotoapparat
brothel	Bordell
policeman	Polizist
pheasant	Fasan
that	datt
meeting	Versammlung
penguin	Pinguin
crystal	Kristall
biology	Biologie
motorcycle	Motorrad
current	aktuell
falsify	fälschen
triplet	Drilling
smell	richen
bankrupt	bankrott
bankruptcy	Bankrott
slap	haen
he	hien
hunt	joen
wrist	Handgelenk
trip	Rees
receipt	Quittung
stool	Hocker
risk	Risiko
turning point	Wendepunkt
malt	Malz
secret	Geheimnis
hole punch	Locher
grill	grillen
plastic	Plastik
swear	fluchen
but	mä
granddaughter	Enkelin
occupy	besetzen
politician	Politiker
pregnancy	Schwangerschaft
astrology	Astrologie
local	lokal
turn	wennen
temple	Tempel
decadent	dekadent
comma	Komma
limited	beschränkt
simplify	vereinfachen
broth	Britt
competent	kompetent
industrial	industriell
move	versetzen
interesting	interessant
skeleton	Skelett
name	benennen
popular	populär
march	Marsch
program	Programm
acupuncture	Akupunktur
aggressive	aggressiv
replace	ersetzen
chain	Ketten
slavery	Sklaverei
sugar	Zocker
arrogance	Arroganz
canal	Kanal
present	Geschenk
square	Quadrat
alcoholism	Alkoholismus
distance	Distanz
rhombus	Karo
visionary	Visionär
education	Bildung
brewery	Brauerei
authoritarian	autoritär
accessory	Accessoire
enormous	enorm
disgrace	Blamage
flip	flippen
apostrophe	Apostroph
stake	Poul
applause	Applaus
accusative case	be-
coward	Feigling
witchcraft	hexen
magic	Magie
botany	Botanik
holiday	Animateur
body	Leif
you	dech
blackmail	erpressen
mineralogy	Mineralogie
hexagon	Sechseck
ride	reiden
name	ernennen
naive	naiv
determine	festsetzen
count	zielen
essence	Wiesen
Brazil	Brasilianer
Brazil	Brasilianerin
autopsy	Autopsie
canoe	Kanu
gram	Gramm
lean	moer
kidnap	entgleisen
complete	komplett
currency	Währung
container	Behälter
engineer	Ingenieur
alcoholic	Alkoholiker
thunder	Dimmer
parallelogram	Parallelogramm
injure	verletzen
laze	faulenzen
subscription	Abonnement
subscriber	Abonnent
announcement	Annonce
apartment	Appartement
New Year's Eve	Silvester
accordion	Akkordeon
billiards	Billard
report	Bericht
electrician	Elektriker
bidet	Bidet
Tasmania	Tasmanien
knock	klappen
porter	Portier
governor	Gouverneur
model	Modell
Japanese	Japaner
capsule	Kapsel
hello	Salut
clutch	Kupplung
strategy	Strategie
line	Linn
manage	auskommen
shop	Geschäft
cork	Kork
acrobat	Akrobat
acrobatics	Akrobatik
announcement	Meldung
edge	Kant
Lithuanian	Litauer
jeans	Jeans
squabble	kazen
surgeon	Chirurg
drive	fueren
zander	Zander
french fries	Fritten
injury	Blessur
border	grenzen
quiet	lues
canton	Kanton
Ukrainian	Ukrainer
live	zieren
my	mäin
his	säin
before	virun
vomit	Katz
boo	buhen
dozen	Dosen
equator	Äquator
article	Artikel
dative case	enger
address	duzen
abandon	aussetzen
caramel	Karamell
artery	Arterie
arithmetic	Arithmetik
reflexive	reflexiv
link	verbannen
current	momentan
martyr	Märtyrer
goodbye	äddi
figure	Figur
autograph	Autogramm
improvement	Besserung
prove	beweisen
ambulance	Ambulanz
our	eist
thought	Gedanken
athlete	Athlet
old	Alstad
field	Aker
grievous	leed
blanket	Decken
flutter	fladderen
policewoman	Polizistin
radioactive	radioaktiv
gamble	verspillen
stink	fachen
arable	rueden
pandemic	Pandemie
lavender	Lavendel
cap	Kap
yes	dach
home	heem
establish	feststellen
hectare	Hektar
bark	billen
spoon	Läffel
correct	korrekt
tell	erzielen
check	checken
siege	Belagerung
out-	aus-
goodbye	awar
whom	wiem
other	aner
press	bengelen
thither	duer
resound	schalen
plaster	gipsen
destroy	himmelen
loose	labber
dew	Da
diamonds	Rauten
say	soen
employee	Beamten
hammer	hummeren
sleep	pennen
clean	feeën
fantastic	formidabel
behind	hannen
snatch	kropen
either	entweder
must	mussen
wait	waarden
brake	bremsen
deaf	daf
click	klicken
offside	Abseits
historian	Historiker
missionary	Missionar
horrify	entsetzen
epidemic	Epidemie
offend	kränken
acquaintance	Bekannten
appeal	Appell
-y	-eg
sender	Absender
speak	schwätzen
amount	Betrag
dystopia	Dystopie
aftershave	Aftershave
hat	Hutt
effort	Hoff
spelling	Ä
I	ech
happy	frou
tomorrow	muer
lid	Deckel
duchy	Herzogtum
rod	Rutt
end	Enn
torture	folteren
warm	waarm
your	deng
stare	glotzen
Bulgarian	Bulgar
sweep	kieren
purple	mof
sparkle	fonkelen
chess piece	Schachfigur
characteristic	Charakteristik
lie	Ligen
talk	rieden
jump	sprangen
jealous	jalous
arrogant	vermengt
lie	leien
hurry	tommelen
strange	gelungen
duck	ducken
missionary position	Missionarsstellung
hoard	hamsteren
breakage	Broch
May	Mee
palace	Palais
bishopric	Bistum
flannel	Flanell
dative case	engem
breastfeed	nieren
scurry	huschen
world-famous	weltbekannt
Jew	Judd
epidemiology	Epidemiologie
therewith	domat
foreign	friem
smell	doften
sieve	Siff
Germany	Däitschland
my	mengem
toot	tuten
advise	coachen
scarce	knapps
animal	Mudder
dog	Hond
wolf	Wollef
water	Waasser
nice	flott
behead	käppen
frame	Kader
lay	dillen
picky	glott
bright	Do
hurry	begannen
play	spillen
mill	fräsen
stick	kollen
March	Mäerz
April	Abrëll
Sunday	Sonndeg
Monday	Méindeg
Tuesday	Dënschdeg
Wednesday	Mëttwoch
Thursday	Donneschdeg
Friday	Freideg
Saturday	Samschdeg
fox	Fuuss
cow	Kou
insect	Méck
bee	Bei
butterfly	Päiperlek
bumblebee	Bommel
ladybird	Himmelsdéierchen
beetle	Kiewerlek
earwig	Ouereschlëffer
dragonfly	Libell
cat	Kaz
lion	Léiw
horse	Päerd
one	eent
three	dräi
four	véier
five	fënnef
seven	siwen
eight	aacht
ten	zéng
eleven	eelef
twelve	zwielef
thirteen	dräizéng
fourteen	véierzéng
fifteen	fofzéng
sixteen	siechzéng
seventeen	siwwenzéng
eighteen	uechtzéng
nineteen	nonzéng
twenty	zwanzeg
thirty	drësseg
forty	véierzeg
fifty	fofzeg
sixty	siechzeg
seventy	siwwenzeg
ninety	nonzeg
hundred	honnert
thousand	dausend
rabbit	Kanéngchen
animal	Déier
frog	Fräsch
toad	Mouk
pig	Schwäin
fish	Fësch
bird	Vull
duck	Int
dove	Dauf
goose	Gäns
bull	Stéier
black	schwaarz
green	gréng
brown	brong
yellow	giel
white	wäiss
grey	gro
colour	Faarf
table tennis	Dëschtennis
badminton	Fiederball
cycling	Vëlossport
ice hockey	Äishockey
orienteering	Orientéierungslaf
fruit	Fruucht
banana	Banann
apricot	Aprikos
pumpkin	Kalbass
lemon	Zitroun
fig	Fig
learn	léieren
write	schreiwen
make	maachen
go	goen
stand	stoen
get	kréien
be able	kënnen
want	wëllen
allowed	däerfen
grapefruit	Pampelmousse
know	wëssen
have	hunn
apple	Apel
look	kucken
drink	drénken
find	fannen
buy	kafen
grape	Drauf
eat	iessen
ask	froen
understand	verstoen
tomato	Tomat
bring	bréngen
drive	dreiwen
help	hëllefen
cherry	Kiischt
artichoke	Artichaut
potato	Gromper
ground	Grond
carrot	Muert
cabbage	Kabes
cauliflower	Choufleur
cucumber	Kornischong
bean	Boun
lettuce	Laitue
turnip	Ribb
pea	Ierbes
radish	Réidchen
shallot	Schallott
onion	Zwiwwel
onion	Ënn
lentil	Lëns
garlic	Knuewelek
France	Frankräich
Switzerland	Schwäiz
Belarus	Wäissrussland
lark	Léiweckelchen
squirrel	Kaweechelchen
goat	Geess
hippopotamus	Nilpäerd
bat	Fliedermaus
owl	Eil
airport	Fluchhafen
train station	Gare
coffee	Kaffi
tea	Téi
mineral water	Mineralwaasser
milk	Mëllech
apple juice	Äppeljus
grape juice	Drauwejus
tomato juice	Tomatejus
fruit juice	Uebstjus
wine	Wäin
cider	Äppelviz
bicycle	Vëlo
eel	Éil
eel	Laangfësch
abortion	Avortement
absurdity	Absurditéit
abuse	Abus
academic	akadeemesch
accessible	accessibel
accomplice	Kompliz
accordionist	Akkordeonist
accountant	Comptabel
acorn	Eechel
actor	Acteur
admiral	Admirol
lovely	häerzeg
adventure	Aventure
adventurous	abenteuerlech
-like	-lech
opponent	Géigner
heart	Häerz
aeroplane	Avion
aeroplane	Fliger
-ic	-esch
one-sided	eesäiteg
Luxembourgish	Lëtzebuergesch
Luxembourgish	lëtzebuergesch
German	däitsch
afterwards	hannenno
French	Franséisch
French	franséisch
Limburgish	Limburgesch
Limburgish	limburgesch
Dutch	Hollännesch
Dutch	Nidderlännesch
Dutch	hollännesch
Dutch	nidderlännesch
Netherlands	Nidderlanden
agency	Agence
agreeable	agreabel
kingdom	Kinnekräich
cultivation	Akerbau
king	Kinnek
help	Hëllef
realm	Räich
air conditioning	Klimaanlag
airfield	Fluchfeld
airline	Fluchgesellschaft
from	vun
alley	Gaass
almighty	allmächteg
alone	eleng
already	ewell
altar	Altor
list	Lëscht
amazing	erstaunlech
city	Stad
ambassador	Ambassadeur
ambush	Hannerhalt
part	Deel
commodity	Kamouditéit
through	duerch
friendly	frëndlech
name	Numm
entertainment	Distraktioun
rock	Fiels
stream	Baach
anaesthetist	Anästhesist
anchovy	Anchois
year	Joer
friend	Frënd
powerful	mächteg
anger	Ierger
slope	Gefäll
fisherman	Fëscher
angry	hafteg
ankle	Knéchel
anniversary	Joresdag
beautiful	schéin
little	wéineg
answer	Äntwert
antifreeze	Antigel
antlers	Gewei
anxious	ängschtlech
anyway	iwwerhaapt
apart	auserneen
block of flats	Appartementshaus
ape	Af
shocked	entsat
apple core	Apelbatz
the	deen
archangel	Äerzengel
bishop	Bëschof
arduous	beschwéiert
arm	Aarm
poor	aarm
armchair	Fotell
army	Arméi
arse	Aasch
arse-licker	Aaschkrécher
arsehole	Aaschlach
actually	eigentlech
as long as	esoulaang
as soon as	esoubal
Ash Wednesday	Äschermëttwoch
donkey	Iesel
finally	endlech
table	Dësch
clumsy	flappseg
child	Kand
tree	Bam
tooth	Zant
comb	Kamp
shoe	Schong
leg	Been
English	Englesch
English	englesch
medicine	Medezin
baby	Chrëschtkëndchen
Christianity	Chrëschtentum
Christmas	Chrëschtdag
empty	eidel
twenty-one	eenanzwanzeg
board game	Brietspill
game	Spill
morning	Moien
goodbye	Awar
bread	Brout
biscuit	Kichelchen
chocolate	Schockela
cake	Kuch
stockfish	Stackfësch
cod	Cabillaud
television	Televisioun
birthday	Gebuertsdag
flower	Blumm
mother	Mamm
father	Papp
brother	Brudder
sister	Schwëster
grandmother	Groussmamm
grandfather	Grousspapp
uncle	Monni
aunt	Mattant
cousin	Koseng
daughter	Duechter
son	Fils
rose	Rous
daffodil	Narziss
daisy	Margréitchen
plant	Planz
sky blue	himmelblo
window	Fënster
soup	Zopp
finger	Fanger
thumb	Daum
elbow	Ielebou
shoulder	Schëller
throat	Schléck
head	Kapp
ear	Ouer
nose	Nues
lip	Lëps
tongue	Zong
hair	Hoer
fingernail	Fangernol
toenail	Zéiwennol
nostril	Nueslach
chin	Kënn
asscheek	Aaschbak
eyebrow	Aperhoer
knee	Knéi
liver	Liewer
rib	Rëpp
bladder	Blos
kidney	Nier
chair	Stull
radiator	Heizkierper
candle	Käerz
vase	Vas
chimney	Kamäin
mirror	Spigel
ornament	Ornament
cushion	Këssen
curtain	Rido
hour	Auer
niece	Niess
nephew	Neveu
magazine	Zäitschrëft
snake	Schlaang
snail	Schleek
nowadays	hautdesdaags
yesterday	gëschter
week	Woch
weekday	Wochendag
decade	Joerzéngt
century	Joerhonnert
millennium	Joerdausend
evening	Owend
night	Nuecht
midday	Mëtteg
body	Kierper
planet	Planéit
sole	Fousssuel
library	Bibliothéik
bookcase	Bicherschaf
butchershop	Metzlerei
butter	Botter
cheese	Kéis
sausage	Wurscht
meat	Fleesch
ship	Schëff
steak	Bifdeck
town hall	Märei
worm	Wuerm
foot	Fouss
toe	Zéif
bone	Schank
abdomen	Ënnerläif
family	Famill
washing machine	Wäschmaschinn
discotheque	Diskothéik
shirt	Hiem
box	Béchs
mailbox	Bréifkëscht
letter	Bréif
chemistry	Chimie
guitar	Gittar
clarinet	Klarinett
bagpipes	Duddelsak
beam	Dunn
beard	Baart
beautician	Estheticienne
beer mat	Béierdeckel
bell	Klack
bench	Bänk
substitutes' bench	Ersatzbänk
billy goat	Geessebock
bird of prey	Gräifvull
farrier	Houfschmadd
blind	blann
blister	Bloder
blood	Blutt
blood red	bluttrout
bomb	Bomm
bookworm	Bicherwuerm
chest	Broscht
bottle	Fläsch
bowel	Daarm
bowl	Boll
brandy	Branntewäin
bread roll	Bréitchen
escape	Ausbroch
bridegroom	Bräitchemann
bridge	Bréck
broad bean	Gaardeboun
brush	Biischt
building	Gebai
burdock	Klett
burglar	Abriecher
button	Knapp
northern goshawk	Héngerdéif
cage	Käfeg
calendar	Kalenner
calf	Kallef
camel	Kaméil
canary	Kanarievillchen
candlestick	Käerzestänner
cannon	Kanoun
caravan	Caravane
postcard	Kaart
cardboard	Kartrong
cardinal	Kardinol
nursing home	Fleegeheem
carp	Kaarp
till	Kess
cashier	Caissier
barrel	Faass
casket	Kassett
eye	Kazena
cave	Hiel
church	Kierch
core	Batz
cinnamon	Kanéil
classroom	Klassesall
cleaner	Botzfra
cleaver	Beilen
comet	Koméit
constellation	Konstellatioun
monastery	Klouschter
courier	Coursier
cookbook	Kachbuch
kitchen	Kichen
coral	Korall
cornflower	Karblumm
cough	Houscht
court	Geriicht
madman	Geck
pothole	Kaul
gangster	Gängster
crispbread	Knäckebrout
crowbar	Briecheisen
cuckoo	Guckuck
cymbal	Jummdeckel
dance	Danz
dancer	Dänzer
freezer	Killtruh
deity	Gottheet
delicacy	Delikatess
dermatologist	Hautdokter
devil	Däiwel
diameter	Duerchmiesser
dictionary	Wierderbuch
dill	Dëll
intervertebral disc	Bandscheif
infection	Infektioun
distillery	Brennerei
ditch	Gruef
diver	Daucher
division	Divisioun
doctor	Dokter
dormitory	Dortoir
dragon	Draach
drawbridge	Falbréck
dream	Dram
dreamer	Dreemert
dresser	Dressoir
bathrobe	Buedmantel
journey	Faart
driving instructor	Fahrlehrer
drizzle	Gefisems
drought	Dréchent
drug	Drog
tip	Dreckstipp
royal	Kinnekshaus
earth	Äerd
teacher	Enseignant
egg	Ee
egg white	Eewäiss
egg yolk	Eegiel
eiderdown	Diwwi
ejaculation	Ejakulatioun
elder	Hielenner
dyke	Däich
embassy	Ambassade
embers	Glous
emotion	Emotioun
emperor	Keeser
footnote	Foussnout
envelope	Ëmschlag
environment	Ëmwelt
Epiphany	Dräikinneksdag
erection	Erektioun
example	Beispill
exclamation mark	Ausruffzeechen
eyelid	Aendeckel
famine	Hongersnout
courtyard	Haff
farmhouse	Bauerenhaus
farmhand	Kniecht
feather	Fieder
feast day	Festdag
fence	Gelänner
ferry	Fähr
fever	Féiwer
fiction	Fiktioun
fingerprint	Fangerofdrock
fingertip	Fangerspëtz
fir	Dänn
fire extinguisher	Feierläscher
fishing rod	Aangel
fist	Fauscht
flag	Fändel
flame	Flam
lightning	Blëtz
mistake	Feeler
flax	Fluess
flea	Flou
flea market	Floumaart
flour	Kniddel
fluff	Fisem
flyer	Fluchblat
foal	Fillen
footprint	Foussspur
forest	Bësch
forester	Fierschter
fork	Forschett
foundry	Géisserei
fragrance	Doft
deceit	Bedruch
freedom	Fräiheet
freighter	Frachtschëff
comrade	Komerod
fringe	Fränjel
frost	Frascht
fair	Kiermes
gable	Giewel
garden	Gaart
gardener	Gäertner
ghost train	Geeschterbunn
spectacles	Brëll
glockenspiel	Klackespill
glove	Händsch
glutton	Gourmang
goldfish	Goldfësch
Good Friday	Karfreideg
grasshopper	Heesprénger
gravedigger	Doudegriewer
grocer	Epicier
hailstone	Knëppelsteen
handyman	Kniwweler
harp	Harf
hay	Hee
hayfever	Heeschnapp
hazel	Hieselter
hazelnut	Hieselnoss
hearse	Doudewon
heirloom	Ierfstéck
chicken	Hong
herring	Hierk
hill	Hiwwel
hip	Hëft
hunt	Juegd
hunter	Jeeër
hut	Häip
hymn	Kierchelidd
song	Lidd
hyphen	Bindestréch
hypothesis	Hypothees
ice	Äis
ice cream	Glace
ice rink	Äispiste
iceberg	Äisbierg
idea	Iddi
imagination	Imaginatioun
inflation	Inflatioun
information	Informatioun
road sign	Hiwäisschëld
inspector	Inspekter
interpretation	Interpretatioun
jacket	Jackett
jam	Gebeess
jaundice	Gielzecht
jellyfish	Jelliskapp
jewel	Bijou
jeweller	Bijoutier
work	Aarbecht
job centre	Aarbechtsamt
joy	Freed
kidney	Éierchen
kipper	Béckerlek
kiss	Bees
kneecap	Knéischeif
knot	Knuet
owner	Eegentemer
lathe	Dréibänk
leak	Fuite
Lent	Faaschtenzäit
letter	Buschtaf
lever	Hiewel
librarian	Bibliothecaire
liquid	Flëssegkeet
lizard	Eidechs
lobster	Homard
love bite	Knuutschfleck
lover	Amant
damage	abiméieren
subscribe	abonnéieren
complete	absolvéieren
absorb	absorbéieren
abuse	abuséieren
collect	accaparéieren
accelerate	acceleréieren
accentuate	accentuéieren
accept	acceptéieren
allow	accordéieren
accredit	accreditéieren
accumulate	accumuléieren
accuse	accuséieren
adapt	adaptéieren
add	addéieren
administer	administréieren
adopt	adoptéieren
address	adresséieren
sacrifice	afferen
affiliate	affiliéieren
act	agéieren
aggravate	aggravéieren
assault	agresséieren
adjust	ajustéieren
activate	aktivéieren
alarm	alarméieren
alert	alertéieren
align	alignéieren
amuse	amuséieren
orientate	axéieren
change	änneren
answer	äntweren
utter	äusseren
order	befielen
bend	béien
shout	bierelen
aim	biichten
brush	biischten
shine	blénken
blind	blennen
injure	blesséieren
flash	blëtzen
flatter	blimmelen
block	blockéieren
bomb	bombardéieren
fall	bonzelen
clean	botzen
move	bougéieren
hatch	bréien
shout	brëllen
DIY	bricoléieren
break	briechen
embroider	brodéieren
brutalise	brutaliséieren
simmer	brutschelen
cook	brutschen
impress	beandrocken
regret	bedaueren
mean	bedeiten
serve	bedéngen
cheat	bedupsen
satisfy	befriddegen
seduce	begaachelen
enthuse	begeeschteren
meet	begéinen
desire	begieren
understand	begräifen
greet	begréissen
justify	begrënnen
hinder	behënneren
lament	bejéimeren
convert	bekéieren
slander	beklaatschen
sully	beknaschten
confirm	bekräftegen
besiege	belageren
spy	belaueren
