free	frei
five	fimf
dense	dicht
pray	bede
pious	fromm
sore	weh
set	setze
no	kem
make	mache
ten	zehe
bid	biede
curtain	Vorhang
deep	dief
deer	Hasch
no	kee
have	hawwe
today	heit
third	dritt
our	unser
wait	waarde
bare	baar
-able	-baar
hell	Hell
straight	graad
rain	reggere
break	breche
or	odder
where	wu
kiss	kisse
there	datt
murder	madde
now	nau
finally	endlich
brown	brau
June	Yuni
July	Yuli
granddaughter	Enkelin
Palatinate	Pfalz
envious	neidisch
one	eens
you	eich
brewery	Brauerei
get	griege
catch	fange
war	Grieg
cornice	Sims
bring	bringe
drink	drinke
kill	deede
whey	Molke
someone	ebber
section	Abschnitt
sad	bedauerlich
curtain	Umhang
burn	brenne
kiss	bosse
bell	Glock
must	misse
beside	newe
cat	Katz
rescue	redde
outlet	Ausgang
your	eier
bind	binne
secular	weltlich
Bu	Buh
milk	melke
April	Aprill
salt	salse
away	weck
bear	Baer
home	heem
fornicate	hure
spoon	Leffel
potato	Grumbeer
hear	heere
borrow	barye
intend	wolle
thin	dinn
very	arrig
fourth	viert
let	losse
hundred	hunnert
below	unne
car	Kar
alone	allee
think	denke
heart	Hatz
since	sidder
-y	-ich
Estonia	Eschdooni
lid	Deckel
fuck	ficke
can	kenne
should	solle
finger	fingre
shovel	schaufle
sit	hocke
hum	brumme
seek	suche
other	anner
lend	lehne
build	baue
cook	koche
sweep	kehre
sweep	fege
ask	bidde
dip	scheppe
weeich	wege
bark	blaffe
abandon	verlosse
lose	verliere
shut	zumache
shine	scheine
swallow	schlucke
cut	schneide
name	nenne
fence	Fens
stew	schmore
hate	hasse
need	brauche
soreness	Weh
work	schaffe
good bye	mach's gut
eye	Aag
county	Kaundi
inhabitant	Eiwuhner
blue jay	Harrevoggel
but	awwer
hold	hewe
tread	drede
back	hinner
tease	nexe
tired	mied
taste	schmecke
infinitive	gleiche
look	gucke
go	geh
chew	kaue
mother	Mudder
loose	lodder
water	drenke
bless	segne
yellow	gehl
magic	hexe
leg	Bee
glasses	Brill
foot	Fuuss
cradle	Bei
two	zwee
thousand	dausend
gray	gro
onion	Zwiwwel
goat	Geess
owl	Eil
coffee	Kaffi
acorn	Eechel
part	Deel
arm	Aarm
flower	Blumm
cap	Kapp
niece	Niess
week	Woch
meat	Fleesch
cupboard	Schank
beard	Baart
calendar	Kalenner
dough	Deeg
spirit	Geescht
harp	Harf
hill	Hiwwel
listen	lauere
feather	Fedder
pepper	Peffer
broad	breet
eagle	Aadler
wool	Woll
dear	deier
shovel	Schipp
sheep	Schof
smith	Schmitt
adjective	-heet
ladder	Leeder
bucket	Eemer
cloth	Duch
branch	Nascht
witch	Hex
sheath	Scheed
over	iwwer
doubt	Zweiwel
soap	Seef
purse	Beidel
sleep	Schlof
soup	Supp
pretzel	Bretzel
barn	Scheier
corner	Eck
suck	lutsche
stallion	Hengscht
sweat	Schweess
shoot	schiesse
see	sehne
brain	Hann
face	feese
hawk	Woi
low	nidder
yolk	Dodder
fore	vedder
rabbit	Haas
prong	Zacke
fellow	Tschaepp
day	Daag
grease	Schmier
head	Kopp
berry	Beer
pan	Pann
sleep	schlofe
abundance	Fill
plate	Deller
winter	Winder
evil	iwwel
both	beed
after	nooch
place	Blatz
fart	Fatz
ox	Ox
wine	Wei
scrimp	geize
breathe	schnaufe
understand	begreife
swim	schwimme
listen	lausche
pasture	Weed
four	fierra
toad	Grott
something	ebbes
pelt	Bels
neighbor	Nochber
creek	Krick
porch	Portsch
German	Deitsch
German	deitsch
devil	Deiwel
bird	Voggel
firefly	Feiervoggel
lantern	Lutzer
bridge	Brick
breath	Odem
lie	leie
modesty	Schaam
ball	Balle
hour	Schtund
lie	Lieg
ornament	Zier
pot	Haffe
woman	Fraa
magic	Hexerei
alone	alleenich
axle	Ax
take	nemme
come	kumme
fever	Fiewer
question	Frog
decent	aardich
shit	scheisse
sunny	sunnich
envy	neide
iron	Eise
Monday	Mundaag
Tuesday	Dinschdaag
Thursday	Dunnerschdaag
Friday	Freidaag
Sunday	Sunndaag
Saturday	Samschdaag
ask	froge
-let	-che
language	Schprooch
giant	Ries
blue	bloh
black	schwatz
silence	Ruh
tree	Baam
weather	Wedder
above	owwe
apple	Abbel
bedtime	Bettzeit
blackberry	Blaeckbeer
blackbird	Schwatzvoggel
blacksmith	Blaeckschmitt
bluebird	Blovoggel
bundle	Bundel
corn	Welschkann
groundhog	Grundsau
July	Tschulei
picture	Pikder
silver	Silwer
stupid	schtupid
turkey	Welschhinkel
artichoke	Aerdabbel
mushroom	Aerdschwamm
Thanksgiving	Betdaag
boss	Baas
toadstool	Giftschwamm
German	Hochdeitsch
mouser	Mauskatz
dad	Daadi
mom	Mammi
pa	Paep
rain	Regge
ass	Aarsch
run	laafe
Pennsylvania	Pennsilfaani
king	Keenich
creek	Grick
honor	Ehr
luck	Glick
bean	Bohn
hook	Hoke
hut	Hitt
Lord	Harr
bedbug	Wans
width	Breeding
March	Matz
ladle	Kell
young	Yingling
heathen	Heid
hunter	Yaeger
beetle	Keffer
scissors	Scher
love	Lieb
holy	heilich
throat	Kehl
chicken	Hinkel
wage	Loh
whore	Hur
stave	Daub
February	Hanning
raven	Raabe
bet	Wedding
pain	schmatze
rock	Felse
box	Bax
pane	Scheib
rye	Kann
arrow	Peil
shed	Schopp
vomit	Kotz
flame	Flamm
handle	Henk
handle	Hendel
think	meene
wheel	Raad
feed	Fuder
son	Soh
power	Graft
plant	Blans
fight	Fecht
kitchen	Kich
pour	giesse
happy	hallich
green	grie
sweet	siess
manly	mennlich
divine	gettlich
agreeable	aagenehm
boisterous	yuxich
cool	kiehl
lame	laahm
local	ordlich
Pennsylvanian	Pennsilfaanisch
impossible	umeeglich
possible	meeglich
tame	zaahm
easterly	eeschtlich
slovenly	schlampich
adorable	aabetungswaerdich
attentive	aadechtich
opened	aagebroche
concerned	aagelegge
agreeable	aagenehmlicherweiss
evident	aagescheinlich
rotten	aagfault
torn	aagrisse
pinned	aagschpellt
worm-eaten	aagschtoche
pleuritic	aagwaxe
comfortable	aaheemlich
clinging	aahengisch
needy	aarem
paltry	aaremseelich
orange	aarensch
morning	Mariye
newspaper	Zeiding
year	Yaahr
oven	Offe
honeybee	Iem
revenge	Raache
opening	Uffning
open	uffne
just	yuscht
hill	Barig
short	katz
wish	winsche
town	Schteddel
grape	Draub
cheese	Kaes
mother tongue	Mudderschprooch
opening	Effning
open	effne
open	uffe
pumpkin	Kaerbs
table	Disch
scrapple	Pannhaas
thistle	Dischdel
goldfinch	Dischdelfink
Germanophone	Belsnickel
Christmas	Grischtdaag
Christ	Grischt
Christmas tree	Grischtbaam
cotton	Baawoll
Easter	Oschder
farm	Bauerei
star	Schtann
stone	Schtee
sun	Sunn
voice	Schtimm
window	Fenschder
sister	Schweschder
butter	Budder
sad	draurich
little	Bissel
spring	Friehyaahr
early	friehzeidich
autumn	Schpotyaahr
late	schpot
daughter	Dochder
leaf	Laab
loaf	Leeb
duck	Ent
autumn	Haerbscht
tortoise	Schillgrott
pig	Wutz
fellow	Kall
friend	Freind
joy	Freide
mow	maehe
rainbow	Reggeboge
bow	Boge
butterfly	Fleddermaus
rooster	Haahne
bacon	Schpeck
pretty	hibsch
honey	Hunnich
wood	Hols
sausage	Warscht
fruit	Obscht
baptism	Daaf
ape	Aff
room	Schtubb
bedroom	Schlofschtubb
evening	Owed
lantern	Ladann
you	dihr
seven	siwwe
twelve	zwelf
thirteen	dreizeh
fourteen	vatzeh
fifteen	fuffzeh
sixteen	sechzeh
seventeen	siwwezeh
eighteen	achtzeh
nineteen	neinzeh
twenty	zwansich
thirty	dreissich
forty	vatzich
fifty	fuffzich
sixty	sechzich
seventy	siwwezich
eighty	achtzich
ninety	neinzich
practice	Iewing
dictionary	Waddebuch
garden	Gaarde
home	Heemet
feast	Fescht
hope	Hoffning
fox	Fux
Easter Bunny	Oschderhaas
cream	Raahm
ham	Hinnerschunke
ham	Schunkefleesch
ham	Schinke
ham	Schunke
Easter egg	Oschderoi
fork	Gawwel
hay	Hoi
straw	Schtroh
size	Greess
afternoon	Nummidaag
wasp	Weschp
greeting	Gruuss
name	Naame
family	Familye
surname	Familyenaame
pretty	zimmlich
quarter	Vaddel
speak	schwetze
month	Munet
lizard	Eidex
early	frieh
garment	Gleed
clothing	Gleeder
bath	Baad
bathroom	Baadschtubb
may	daerfe
like	meege
will	waerre
yesterday	geschder
building	Gebei
piece	Schtick
lunch	Essschtick
dinner	Middaagesse
noon	Middaag
earth	Erd
side	Seit
pretty	schee
river	Rewwer
marry	heiere
already	schunn
milk	Millich
cabbage	Graut
change	Wexel
body	Kaerper
vegetable	Gemies
vegetable	Gaardesach
thing	Sach
stream	Schtrom
dream	Draam
pillow	Koppekisse
radish	Reddich
turnip	Rieb
carrot	Gehlrieb
little	wennich
wege	weeich
without	mitaus
good day	guder Daag
mirror	Schpiggel
cushion	Kisse
path	Paad
dress	Dress
wing	Fliggel
follow	folye
snake	Schlang
chipmunk	Fensemaus
oak	Eeche
squirrel	Eechhaas
maple	Meebel
look	Guck
television	Guckbax
through	darrich
glass	Glaas
bottle	Boddel
breakfast	Mariyeesse
shirt	Hemm
napkin	Dellerduch
store	Schtor
glove	Hensching
bread roll	Weck
candy	Kaendi
bowl	Schissel
girl	Maedel
chip	Schpaa
play	schpiele
play	Schpiel
turkey	Welschhaahne
hill	Hiegel
sign	Zeeche
token	Aazeeche
mark	Marick
thumb	Daume
entrance	Eigang
elbow	Ellboge
meeting	Versammling
church	Karich
circle	Grees
young	yung
backpack	Ricksack
review	Rickguck
stick	Schtock
skirt	Iwwerschtock
cross-eyed	iwwersichdich
particular	abaddich
sound	Glang
give	gewwe
outhouse	Briwwi
leap	Schprung
sweat	Schwitz
churchyard	Karichhof
spook	Gschpuck
spook	Schpuck
barley	Gaerscht
yeast	Bierhef
wheat	Weeze
birthday	Gebottsdaag
everyone	alliebber
valley	Daal
therefore	deswege
always	allsfatt
sink	Schpielbank
tongue	Zung
place	Schtell
suddenly	bletzlich
ugly	hesslich
pitchfork	Hoigawwel
grass	Graas
graze	graase
sort	Satt
together	zamme
pants	Hosse
jacket	Wammes
stocking	Schtrump
boot	Schtiwwel
blouse	Kiddel
jeans	Iwwerhosse
behind	hinnich
belt	Gaerdel
knee	Gnie
scarf	Halsduch
diary	Daagbuch
necktie	Schlupp
wear	aahawwe
service	Dinscht
liturgy	Goddesdinscht
bat	Schpeckmaus
tooth	Zaah
wear	waere
rural	lendlich
cake	Kuche
gravy	Brieh
scald	briehe
dairy	Millichhaus
breast	Bruscht
chest	Kaschde
chest	Kischt
nail	Naggel
screw	Schraub
somewhere	aryets
really	waricklich
cucumber	Gummer
hot	heess
done	faddich
correct	richdich
why	ferwas
why	waarum
oil	Eel
pink	pingscht
joyful	freehlich
clover	Glee
dream	draame
stand	schteh
reside	wuhne
fear	farichde
chew	tschaae
smile	lechle
smile	aalache
smile	schmunsle
talk	blaudre
put	schtelle
chair	Schtuhl
baby	Bewi
translate	iwwersetze
translation	Iwwersetzing
border	Grans
throw	schmeisse
beak	Schnawwel
horseshoe	Hufeise
paper	Babier
natural	nadierlich
back	zerick
love	liewe
stay	bleiwe
load	laade
shutter	Laade
shutter	Fenschderlaade
coffin	Laad
drawer	Schiewer
drawer	Schubblaad
north	Nadde
south	Sudde
east	Oscht
west	Wescht
toward	gege
always	alsfatt
biting	bissich
salt	Sals
tear	Draen
farm	bauere
welcome	willkumm
welcome	Willkumm
welcome	bewillkumme
fart	fatze
feel	fiehle
track	schpiere
yolk	Oidodder
dragon	Drach
broom	Bese
drink	Drinke
chalice	Kellich
teacup	Koppche
both	allebeed
both	allezwee
bother	baddere
baptist	Daefer
baptize	daafe
naked	nackich
moment	Aageblick
faucet	Zappe
danger	Gfaahr
work	Arewet
cottage cheese	Schmierkaes
blanket	Deppich
living room	Wuhnschtubb
school	Schul
push	schiewe
push	schtoosse
rat	Ratt
enough	genunk
expect	erwaarde
anvil	Ambos
bare	blooss
business	Bisniss
business	Gscheft
plan	Blaan
cash	Baargeld
cash	Kaesch
since	zidder
strut	schtrutze
pride	Schtols
want	bedaerfe
believe	glaawe
belief	Glaawe
sow	saehe
guest	Gascht
say	saage
saw	saege
saw	Saeg
blessing	Sege
seed	Saame
seed	Soot
hem	Saam
disgrace	Schand
January	Yanuaar
January	Yenner
February	Febrewaar
May	Moi
September	Sepdember
October	Oktower
November	Nowember
December	Grischtmunet
cross	Greiz
puppy	Hundli
piglet	Wutzli
root	Watzel
ride	reide
climb	gleddere
rent	verlehne
pencil	Bensil
soap	seefe
count	zaehle
heavy	schwaer
fully	vellich
buy	kaafe
sell	verkaafe
spit	schpaue
spit	schpautze
spit	schpucke
smoke	schmoke
boil	abkoche
roast	reeschde
roast	rooschde
tomato	Tomaet
mean	mehne
meet	aadreffe
begin	aafange
rope	Schtrick
pour	schidde
hew	beile
feed	fiedre
water	wessre
strange	fremm
clock	Hausuhr
lock	schliesse
string	Bennel
sharpen	schaerfe
art	Kunscht
death	Dod
death	Dodesfall
harm	schadde
translator	Iwwersetzer
salvation	Erleesung
salvation	Seelichkeet
happy	seelich
soapy	seefich
salty	salsich
border	Grens
wade	waade
murder	Mad
proboscis	Riesel
snout	Schnut
harness	Gscharr
force	Deiwelsgewalt
degree	Graad
jug	Gruck
tablecloth	Dischduch
promise	Verschpreche
promise	verschpreche
donkey	Schteeesel
hinder	hinnere
rear	Hinnerdeel
ass	Langohr
anus	Sitzloch
needle	Nodel
being	Wese
save	schpaare
spoke	Schpeech
woodpecker	Schpeecht
metal	Metaall
rake	Reche
rake	reche
clap	Gnall
hovel	Gnallhitt
listen	hariche
listen	lauschdere
cry	Grisch
jerk	Yux
yell	gilbse
yell	yohle
shout	yubele
youth	Yuuchend
mouth	Desch
throat	Garyel
throat	Schlucker
cupboard	Brotschank
cupboard	Gscharrschank
kitchen cupboard	Kicheschank
single	eensel
single	eefacht
single	eefachdich
tool	Warkzeich
visiting	Bsucherei
visit	Bsuch
wash	wesche
wash	Wesch
rock	schockle
beef	Bief
mutton	Hammelfleesch
mutton	Schoffleesch
down	nunner
feeling	Gfiehl
complaint	Glaag
shed	laawe
peach	Pasching
famous	beriehmt
brave	braav
letter	Buschtaawe
staff	Schtaab
envious	neidich
everything	allesmenanner
every	yeder
groan	yaemere
yoke	Yoch
plow	Blug
plow	bluge
wagon	Wagge
wagon	Waache
first	erscht
second	zwett
fifth	fimft
seventh	siwwet
ninth	neint
tenth	zehet
eleventh	elft
twelfth	zwelft
different	verschiddlich
various	unnerschittlich
similar	aehnlich
near	naegscht
bier	Draag
corpse	Leich
lively	lewich
life	Lewe
law	Gsetz
swastika	Hokegreiz
stingy	geizich
crucify	greiziche
onerous	laschtbaar
load	Lascht
joy	Luscht
list	Lischt
sometimes	alsemol
often	efders
often	oftmols
marriage	Heiraat
pew	Karichesitz
smoking	Gschmok
clever	gscheit
cushion	Kuschen
dim	dischder
dark	finschder
ornament	Zieraat
drunken fellow	Lodel
breeze	Lifdel
song	Liedel
handle	Heb
crank	Grenk
grip	Handgriff
handle	Schtiel
touch	aafingre
opportune	gelege
trash	Gedraesch
trash	Gfrees
trash	Lumperei
rash	Frissel
stick	glewe
separate	scheede
alcohol	Weigeischt
face	Gsicht
oats	Hawwer
blow	blose
story	Gschicht
story	Schtori
moon	Muhn
maternal	mudderlich
different	unnerschiddlich
patch	Blacke
welcome	Wilkum
leader	Haaptman
Haaptman	Haaptmenner
evening	denowed
Ascension Day	Himmelfardaag
drive	Faahrt
drive	dreiwe
run	schpringe
dwarf	Zwarich
breathe	aatme
pay	bezaahle
taste	schmacke
shave	balwiere
understand	verschteh
die	schtarewe
rainy	reggerich
ewe	Mudderschof
silence	schtille
silent	schtill
butcher	Butscher
cherry	Kasch
merry	frehlich
run	rumschpringe
crazy	verrickt
free of charge	koschdefrei
cost	Koschde
cost	koschde
look	aussehne
fight	fechde
fighting	Gfecht
fight	Schlaegerei
track	schpure
brook	Runn
change	ennere
mildew	Mildaa
whirl	zwarwle
beet	Rotrieb
garlic	Gnowwelich
powder	Bulwer
bean	Buhn
coffee bean	Kaffibohn
rise	schteige
stairs	Schteeg
pain	Schmatze
uneven	bucklich
west	weschtlich
penis	Bips
penis	Schnickel
penis	Schpitz
industrious	fleissich
sew	naehe
frame	Gschtell
brick	Backeschtee
clumsy	dappich
February	Harning
four	fiah
eight	achde
ten	zeyya
fourteen	vaerzeh
fourteen	varzeh
fourteen	fatzay
twelve	zwelfe
fifteen	fuftzay
sixteen	sexzeh
sixteen	sechtzay
eighteen	achzeh
king	Kaynich
earth	Eaht
heap	Haufe
squirrel	Gschwarl
stable	Schtall
weed	Ungraut
at home	deheem
grandfather	Grossdaadi
grandmother	Grossmammi
congregation	Gmee
nowadays	heidesdaags
lime	Kallick
manure	Mischt
dung heap	Mischthaufe
hay harvest	Hoiet
stomach	Maage
pastime	Zeitverdreib
American robin	Amschel
disease	Grankheet
ill	grank
uncle	Unkel
homesickness	Heemweh
opinion	Meening
orchard	Baamgaarde
pinch	petze
handkerchief	Schnuppduch
buckwheat	Buchweeze
coffee pot	Kaffikann
dirty	dreckich
mill	Miehl
tobacco	Duwack
raspberry	Hembeer
rag	Lumbe
try	browiere
experience	Erfaahring
misfortune	Unglick
shoofly pie	Melassichriwwelkuche
bug juice	Kefferbrieh
hour	Schtunn
jail	Tscheel
toy	Schpielsach
on time	uff Zeit
all right	allrecht
government	Owwerichkeit
Monday	Moondaag
alphabet	Aa-Be-Ze
get rid of	aawaerre
queen	Keenichn
mustard	Moschdert
drive	faahre
car	Kaer
forty	varzich
twenty-one	een un zwansich
twenty-two	zwee un zwansich
twenty-three	drei un zwansich
twenty-four	vier un zwansich
twenty-five	fimf un zwansich
twenty-six	sex un zwansich
twenty-seven	siwwe un zwansich
twenty-eight	acht un zwansich
twenty-nine	nein un zwansich
no	kenre
to them	ihne
to you	Ihne
thirty-one	een un dreissich
thirty-two	zwee un dreissich
thirty-three	drei un dreissich
thirty-four	vier un dreissich
thirty-five	fimf un dreissich
thirty-six	sex un dreissich
thirty-seven	siwwe un dreissich
thirty-eight	acht un dreissich
thirty-nine	nein un dreissich
forty-one	een un varzich
forty-two	zwee un varzich
forty-three	drei un varzich
forty-four	vier un varzich
forty-five	fimf un varzich
forty-six	sex un varzich
forty-seven	siwwe un varzich
forty-eight	acht un varzich
forty-nine	nein un varzich
cough	huuschde
call	aarufe
kill	dotmache
fifty-one	een un fuffzich
fifty-two	zwee un fuffzich
fifty-three	drei un fuffzich
fifty-four	vier un fuffzich
fifty-five	fimf un fuffzich
fifty-six	sex un fuffzich
fifty-seven	siwwe un fuffzich
fifty-eight	acht un fuffzich
fifty-nine	nein un fuffzich
sixty-one	een un sechzich
sixty-two	zwee un sechzich
sixty-three	drei un sechzich
sixty-four	vier un sechzich
sixty-five	fimf un sechzich
sixty-six	sex un sechzich
sixty-seven	siwwe un sechzich
sixty-eight	acht un sechzich
sixty-nine	nein un sechzich
seventy-one	een un siwwezich
seventy-two	zwee un siwwezich
seventy-three	drei un siwwezich
seventy-four	vier un siwwezich
seventy-five	fimf un siwwezich
seventy-six	sex un siwwezich
seventy-seven	siwwe un siwwezich
seventy-eight	acht un siwwezich
seventy-nine	nein un siwwezich
eighty-one	een un achtzich
eighty-two	zwee un achtzich
eighty-three	drei un achtzich
eighty-four	vier un achtzich
eighty-five	fimf un achtzich
eighty-six	sex un achtzich
eighty-seven	siwwe un achtzich
eighty-nine	nein un achtzich
ninety-one	een un neinzich
ninety-two	zwee un neinzich
ninety-three	drei un neinzich
ninety-four	vier un neinzich
ninety-five	fimf un neinzich
ninety-six	sex un neinzich
ninety-seven	siwwe un neinzich
ninety-eight	acht un neinzich
ninety-nine	nein un neinzich
thirteenth	dreizeht
fourteenth	varzeht
fifteenth	fuffzeht
sixteenth	sechzeht
seventeenth	siwwezeht
eighteenth	achtzeht
nineteenth	neinzehte
twentieth	zwansichscht
die	schtaerewe
father	Vadder
mom	Memm
grandparents	Groosseldre
grandfather	Groossdaadi
grandmother	Groossmammi
grandchild	Kinnskind
aunt	Aent
aunt	Aendi
cousin	Kossin
nephew	Neffyu
father-in-law	Schwaer
father-in-law	Schwiegervadder
father-in-law	Schwaerdaadi
mother-in-law	Schwiegern
mother-in-law	Schwiegermudder
mother-in-law	Schwaermammi
brother-in-law	Schwoger
sister-in-law	Gschwei
son-in-law	Schwiegersoh
daughter-in-law	Schwiegerdochder
