approbatur	A
truck	kuorma-auto
flower	kukka
bullet	kuula
neck	kaula
oat	kaura
story	kertomus
axe	kirves
acceleration	kiihtyvyys
question	kysymys
meter	mittari
mass	massa
wall	muuri
sheep	lammas
airplane	lentokone
cape	niemi
pal	kamu
mint	rahapaja
you	sa
indulgence	ane
dream	uni
light	kevyt
heavy	raskas
heavy	painava
light	vaalea
powerful	voimakas
strong	vahva
beautiful	kaunis
fat	lihava
short	lyhyt
expensive	kallis
cheap	halpa
pleasant	hauska
ugly	ruma
good	hyvä
bad	huono
happy	iloinen
sad	surullinen
narrow	kapea
thin	ohut
dangerous	vaarallinen
safe	turvallinen
lonely	yksinäinen
hat	hattu
sound	ääni
oblique	vino
money	raha
upper case	versaali
capital	kapiteeli
lower case	gemena
mud	kura
cat take	kissa vieköön
column	pylväs
line	viiva
homogeeninen	homo-
earn	ansaita
help	auttaa
separate	erottaa
prevent	estää
sniff	haistaa
shout	huutaa
accept	hyväksyä
continue	jatkaa
freeze	jäätyä
boil	keittää
order	käskeä
rise	kohota
dry	kuivua
listen	kuunnella
fly	lentää
leave	lähteä
taste	maistaa
go	mennä
modify	muuttaa
laugh	nauraa
be	olla
poke	pistää
fry	paistaa
talk	puhua
bite	purra
love	rakastaa
explode	räjähtää
saw	sahata
play	soittaa
play	pelata
adjust	säätää
do	tehdä
January	tammikuu
February	helmikuu
March	maaliskuu
April	huhtikuu
May	toukokuu
June	kesäkuu
July	heinäkuu
August	elokuu
September	syyskuu
October	lokakuu
November	marraskuu
December	joulukuu
Christmas	joulu
foot	jalka
angle	kulma
snake	käärme
present	lahja
bird	lintu
plate	lautanen
snow	lumi
spoon	lusikka
holiday	loma
go	lomailla
fork	haarukka
paparazzo	paparazzi
sock	sukka
maglevjuna	maglev
fish	kala
floor	lattia
earth	maattaa
earth	maadoittaa
millimetre	milli
large	suuri
rich	rikas
poor	köyhä
cold	kylmä
hot	kuuma
wet	märkä
high	korkea
low	matala
thin	laiha
quick	nopea
slow	hidas
right	oikea
left	vasen
wrong	väärä
bad	paha
ill	sairas
healthy	terve
dumb	tyhmä
wise	viisas
Socrates	Sokrates
deca-	deka-
end-	endo-
mouth	suu
tree	puu
porn	porno
wooden spoon	kapusta
glume	kale
commerce	kauppa
town	kaupunki
village	kylä
mirror	peili
evening	ilta
air	ilma
forest	outa
synonym	synonyymi
song	laulu
computer	tietokone
shoot	ampua
saw	saha
island	saari
hare	jänis
sky	taivas
tower	torni
castle	linna
balloon	ilmapallo
joy	ilo
lift	nostaa
stand	seisoa
trousers	housut
boot	saapas
blood	veri
brother	veli
sister	sisko
eye	silmä
nose	nenä
name	nimi
toe	varvas
hammer	vasara
letter	kirje
forehead	otsa
bear	karhu
kangaroo	kenguru
book	kirja
bag	laukku
paper	paperi
area	pinta-ala
velocity	nopeus
volume	tilavuus
length	pituus
bottle	pullo
rope	köysi
picture	kuva
clown	pelle
coffee	kahvi
flag	lippu
umlaut	umlaut
alustava varaus	av
roc	rok
UFO	ufo
kiinteä kustannus	kiku
Italy	Italia
epistle	epistola
powerful	tehokas
test	testata
zero	nolla
square bracket	hakasulku
stop	seis
eleven	yksitoista
twelve	kaksitoista
palindrome	palindromi
lie	vale
thirteen	kolmetoista
fourteen	neljätoista
fifteen	viisitoista
madam	madame
bass	basso
alb	alba
tempeh	tempe
list	lista
Enter	enter
sure	toki
geometry	geometria
if	ellen
Kotus	fleece
eagerness	into
sturgeon	sampi
computer virus	virus
underground	metro
Triassic	trias
swimmer	uimari
Nestor notabilis	kea
probably	kai
power	voima
engine	moottori
wolf	susi
twenty	kaksikymmentä
giraffe	kirahvi
moist	kostea
robber	rosvo
guitar	kitara
sister-in-law	käly
brother-in-law	lanko
aunt	täti
paternal uncle	setä
grandfather	isoisä
grandmother	isoäiti
son-in-law	vävy
sister	sisar
Sweden	Ruotsi
path	polku
prairie	preeria
purple	purppura
holy	pyhä
conscript	moku
unstressed	ko
difference	ero
highlight	clou
cluck	kot
quarrel	tora
cattle	nauta
genitive	ali
trans	trans
father	fade
Spanish	espanjalainen
menu	valikko
stuff	kama
bath	sauna
camera	kamera
reserve	vara
valtakunta	Ahti
Ahti	Ahto
cobra	kobra
Andrew	Andreas
Euphrates	Eufrat
foreign	ulkomaalainen
water	voda
D-flat	des
Mexican	meksikolainen
Yapese	yap
surface	pinta
tavausaakkoset	Celsius
coypu	nutria
paternal grandfather	isänisä
maternal grandfather	äidinisä
mucus	lima
ancient	ikivanha
primitive	iki-
age	ikä
everlasting	ikuinen
swan	joutsen
hi	moi
income policy agreement	tupo
mercury	elohopea
Milky Way	linnunrata
lithium	litium
hi	terse
oxygen	happi
shy	ujo
Wicca	wicca
pea	herne
aardvark	maasika
beer	olut
ultimate frisbee	ultimate
material	purse
mwah	pus
acid	happo
color	väri
seed	siemen
measure	mitta
Dinornithidae	moa
Middle East	Lähi-itä
east	itä
Amerikan yhdysvallat	Yhdysvallat
minun	-ni
cunt	vittu
interrogative	-ko
rap music	rap
fuss	rumba
leu	lei
those	nuo
this	tämä
these	nämä
who	joka
which	mikä
also	-kin
stop	lopettaa
citation form	-da
glory	gloria
fabric	kudos
-er	-ja
hazel grouse	pyy
Lepidoptera	perhonen
poor	polo
pound	punta
Lego	lego
chilly	kolea
translative case	-ksi
sinun	-si
illative	-seen
consonant stem	-en
-Vn	-on
-Vn	-un
-än	-än
-Vn	-ön
refrigerator	jääkaappi
radical	radikaali
if	jos
dom	master
necklace	helmet
rough collie	lassie
chocolate brand	geisha
Bible	Biblia
O	oi
someone	joku
already	jo
hiccups	nikka
fraternal nephew	veljenpoika
sororal nephew	sisarenpoika
streamlet	puro
mother	emo
Welsh corgi	corgi
tense	tempus
joke	pila
righteous	vanhurskas
mother	emä
dogien	doge
electric generator	dynamo
iff	joss
nice	kiva
plate	levy
pass	pas
away	pois
it	sen
May Day	sima
pretty	soma
gravel	sora
signal crayfish	rapu
varsijousi	ballista
go	hep
microsection	hie
mainland	manner
leftovers	ripe
oakum	rive
vocable	sane
cocktail shaker	shaker
field	tanner
beebrush	verbena
multiplicative	-sti
C-sharp	cis
24/7	24/7
fraternal niece	veljentytär
sororal niece	sisarentytär
something	jokin
hurt	pipi
in what	missä
vegetarian	vegetaristi
anomie	anomia
alumnus	alumni
fearless	peloton
lemur	maki
mini-	mini-
researcher	tutkija
kuningas	-tar
piglet	porsas
waw	vav
wow	vau
kaph	kaf
taw	tav
precipitation	sade
worm	mato
karaoke bar	karaoke
sect	lahko
cult	kultti
rot	mädäntyä
or	tai
face blindness	prosopagnosia
euro	ege
translate	suomentaa
syllable	tavu
fen	letto
secret	sala
who	kuka
conscript	masi
bench	rahi
firm	firma
bark	kives
light	valo
bull calf	mulli
beneath	alla
melody	melodia
polyclinic	poli
hara-kiri	harakiri
Kingdom Hall	valtakunnansali
fetus	sikiö
google	googlata
crucifixion	ristiinnaulitseminen
breakfast cereal	muro
certain	eräs
keeping	pito
five	femma
television	televisio
vision	visio
brother-in-law	kyty
cousin	serkku
second cousin	pikkuserkku
father-in-law	appi
mother-in-law	anoppi
LLC	oy
curriculum vitae	CV
Ladino	ladino
tee	tii
harness saddle	sila
Finland	SDP
Iraq	Irak
thorn	ora
Japanese	japani
number	alle
common whitefish	siika
salmon	lohi
Mississippi	Mississippi
Timbuktu	Nevada
reilu meininki	reilu meininki
pineapple	ananas
ecstasy	essi
wrist	ranne
obstacle	este
pickled	pepperoni
weakly interacting massive particle	wimp
mama	mamma
behind	taa
Adansonia	baobab
Estonian	viro
Joukahainen	firmware
Capsicum annuum	paprika
sage	salvia
sum	summa
gross	brutto
folk music	folk
orienteering	suunnistus
doll	nukke
round	pyöreä
teddy bear	nallekarhu
toy	leikkikalu
toy	lelu
compass	kompassi
time zone	aikavyöhyke
painting	maalaus
food	ruoka
paintbrush	pensseli
meal break	ruokatunti
break	tauko
belt	vyö
room	huone
woman	donna
aerobics	aerobic
delusion	paranoia
liquor store	alko
tokay	tokaji
from under	alta
amphibious	amfibio
arrest	aresti
rough collie	collie
distaff arm	armi
container	rove
spacious	avara
palm	kämmen
stere	motti
hunting knife	puukko
offering	anti
Saturn	Saturnus
Mercury	Merkurius
perseverance	sisu
sure	vissi
Superman	super-
TV	tv
hour	tunti
grandpa	vaari
because	koska
cheers	kippis
mother	emo-
genius	nero
fifth	viides
ninth	yhdeksäs
tenth	kymmenes
sixth	kuudes
seventh	seitsemäs
eighth	kahdeksas
fourth	neljäs
third	kolmas
minute	minuutti
minute	mina
Antarctica	Antarktis
Cameroon	Kamerun
heterosexual	hetero
poliomyelitis	polio
cloud	pilvi
white	viti
Russia	Venäjä
suopunki	lasso
energy	energia
gens	gens
push	painaa
taboo	tabu
jail	pose
bogue	boga
territory	territorio
Peking	Beijing
penis	slaba
oneself	ite
towing	hinaus
oppression	sorto
charm	lumo
intensifier	hemo
crime	patto
frame	poka
fantasy	fantasia
block	esto
pig	sika
stallion	oro
boss	pomo
wave	laine
Aussie	aussi
sure	varma
freestyle skiing	freestyle
plough	aurata
beer	birra
disco	disko
pass	sola
Alfred Nussi	Alfred
ha-ha	ha-ha
plait	letti
paragraph	alio
lion	leijona
book	libretto
lip-syncing	playback
ultralight	ultra
net	netto
potassium	kalium
south	etelä
zombie	zombi
Europe	Eurooppa
America	Amerikka
horsepower	hevosvoima
bring	tuoda
bitch	narttu
bright	kirkas
vulva	pillu
geography	geografia
mandible	mandibula
ASAP	asap
warm	lämmin
five	vii
Ethiopian	etiopialainen
theory	teoria
field	kenttä
liquid	neste
ladybird	leppäkerttu
ice cream	jäätelö
Joukahainen	deadline
tragedy	tragedia
minor offence	rike
teacher	ope
comeback	comeback
hard	kova
soft	pehmeä
range	hella
abacus	abakus
bagatelle	fortuna
epigraph	motto
arse	perse
meth	meta
alpha	alfa
leak	vuoto
nickname	mosse
jerboa	jerbo
money	mani
vandalize	vandalisoida
destroy	tuhota
encyclopedia	tietosanakirja
bassoon	fagotti
clarinet	klarinetti
nerd	nörtti
start	aloittaa
Fiji	Fidži
translation	käännös
similar	samankaltainen
Greece	Kreikka
homosexual man	hintti
beginner	aloittelija
birth	syntymä
sodium	natrium
fire	palo
Gaea	Gaia
solar flare	flare
abscissa	abskissa
grave	hauta
Lithuania	Liettua
Switzerland	Sveitsi
Equatorial Guinea	Päiväntasaajan Guinea
mission	missio
remove	poistaa
capital	pääkaupunki
conical	kota
suspicious	epäilyttävä
silence	hiljaisuus
Mozambique	Mosambik
Germany	Saksa
French	ranska
rape	raiskata
literature	kirjallisuus
Devil	paholainen
perhaps	ehkä
forbid	kieltää
user	käyttäjä
change	muuttua
difficult	vaikea
substantive	substantiivi
adjective	adjektiivi
soccer	jalkapallo
Danish	tanska
reality	todellisuus
perfect	täydellinen
insane	mielenvikainen
explorer	tutkimusmatkailija
whole	koko
jigsaw puzzle	palapeli
round	paisti
Poland	Puola
Czechia	Tšekki
chess	šakki
chess	shakki
computer game	tietokonepeli
king	kuningas
queen	kuningatar
joke	vitsi
here	täällä
reel	kela
breakfast	aamiainen
Reseda	reseda
Frisbee	frisbee
virtue	avu
God knows	ties
England	Englanti
happen	tapahtua
alphabetical order	aakkosjärjestys
griffon	aarnikotka
gasoline	bensiini
Delphinus delphis	delfiini
dictator	diktaattori
dollar	dollari
previous	edellinen
sex	seksi
moonlight	kuutamo
poo	kakkahätä
nocturnal	öinen
load	ladata
quality	laatu
potato chips	chips
Mary	Maria
homosexual	homoseksuaalinen
homosexual	homoseksuaali
homosexual	homoseksualisti
vodka	votka
ammonium	ammonium
grammar	kielioppi
verb	verbi
ecstasy	hurma
Norway	Norja
trot	ravi
turning	kääntäminen
horrible	kamala
rubber	kumi
wait	odottaa
Icelandic	islanti
Faroe Islands	Färsaaret
Faroese	fääri
lääkäri	olen
band	bändi
bureaucracy	byrokratia
letter	aakkonen
alphabetical	aakkosellinen
alphabetise	aakkostaa
wave	aalto
phantom	aave
atheist	ateisti
early	aikainen
letter	a
Sun	Aurinko
cum laude approbatur	C
dasein	Dasein
constellation Delphinus	Delfiini
Europe	Don
district	Eira
Esther	Ester
B	H
railway station	Henna
Father	Isä
constellation Lepus	Jänis
Kaj	Kai
Katariina	Kata
constellation Vulpecula	Kettu
constellation Camelopardalis	Kirahvi
constellation Pyxis	Kompassi
Moon	Kuu
General Partnership	Ky
Serpens	Käärme
placename	Lahti
Leah	Lea
constellation Leo	Leijona
Milky Way	Linnunrata
LA	Los
magna cum laude approbatur	M
Earth	Maa
nickname	Manse
pet	Mike
megatavu	Mt
tavausaakkoset	Otto
LLC	Oy
France	Ranska
Rhine	Rein
Shem	Seem
Helsinki	Stadi
Finland	Suomi
Lupus	Susi
Denmark	Tanska
You	Te
Dorotea	Tea
Turkey	Turkki
Hungary	Unkari
Estonia	Viro
breakfast	aamupala
treasure	aarre
Maori	maori
Afar	afar
Armenian	armenia
Albanian	albania
Georgian	georgia
Indonesian	indonesia
Latvian	latvia
Mongolian	mongolia
Vietnamese	vietnam
Bulgarian	bulgaria
wormwood	mali
Burmese	burma
Palauan	palau
Tongan	tonga
Welsh	wales
American	amerikka
Swedish	ruotsi
Spanish	espanja
tsp	tl
Serbian	serbia
Russian	venäjä
marketplace	turku
incantation	manaus
whey	hera
Portuguese	portugali
Bosnian	bosnia
squabble	kina
Navajo	navajo
Nahuatl	nahuatl
Italian	italia
Thai	thai
Persian	farsi
Adonis	adonis
Inuktitut	inuktitut
Persian	persia
gift	anne
bubble	pore
Azerbaijani	azeri
Polygonaceae	tatar
Lombard	lombardia
discipline	kuri
log	loki
Balinese	bali
Khmer	khmer
Volapük	volapük
Manx cat	manx
I	mie
Lojban	lojban
harsh	ankara
cramming	ahto
Swahili	swahili
yodh	jod
Cebuano	cebuano
reputation	maine
Tagalog	tagalog
life	elämä
Zulu	zulu
Urdu	urdu
hi	hei
Czech	tšekki
Fijian	fidži
Greek	kreikka
Lithuanian	liettua
German	saksa
Islam	islam
entropy	haje
knock out	kolkata
boundary	raja
Hindi	hindi
Hindu	hindu
again	taas
art	taide
magician	taikuri
skill	taito
Tuesday	tiistai
obliqueness	vinous
Cambodia	Kambodža
United Kingdom	Britannia
Contra	contra
Balkans	Balkan
'	’
tartare	tartar
porcelain	Arabia
English	englanti
bible	raamattu
issue	asia
secrets	salat
nymph	lolita
Hangeul	hangul
Saudi	saudi
pool	allas
Urals	Ural
Klingon	klingon
suction	imu
China	Kiina
Hebrew	heprealainen
Hebrew	heprea
abacus	helmitaulu
miscarriage	keskenmeno
abortion	abortti
abortion	raskaudenkeskeytys
Morocco	Marokko
nevus	naevus
dictionary	sanakirja
Celsius	celsius
snow-white	lumivalkoinen
dominoes	domino
Aristotle	Aristoteles
vis-à-vis	avec
tax-free-myymälä	tax-free
C-flat	ces
ordinary	tavan
ballet flat	ballerina
pressure	paine
Friday	perjantai
roentgen	röntgen
Austrian	itävaltalainen
dark	tumma
Monday	maanantai
Wednesday	keskiviikko
Thursday	torstai
Saturday	lauantai
Sunday	sunnuntai
hot chocolate	kaakao
polar night	kaamos
autumn foliage	ruska
sixteen	kuusitoista
seventeen	seitsemäntoista
eighteen	kahdeksantoista
nineteen	yhdeksäntoista
gum	ien
yoke	ies
skin	iho
eek	iik
dad	isi
ridicule	iva
so	eli
ouch	auts
oops	oho
ram	oinas
ditch	oja
Aland	Oolanti
eternally	iki
December	talvikuu
dozen	tusina
pacifier	tutti
cold spell	takatalvi
track	ura
haze	utu
vegetarian	kasvissyöjä
fin	evä
yuck	hyi
ugh	yäk
yuck	yök
one	yy
wand	sauva
ahoy	hoi
ahoy	ohoi
pancake	lettu
fox	repo
kahen	kaks
gallop	neli
six	kuus
five	viis
fibre	syy
pope	paavi
GDR	DDR
spoke	pinna
lead	lyijy
disease	tauti
Vipera berus	kyy
stallion	ori
different	eri
premonition	etiäinen
hand	pivo
pre-	esi-
after-	jälki-
advantage	etu
front	etu-
back	taka-
be elastic	kimmota
handsome	komea
coma	koma
coma	kooma
arf	hau
woof	vuh
cobra	silmälasikäärme
dragon	lohikäärme
Devil	piru
Devil	perkele
game	peli
computer	kompuutteri
computer	sähköaivo
computer	tietsikka
death	kuolema
die	kuolla
mortal	kuolevainen
syphilis	kuppa
syphilis	syfilis
heart	sydän
core	ydin
nuclear bomb	ydinpommi
UN	YK
stag	hirvas
elk	hirvi
monster	hirviö
eagle	kotka
Old World vulture	korppikotka
common raven	korppi
hooded crow	varis
space	avaruus
hummock	kumpu
war	sota
summer	suvi
buzzer	summeri
extended family	suku
family	perhe
paternal grandmother	isänäiti
maternal grandmother	äidinäiti
ancestor	esi-isä
trap	ansa
handle	kahva
look	katse
bag	kassi
plastic	muovi
murder	murha
murder	murhata
murderer	murhaaja
sweet	makea
taste	maku
wing	siipi
ancestress	esiäiti
object	esine
dad	pappa
grandpa	ukki
lot	arpa
cup	kuppi
elephant	norsu
elephant	elefantti
macaw	ara
steppe	aro
grasp	ote
frontal lobe	otsalohko
creature	otus
Plough	Otava
cartwheel	otava
Asia	Aasia
flow	vuo
drink	juoma
cue	köö
boo	böö
boo	buu
oh	hui
knowledge	tieto
science	tiede
triangle	kolmio
apartment	kaksio
apartment	yksiö
square	neliö
apartment	viisiö
triangle	kolmikulmio
quadrilateral	nelikulmio
pentagon	viisikulmio
hexagon	kuusikulmio
square	neliöidä
dice	kuutioida
cube	kuutio
Earthshine	maatamo
new moon	uusikuu
full moon	täysikuu
crescent moon	kuunsirppi
sickle	sirppi
treacle	siirappi
electricity	sähkö
finger	sormi
hovel	lato
wedge	kiila
nose leather	kirsu
nostril	sierain
music	musiikki
piece	koru
ring	sormus
violent death	surma
mourn	surra
boat	venho
vessel	alus
ant	muurahainen
-less	-ton
infinity	ääretön
live	elää
cargo hold	ruuma
gelding	ruuna
intention	aie
plan	hääyöaie
mountain lion	puuma
skeleton	luuranko
skeletal	luurankomainen
skull	kallo
subphylum Craniata	kallollinen
shooting star	tähdenlento
thicket	viidakko
rainforest	sademetsä
villain	roisto
boat shed	talas
apse	apsis
saint	pyhimys
comet	pyrstötähti
comet	komeetta
wheel	pyörä
owl	pöllö
psi	psii
pony	poni
planet	planeetta
panic	paniikki
beard	parta
brink	parras
fear	pelko
terror	kauhu
detestation	kammo
dinosaur	dinosaurus
dinosaur	hirmulisko
lizard	lisko
soon	pian
pine	mänty
hill	mäki
yeah	joo
yeah	juu
yeah	jee
Brazilian	brasilialainen
organism	eliö
beast	peto
field	pelto
peace	rauha
stack	pino
whiskey	viski
domestic duck	ankka
donkey	aasi
häät	jompikumpi
everything	kaikki
both	kumpikin
either	kumpikaan
neither	kumpainenkaan
anybody	kukaan
juice	mehu
bee	mehiläinen
nectar	mesi
breakfast	eine
nature	luonto
cruel	julma
sword	miekka
glue	liima
leprosy	lepra
plague	rutto
poem	runo
tanssi	striptease
soul	sielu
angel	enkeli
sign	enne
monkey	apina
bridge	silta
human	ihminen
head	pää
bull	bulla
Ukraine	Ukraina
in-	epä-
programming language	ohjelmointikieli
three	kol
marijuana	marihuana
black metal fan	bläkkäri
goat	kauris
Capricorn	Kauris
walrus	mursu
reindeer	peura
rat	rotta
Eurasian badger	mäyrä
chimpanzee	simpanssi
orangutan	oranki
armadillo	vyötiäinen
bat	lepakko
beaver	majava
hyrax	tamaani
arctic fox	naali
lynx	ilves
hyena	hyeena
European hare	rusakko
magpie	harakka
black-throated diver	kuikka
cuckoo	käki
wolverine	ahma
muskrat	piisami
gull	lokki
tern	tiira
ostrich	strutsi
sparrow	varpunen
eagle owl	huuhkaja
European perch	ahven
eel	ankerias
whale	valas
constellation Cetus	Valas
sperm whale	kaskelotti
pine marten	näätä
stoat	kärppä
machine	kone
arm	käsivarsi
thirst	jano
god	jumala
monitor	näyttö
ankle	nilkka
hair	tukka
hair	karva
eyelid	silmäluomi
mole	luomi
create	luoda
class	luokka
southwest	lounas
southeast	kaakko
northeast	koillinen
north	pohjoinen
west	länsi
Bronx	Bronx
India	Intia
Timor	Itä-Timor
Venäjä	Valko-Venäjä
Roman Empire	Rooma
South Africa	Etelä-Afrikka
Peter	Pietari
Moscow	Moskova
Yemen	Jemen
South Korea	Etelä-Korea
Korea	Pohjois-Korea
Chinese	kiina
East Germany	Itä-Saksa
West Germany	Länsi-Saksa
Egypt	Egypti
Egyptian	egypti
North America	Pohjois-Amerikka
South America	Etelä-Amerikka
Africa	Afrikka
Antarctica	Etelämanner
Antarctica	Etelänapamanner
salt	suola
frog	sammakko
yum	nam
black grouse	tetri
sprout	verso
weave	kutoa
score	tiu
yes	jes
pieni	pk
niinku	kato
trick	komme
hyvää uutta vuotta	hyvää uutta vuotta
hauskaa pääsiäistä	hauskaa pääsiäistä
kuinka paljon se maksaa	kuinka paljon se maksaa
hair	haven
dyspepsia	dyspepsia
dirt	rapa
brain tumour	aivokasvain
save	pelastaa
wait	venata
disgusting	kuvottava
atheist	jumalankieltäjä
theistic satanist	saatananpalvoja
concealment	salakähmäisyys
prove	osoittautua
cold	kylmävesihana
flood	tulva
abscess	paise
old woman	eukko
cover	peittää
terminally ill	kuolemansairas
stone	kivi
sweat	hiki
Vietnamese	vietnamilainen
swell	aallokko
crest	aallonharja
breakwater	aallonmurtaja
wavelength	aallonpituus
trough	aallonpohja
wavy	aaltoileva
wave	aaltoilla
very	sangen
curse	kirota
swear word	kirosana
overdosage	yliannostus
perception	perseptio
apple	omppu
metalhead	hevari
ice hockey team	jääkiekkojoukkue
suffering	kärsimys
disorder	häiriö
immediately	välittömästi
childish	lapsellinen
mud	lieju
grated carrot	porkkanaraaste
joker	vitsiniekka
plural	pluraali
plural	monikko
is that so	vai
constable	konstaapeli
osoite	IP-osoite
lullaby	kehtolaulu
brain cell	aivosolu
myling	äpärä
host	öylätti
computer engineer	tietokoneinsinööri
sulphuric acid	rikkihappo
imagine	kuvitella
curly bracket	aaltosulje
wavy line	aaltoviiva
morning coffee	aamukahvi
heretical	vääräoppinen
yeast	hiiva
slight	hienoinen
date	päivämäärä
scissor	saksija
shit	sitta
E-sharp	eis
canary grass	helpi
treasure chest	aarrearkku
capotasto	kapo
horse	koni
magna cum laude approbatur	magna
LGBT	seta
Hawaiian	havaiji
bubble	kupla
suburb	lähiö
isolated	eristäytynyt
Occitan	oksitaani
angry	suuttua
enormous	suunnaton
psychosis	psykoosi
flight	pako
original	alkuperäinen
Netherlands	Alankomaat
estimate	arvio
wet nurse	amma
covering	kate
fresh	tuore
grow	kasvaa
tumour	kasvain
painter	maalari
religion	uskonto
essential	oleellinen
instrument	koje
filth	saasta
prize	palkinto
nameless	nimetön
deep	syvä
islet	luoto
board	legi
bed	peti
bosom	povi
rest	resti
locomotive	veturi
mister	herra
