free	gratis
dragoon	dragon
Norwegian	norsk
red	rouge
nose	nos
Landsmål	landsmål
shark	hai
living room	stove
boom	bom
that	den
straw	bos
female	tik
rich	rik
cathedral	dom
child	barn
talar	tale
pig	gris
own	eigen
fist	neve
hertz	cykel
comb	kam
sideboard	buffet
movie	film
eager	dan
remorse	anger
pharaoh	farao
tee	tee
by-	bi-
above	over
guess	ane
be	vera
lesser of two evils	pest
I	eg
starling	stare
theme	tema
toilet	dass
sleep	sova
cowboys and Indians	cowboy
verbal noun	-ing
kangaroo	kenguru
from	av
Danish pastry	wienerbrød
loaf	brød
peace	fred
Italy	Italia
clever	smart
fine	fin
look	kike
euphemism	eufemisme
those	dei
alb	alba
albinistic	albino
out	ut
sorrow	sorg
angel	engel
slip	gli
propose	friar
enlist	verve
word	ord
your	din
Ireland	ire
one	ein
computer virus	virus
fire	brand
pajamas	pyjamas
Homo sapiens	menneske
frifot	fot
it	det
street	gate
quay	kai
inside	inn
sleep	sove
question	spørsmål
sole	il
rain	regn
naudtelefon	telefon
board	brett
pawn	pant
Ave Maria	ave
defrost	avise
menu	meny
choice	val
zebra	sebra
insect	insekt
the	-a
Elapidae	kobra
inside-out	range
photographer	fotograf
julemat	mat
apprentice	elev
syrup	sirup
maternal aunt	moster
thank you	takk
modern	moderne
torment	pine
ordinary	normal
lithium	litium
month	månad
bad	ill
this	herne
cat	pus
cunt	fitte
fuck	pule
bush	busk
regular	-ar
dictator	diktator
customs	toll
Castor	bever
cod	torsk
male	fetter
kick	spark
superlative	superlativ
most	mest
A major	A-dur
B-flat major	B-dur
extra	statist
write	skriva
layer	lag
vomit	spy
Europe	Europa
aim	mål
alphabet	alfabet
skillful	adept
age	alder
bundle	bunt
geocaching	cache
waterfall	foss
crow	gala
pregnant	gravid
piss	mig
spleen	milt
common	mort
beer	seidel
branch	sloe
boiling	sod
dark	umbra
rush	fuse
various	diverse
hall	gang
glossy	glans
tail	hale
lift	hive
grasp	grep
pope	pave
lead	serve
disc	skive
completely	splitter
stage	stadium
view	syne
small	tart
jellyfish	manet
allmennspråk	språk
adjective	adjektiv
eternity	eon
empire	imperium
organism	organisme
dictionary	ordbok
cheesy	harry
abdomen	mage
down	ned
hypothesis	a priori
despicable	svin
diagnosis	diagnose
company	firma
cow	ku
tank	tanks
yearn	hike
thigh	skank
Zn	sink
kjemisk	binding
bent	nod
while	medan
engine	motor
dais	podium
avoirdupois ounce	ounce
mail	post
nutmeg	tunnel
attention	gaum
mind	hug
swastika	svastika
fat	sul
large	villa
venue	arena
Begonia	begonia
mother	mamma
mørkbrun	brun
blue	blå
yellow	gul
Christmas	jul
bell pepper	paprika
menstruation	mens
placename	Eid
folkemengd	folk
billion	milliard
spruce	gran
fashion	ute
creation	genesis
discipline	yoga
penis	kuk
verandah	veranda
past participle	-i
heavy	tung
castle	borg
large	stor
elderly	aldrig
always	alltid
nedbør	sur
plastic	plast
Nb	niob
price	pris
mockery	nid
unless	minder
temperature	temperatur
ship	skip
smell	nasa
goods	gods
report	rapport
money	giro
peg	knagg
fifth	femtedel
attentive	observant
lightning	lyn
båtripe	båt
Merry Christmas	god jul
thousand	tusen
good day	god dag
good morning	god morgon
good night	god natt
tin	tinn
axe	bile
marsupial	pung
morning	morgon
Zea mays	mais
goatling	killing
tiny	stump
same	eins
long	lang
left	venstre
resume	curriculum vitae
headmaster	rektor
housewife	frue
pass	lida
horse	gamp
academic	grad
potassium	kalium
bark	bork
encumberment	heft
slip	glide
else	elles
probe	sonde
zone	sone
nonsense	vas
Spaniard	spanjor
temple	pandemonium
warehouse	lager
next	neste
spirit	ånd
wrist	handled
split	spalte
foal	føl
touch	føle
abacus	abakus
ABC	abc
village	landsby
stumble	snuble
important	viktig
eel	ål
thread	træ
fizz	bruse
mumble	mumle
ass	fu
message	bod
elephant	elefant
information technology	IT
alpha	alfa
herring	sild
klebørste	børste
tremble	beve
lecture hall	auditorium
Danish	dansk
metal	unse
leap	flamme
hen	høne
chick	kylling
ice age	istid
slave	træl
mind	sinn
uranium	uran
sodium	natrium
majority	majoritet
minority	minoritet
Americas	amerikansk
microscope	mikroskop
Korean	koreansk
language	polsk
philatelist	filatelist
wear	slava
diamond	diamant
order	ordre
rabbit	kanin
dagger	dolk
dodecahedron	dodekaeder
pillow	pute
North America	Amerika
island	øy
date	dato
pearl	perle
Channel Islands	Jersey
Moscow	Moskva
village	Tau
Maori	maori
Afar	afar
Akan	akan
family	familie
butane	butan
Thai	thai
Persian	farsi
Ragnarok	ragnarok
man	adam
master	meister
nose	nase
order	orden
Viking	viking
this	dette
I	jod
almond	mandel
bastard	satan
me	meg
Mercury	Merkur
Islam	islam
tomorrow	i morgon
yesterday	i går
India	hindi
Hindu	hindu
carbamide	urea
wildness	texas
Buddhist	buddhist
anarchy	anarki
crown	krone
lettuce	salat
seam	saum
bark	gau
water	vatn
goat	geit
innermost	inst
Aristotle	Aristoteles
desolate	aud
wage	tariff
kjøkenpapir	papir
parliament	parlament
Muslim	muslim
temperamental	temperament
feasable	muna
separate	separat
syphilis	syfilis
Sunday	søndag
notice	ansa
dad	pappa
bracelet	armband
clone	klon
New Age	new age
serviceable	lagom
coal	kol
mutton	sau
farm	torp
on	på
mistress	kone
chromium	krom
skull	haus
rude	frekk
Sabbath	sabbat
insulator	isolator
art	kunst
kiwi	kivi
go to the polls	urne
vacuum	vakuum
Greenland	Grønland
rye	rug
helicopter	helikopter
debt settlement	akkord
beat	berja
build	byggja
deck	dekk
lay	legge
ship	lugar
possession	eign
find	finna
follow	fylgja
hit upon	hitta
remember	hugsa
break-in	innbrot
lay	leggja
read	lesa
lie	liggja
and	og
open	opna
sit	sitja
question	spurning
stand	standa
summer	sumar
answer	svar
sing	syngja
to	til
will	skulle
or	eller
grassy	fet
accustom	venja
meager	mager
rumen	vom
male	hann
other	hin
eye	auga
bind	binda
week	vika
stupid	vitlaus
shiver	sjever
direction	regi
continent	kontinent
beat	slå
axe	øks
lizard	øgle
economy	økonomi
illustration	illustrasjon
computer	dataillustrasjon
shipment	parti
courtroom	rettssal
mare	hors
Englishman	engelskmann
life	liv
Hordaland	hord
Guinea	Ekvatorial-Guinea
Kongo	Republikken Kongo
Kongo	Den demokratiske republikken Kongo
São Tomé	São Tomé og Príncipe
Afrika	Sør-Afrika
Sahara	Vest-Sahara
Papua	Papua Ny-Guinea
Irland	Republikken Irland
Makedonia	Republikken Makedonia
Kina	Folkerepublikken Kina
Korea	Nord-Korea
Kina	Republikken Kina
Saudi	Saudi-Arabia
Korea	Sør-Korea
Saint Kitts	Saint Kitts og Nevis
Trinidad	Trinidad og Tobago
fuel	drivstoff
goods	maskinvare
stone's throw	steinkast
jarnbanelinje	linje
oliphaunt	olifant
frog	frosk
swell	ase
Delphinus delphis	delfin
shelf	mantel
purée	puré
globe	globus
valid	gild
rowan	raun
or else	annars
child	unge
prophet	profet
neighbour	nabo
monarch	dronning
monarch	konge
number	nummer
change	endring
history	historie
Norwegian	nordmann
Scot	skotte
version	versjon
Dane	danske
cell phone	mobiltelefon
envelope	konvolutt
jarnbaneselskap	selskap
cognac	konjakk
Asian	asiat
girl	jente
chocolate	sjokolade
fridge	kjøleskap
project	prosjekt
principle	prinsipp
bicycle	sykkel
experiment	eksperiment
gene	gen
pull	drage
xylophone	xylofon
calendar	kalender
diary	dagbok
phantom	fantom
cup	kopp
Lao	lao
caste	kaste
at	hos
cat	katt
snake	slange
alcoholic	drikke
alcohol	drikk
waste	spille
smithy	smie
lesbian	lesbe
Baptist	baptist
flag	flagg
Bible	Bibelen
basilica	basilika
bomb	bombe
city	Fredrikstad
Ringsaker	Nes
cape	Nordkapp
municipality	Stord
town	Ålesund
Norway	Leksvik
Sweden	Lierne
municipality	Meråker
Norway	Mosvik
Sweden	Røyrvik
Sweden	Snåsa
Norway	Andøy
hurricane	orkan
style	stil
ore	malm
astronomer	astronom
coffee	kaffi
bald spot	måne
account	saldo
noise	bala
Tuesday	tysdag
duty	officium
phrase	frase
choir	kore
Fringillidae	fink
net	garn
stand	stå
ourselves	oss
stay	bli
no one	ingen
Nordland	Moskenes
municipality	Øksnes
Fron	Nord-Fron
Land	Søndre Land
Toten	Vestre Toten
Toten	Østre Toten
city	Sandnes
Freya	Frøya
Gauldal	Midtre Gauldal
Norway	Rissa
town	Røros
Norway	Trondheim
Sweden	Tydal
Norway	Ibestad
loosely	Storbritannia
Vestfold	Nøtterøy
Vestfold	Tjøme
Norway	Finnmark
Møre	Møre og Romsdal
Trøndelag	Nord-Trøndelag
Sogn	Sogn og Fjordane
Trøndelag	Sør-Trøndelag
Norway	Troms
Norway	Vest-Agder
British	brite
French	franskmann
Croatian	kroat
Cypriot	kypriot
schnaps	snaps
Pole	polakk
Ireland	irlending
tip	tips
Afghanistan	afghansk
Albania	albansk
Algeria	algerisk
USA	USA-amerikansk
Andorra	andorransk
Angola	angolansk
Armenia	armensk
Azerbaijan	aserbajdsjansk
Australia	australsk
juliennes	mandolin
forest	skog
happy birthday	gratulerer med dagen
birthday	bursdag
birthday	fødselsdag
uncle	onkel
aunt	tante
more	meir
old	forn
want	vilja
sausage	pølse
billionaire	milliardær
bed	seng
burning	brann
Doctor	doktor
sister	søster
back	bak
cheek	kinn
Quercus	eik
wild	vill
lime	lind
i hel	hel
mercy	miskunn
skin	skinn
hail	hagl
cuckoo clock	gaukur
alder	older
length	lengd
niece	niese
nephew	nevø
virile	viril
hydrolysis	hydrolyse
twelfth	tolvte
fluorine	fluor
paralysis	paralyse
Sanskrit	sanskrit
Atlantic Ocean	dammen
tie	slips
Happy New Year	godt nyttår
bridge	bru
penguin	pingvin
rush	fusa
eager	fusen
young	ung
café	kafé
god	gud
ethane	etan
intervene	gripe inn
seize the day	gripe dagen
yeast	jester
pharmacist	apotekar
universe	univers
guilder	florin
small	fles
boiling	kok
lack	dus
period	periode
province	provins
full stop	punktum
narrow	smal
throw	kast
seat	sete
lie	løgn
culture	kultur
coin	revers
platinum	platina
Mrs	fru
housewife	hustru
fish	fisk
blood-sucking	lus
snake	orm
fruit	frukt
Montreal	Montréal
reserve	tinge
upper	overkant
lathe	dreiebenk
Palestinian	palestinsk
Denmark	Jylland
lucky	heldig
marine	marin
corridor	korridor
orgasm	orgasme
forefront	tet
mica	glimmer
swamp	sump
granddaughter	dotterdotter
stand	tribune
tsarina	tsaritsa
sultanate	sultanat
consonant	konsonant
crazy	bananas
clever	ful
orang-utan	orangutang
back	rygg
laying	legging
enjoy	kosa
other	annan
kjøtkake	kake
war	krig
China	yuan
internal	intern
Mafia	mafia
snøscooter	scooter
short	onder
phobia	fobi
work	arbeid
floor	golv
person	glis
regular	-ane
Holland	hollandsk
The Netherlands	nederlandsk
French Polynesia	Tahiti
can	kunne
back	att
hope	håp
whole	heil
Morse code	morse
console	konsoll
steal	stela
lung	lunge
sundial	solarium
gypsum	gips
Sri Lanka	srilankisk
strange	rar
squeegee	nal
job	jobb
Gaviiformes	lom
snow	kram
dodgem	radiobil
murder	mord
guy	kis
too	òg
computer	datamaskin
smell	ose
pie	pai
hat	hatt
tungsten	wolfram
lobster trap	teine
avalanche	ras
without	utan
scoop	auster
vidvinkel	vinkel
wall	mur
Hungarian	forint
fart	fis
Roman	denar
Latvia	lats
silver	schilling
conspiracy	konspirasjon
position	posisjon
mouth	munn
muscle	muskel
screen	skjerm
hammer	hamar
second	andre
hero	helt
paternal grandfather	farfar
depth	djup
syllabus	pensum
rite	ritus
wait	venta
uneven	ru
cartilage	brusk
phosphorus	fosfor
bleikemiddel	middel
dinner	middag
fame	ry
handle	hank
sink	kum
inherit	erva
grab	gripa
incite	yppe
belly	buk
should	burda
mountain	tind
howl	ul
second	sekund
help	duga
glue	lim
methane	metan
etterkomar	etter
Thorri	torre
cricket	siriss
witch	heks
reindeer	pesk
pekar	peka
trombone	binders
Paeonia	peon
strategy	strategi
falde	folde
red deer	hjort
fist	slagsmål
ministry	ministerium
Venice	gondol
attentive	obs
steep	stup
seep	sive
yes	jau
soldier	soldat
paradise	eden
duke	hertug
loan	lån
taste	smak
stone	helle
shelter	ly
button	knapp
orca	vagn
ocean	hav
nickel	nikkel
deism	deisme
forward	fram
hence	hedan
privilege	privilegium
mycelium	mycel
before	innan
bucket	spann
run	springa
lack	vanta
points	pense
nail	nagl
emperor	keisar
force	kraft
altar	duk
humanoid	stallo
round	rund
call	heita
choose	velja
eccentric	sær
blessed	salig
slush	slaps
ask	bede
vandalism	hærverk
raisin	rosin
verdigris	eir
brave	feig
holy	heilag
tease	irre
time	dags
enough	nok
depression	lon
along	langs
restlessness	uro
fly	flyga
distress	noia
Canis lupus	ulv
feat	dåd
rest	otium
goose	gås
townhouse	gård
cabbage	kål
thigh	lår
lock	lås
small	små
pump organ	harmonium
case	kasus
wolf	varg
philately	filateli
ginger	ingefær
cholera	kolera
lack	skort
become	verte
reprimand	refs
forehead	panne
sixth	sjette
points	pens
list	liste
Miss	frøken
throw	kasta
stadium	stadion
in pairs	parvis
tank	tanka
frequently	ofte
cauliflower	blomkål
virvelvind	vind
passageway	espalier
memory	hugs
somersault	salto
technology	teknologi
loser	tapar
beetle	bille
male	galt
loft	hems
unless	minders
word	glose
jubilee	jubilé
sign of the cross	signe
rhymer	rimar
kiss	kyss
planten	plante
miss	sakna
truth	sanning
prize	premie
thin	raje
sign of the cross	signa
subsidy	subsidie
study	studera
crossing	kryss
break	brot
archives	arkiv
atheist	ateist
negative	negativ
Gladiolus	gladiolus
illness	sjukdom
alkane	alkan
pentane	pentan
propane	propan
academy	akademi
toboggan	pulk
university	universitet
excuse me	unnskyld meg
many thanks	mange takk
cheers	skål
lace	lisse
analytical	analytisk
moment	no
bureaucratic	byråkratisk
wagon	vogn
ill	sjuk
hypnosis	hypnose
powder	pulver
pull	dra
mare	horse
marble	marmor
eternal	evig
elementary	elementær
past	forbi
patronymic	patronym
quarrel	krangel
pear	pære
arse	ræv
pronoun	pronomen
cold	kald
tail	stjert
Chinese	kinesisk
last	jumbo
minute	minutt
taste	smaka
shotgun	hagle
tram	sporvogn
tende	tenne
cloth	stoff
genocide	folkemord
Devil	faen
protection	sikring
erection	ståpikk
hm	tja
hijab	hidsjab
dawn	gry
communication	samband
pee-pee	tiss
thus	dimed
betalar	betala
pass away	bort
office	kontor
material	materiale
personal data	personalia
size	størrelse
compass	kompass
quartz	kvarts
alcohol	alkohol
nothing	ingenting
centilitre	centiliter
trade	handel
yogurt	yoghurt
slut	tøs
shy	blyg
fight	kamp
lilac	lilla
red	raud
metal	metall
stye	hordeolum
wet	våt
be able to	klare
longish	kabel
withered	vissen
poisonous	giftig
organ	orgel
ant	maur
soon	snart
video camera	videokamera
business	virke
Norway	Noreg
palaeontology	paleontologi
calcium	kalsium
Cd	kadmium
fennec	fennek
Afrikaans	afrikaans
phallus	fallos
fiasco	fiasko
Madonna	madonna
origin	origo
vine	lian
pronoun	mang
geology	geologi
surgery	kirurgi
big	basse
psychiatry	psykiatri
psychology	psykologi
sharp	spiss
ride	homma
lift	hyve
position	stilling
surgeon	kirurg
cedilla	cédille
grass	timotei
geologist	geolog
biologist	biolog
octopus	blekksprut
power station	kraftverk
raze	rasera
horoscope	horoskop
account	konto
abortion	abortiv
agronomist	agronom
Citrus sinensis	appelsin
alkyne	alkyn
cry	gråta
ane	føla
carry	føra
make	hevja
sketch 	rita
shadow	skugga
frown	skula
isolate	særa
seek	søkja
visit	vitja
wish	ynskja
mean	meina
apologise	orsaka
ring	ringja
Betula	bjørk
Ursidae	bjørn
eager	fus
meat	kjøt
shrimp	rækja
climate	klima
dark	mørk
fool	tosk
well	godt
crime	brotsverk
half	helvt
concert	konsert
plurality	fleirtal
postcard	postkort
from	heiman
prima donna	primadonna
comparative	desto
tractor	traktor
heel	hæl
sentence	setning
old	gamal
weight	vekt
trumpet	trompet
ability	evne
secure	tryggja
plate	tallerken
helpful	tess
longship	langskip
bright	bjart
home country	heimland
sin	synd
drum	tromme
key	tast
carboxylic acid	karboksylsyre
promote	fremja
demand	krevja
lame	lemja
vale	hom
e.g.	t.d.
sugar	farin
woman	patte
shell	skal
fire engine	brannbil
stalk	stengel
substantive	substantiv
increase	auka
New Testament	evangelium
turkey	kalkun
school	stim
overture	ouverture
never	aldri
freesia	fresia
prostitute	prostituert
magical	magisk
process	prosess
aileron	balanseror
capitalist	kapitalist
quarter	kvartal
phase	fase
mammoth	mammut
experienced	erfaren
record	rekord
collective	kollektiv
complex	kompleks
local government	kommunal
first and foremost	fyrst og fremst
contact	kontakt
continental	kontinental
calm	logn
fast	fór
crane	kran
creditor	kreditor
back	atti
scepticism	skepsis
Old Norse	norrønt
spy	spion
parrot	papegøye
run	springe
scruple	skruppel
paste	fritte
majestic	majestetisk
-ish	-isk
-ish	-sk
maximal	maksimal
tickle	kitla
spectrum	spektrum
solid	massiv
groan	stynja
said	segn
microphone	mikrofon
dog	bikkje
monologue	monolog
subtract	subtrahere
idiot	kronidiot
idiot	kraftidiot
gold	gylden
philosophy	filosofi
phenomenon	fenomen
glorien	glorie
zoology	zoologi
operetta	operette
currency	valuta
piss	miga
lamp	lampe
member	lotte
social	sosial
astronomy	astronomi
battery	batteri
xenophobia	xenofobi
lord	drott
in the act	in flagranti
in the act	på fersk gjerning
in the act	på fersken
copper	kopar
buttocks	rass
heia	heiarop
tourniquet	turniké
cactus	kaktus
radical	radikal
grey	grå
most	flest
chemistry	kjemi
salmon	laks
misery	misere
wetness	bløyt
astrology	astrologi
farm	budeie
brave	modig
tarpaulin	presenning
colon	kolon
need	turva
neuter	eit
foolish	tullut
door	dør
anthropology	antropologi
guardrail	gelender
Samoa	Amerikansk Samoa
nomad	nomade
long	rekel
foolish	tussut
tower	tårn
malevolent	hets
become	verta
ewe	søye
Whitsun	pinse
luxury	luksus
disposal	deponi
angry	sint
reformer	reformator
ontology	ontologi
stool	krakk
gnome	gnom
mud	søle
hallow	helge
desert	ørken
completely	heilt
mackerel	makrell
perfect	perfekt
tease	terge
innbygd	bygge
break	bryta
act	fungere
sneeze	nys
flea	loppe
eardrum	trommehinne
lay	legga
reagent	reagens
salinity	solte
bursting	strutte
private	privat
local	lokal
tame	temja
crochet	hekla
industrial	industriell
report	melding
parting	reik
shine	skina
halve	halvera
prince-bishop	fyrstbiskop
atrophy	atrofi
swear	sverja
hers	hennar
reconcile	semja
opinion	meining
family	slekt
meir	aggressiv
exist	finnast
boom	glymja
position	legde
archaeology	arkeologi
ornithology	ornitologi
ideology	ideologi
unit	eining
Venice	Venedig
catch	hys
biology	biologi
ornithologist	ornitolog
psychologist	psykolog
ornithological	ornitologisk
geological	geologisk
biological	biologisk
astronomical	astronomisk
pharmacological	farmakologisk
pharmacology	farmakologi
mathematical	matematisk
shave	barbera
hallelujah	halleluja
lucrative	lukrativ
Adam and Eve	Adam og Eva
passage	geil
Arctic	Arktis
chlorine	klor
conflict	konflikt
soda	brus
Mother Earth	Moder Jord
abelian	abelsk
fatwood	tyri
acrobat	akrobat
brain	hjerne
comparative	komparativ
textile	tekstil
current	aktualitet
appear	feige
Anglophilic	anglofil
Anglophobic	anglofob
piquant	pikant
astatine	astat
sake	proforma
arsenic	arsen
Druid	druide
ethanol	etanol
fast	kjapp
goitre	struma
Zion	Sion
away	undan
tenth	tidel
vacation	ferie
dispute	tvist
missile	missil
help	monna
help	monne
stable	stabil
ridgeling	hingst
thermometer	termometer
weak	svak
frame	karm
Latin	latinsk
stanza	strofe
pyramid	pyramide
cat	huskatt
cat	katte
cat	kattedyr
rain cats and dogs	høljeregne
border	grenseland
Sami	skalle
calendar	almanakk
orange	appelsintre
orange	oransje
line	raide
medicine	medisin
second	feilvare
umbrella	paraply
qualitative	kvalitativ
railway	jernbane
tax	skatt
abuse	misbruk
abuse	utskjelling
valdta	voldta
abyss	avgrunn
phoenix	føniks
character	karakter
medicine	medikament
piglet	grise
greyen	gråna
Czech	tsjekkisk
finish	avslutte
cockroach	kakerlakk
grandfather	bestefar
quicksand	kvikksand
wood	treverk
mosquito	mygg
interpret	tyda
fresh	fersk
beautiful	vakker
lovely	ljuv
kind	snill
jarnbanenett	nett
point	punkt
idea	idé
sleep	søvn
circle	krets
device	apparat
stick	kvist
large	kjepp
hockey stick	hockeykølle
gear lever	girspak
kjøtstykke	stykke
Falco	falk
pawn	brikke
liquid	likvid
field	fagfelt
socialism	sosialisme
screwdriver	skrujern
platform	plattform
fast	fastetid
unfadable	fargeekte
sunrise	soloppgang
melody	melodi
function	funksjon
tool	verktøy
slipper	tøffel
will	testamentere
ecology	økologi
slavery	slaveri
wristwatch	armbandsur
foreslått	foreslå
shelf	hylle
nudism	nudisme
statistic	statistikk
murder	myrde
finish	ta knekken på
ruin	drepe
cancer	kreft
jam	trengsel
up	opp
upwards	oppover
up	oppe
boar	villsvin
furniture	møbel
mathematics	matematikk
shield	skjold
protection	vern
claustrophobia	klaustrofobi
algorithm	algoritme
imperialism	imperialisme
toothbrush	tannbørste
Satanism	satanisme
sardine	sardin
linear algebra	lineær algebra
tonsillitis	mandelbetennelse
wight	vette
black guillemot	teist
breakfast	frukost
encyclopaedia	encyklopedi
crow	kråke
connotation	konnotasjon
star	stjerne
Germanic	germansk
bank	banke
open	ta opp
hectare	hektar
hungry	sopen
pineal gland	konglekjertel
cry	skrik
saffron	safran
bra	BH
testosterone	testosteron
tulip	tulipan
abbreviation	forkorting
cushion	putetrekk
case	dynetrekk
bra	behå
bunker	bunkers
Transylvania	Transilvania
perhaps	kanskje
outhouse	utedass
toilet	toalett
equilibrium	likevekt
lobbying	lobbing
chest	bringe
virtue	dyd
sheesh	jøsses
Christian	kristen
quench	sløkkja
mare	hoppe
small	dåse
contribution	bidrag
drown	blive
akademiske	akademisk
musical	musikal
right	riktig
well	velutstyrt
pen	penn
safe	sikker
discount	rabatt
talk	snakk
Norse	draug
betalar	betale
Viola	fiol
marrow	merg
sugar	sukker
calf	kalv
archaeologist	arkeolog
crystalline	amorf
Croatian	kroatisk
proboscis	snabel
thread	tråd
geography	geografi
spontaneous	spontan
side	på si
e-mail	e-post
become	raudne
detritus	strø
shave	barbere
kystlinje	kyst
autism	autisme
polygamous	polygam
sponge	svamp
fungus	sopp
universal	universell
strong	kuling
vowel	vokal
agriculture	jordbruk
juicy	saftig
water	sø
lake	innsjø
lake	tjern
hymn	salme
score	tjau
outermost	ytst
milk toast	soll
polynomial	polynom
coordination	koordinasjon
frequency	frekvens
absorb	absorbere
absorb	absorbera
scraper	slikkepott
calculator	kalkulator
confused	virren
pornographer	pornograf
democracy	demokrati
authority	autoritet
donkey	esel
part of speech	ordklasse
manual	manuell
glove	vante
through and through	gjennom
waiter	kelner
ketone	keton
spit	spytt
rosemary	rosmarin
ethnic	etnisk
toy	leike
political	politisk
congratulations	grattis
abstraction	abstraksjon
capercaillie	tiur
shoulder	skulder
shoulder blade	skulderblad
sculpture	skulptur
Jew	jøde
jump	hopp
mill	mølle
torture	tortur
barricade	barrikadere
fork	gaffel
grammar	grammatikk
monarch	monark
dementia	dement
amateur	amatør
level	nivå
complaint	klage
Estonian	estisk
catheter	kateter
stock	aksjeselskap
smell	lukt
costly	kostbar
electric motor	elektromotor
comedy	komedie
meteorology	meteorologi
grand slam	storeslem
membrane	hinne
break	sprekke
diplomacy	diplomati
Yoruba	joruba
moustache	bart
hip hip hooray	hipp hipp hurra
kyssar	kysse
both	både
result	resultat
livery	livré
pornographic	pornografisk
leister	lyster
study	studium
seg	dresse
abbot	abbed
lonely	einsam
Brazilian	brasiliansk
tomato	tomat
catalogue	katalog
square	kvadratisk
reindeer	reinsdyr
brother-in-law	svoger
strawberry	jordbær
dodo	dronte
Lithuanian	litauisk
brennvidd	brenne
ideal	ideell
monarchy	monarki
chloride	klorid
agreement	semje
search	søk
palace	slott
labyrinth	labyrint
dictatorship	diktatur
geezer	gubbe
distrait	distré
scarecrow	fugleskremsel
flock	flokk
damage	skada
temple	tempel
no	niks
centaur	kentaur
competitor	konkurrent
fishing	fiske
poppy	valmue
Gnosticism	gnostisisme
remember	minnast
masturbate	masturbera
conductor	dirigent
jelly	gelé
cousin	søskenbarn
aport	babord
penniless	pengelens
express	kondolere
slip	glida
carpet	teppe
kitchen	kjøkken
living room	stue
garage	garasje
anyway	uansett
category	kategori
again	igjen
curl	krøll
fear	menneskefrykt
misanthropy	menneskeforakt
monkey	apekatt
til	dra til helvete
suffix	-vis
forever	evigung
scoundrel	niding
move	manøver
reception	resepsjon
golden	gyllen
definition	definisjon
proverb	ordtak
design	utforming
wank	runka
front	fremst
short	stutt
mattress	madrass
cardinal	kardinal
spider	edderkopp
canoe	kano
PR	jippo
brewery	bryggeri
drone	marm
around	kring
intensifier	skita
bacteriology	bakteriologi
joke	vits
testimony	testimonium
Nd	neodym
theologian	teolog
handle	hevel
automatic	automatisk
rock	bergart
heir	tronarving
tronfølge	trone
cucumber	agurk
regatta	dobbelsculler
submarine	ubåt
criminology	kriminologi
just	nettopp
recommendation	anbefaling
paradox	paradoks
accept	akseptere
channel	kanal
reptile	reptil
third cousin	firmenning
gallows	galge
panther	panter
drunk	drita
very	dritings
aviary	aviarium
teach	undervisa
rough-legged buzzard	fjellvåk
verb	-isere
unfortunately	dessverre
nobility	adelsmerke
clutch	kløtsj
pregnant	barne
sold	seld
manhole cover	kumlokk
accomplice	medskyldig
misplace	forlegge
rusty	rusten
sharp-shinned hawk	tverrhalehauk
save	redda
foreskin	skau
heap	dunge
half sister	halvsøster
philosopher	filosof
plainly	rett og slett
republic	republikk
scorpion	skorpion
