deir siad	abraid
sex	gnéas
boy	buachaill
water	uisce
wall	balla
céad míle fáilte	céad míle fáilte
ardor	gal
fool	amadán
banshee	bean sí
road	bóthar
east	soir
boot	bróg
children	clann
girl	cailín
back	droim
esker	eiscir
sufficient	leor
dwarf	lucharachán
foolish woman	óinseach
ring	fáinne
poteen	poitín
illicit whiskey	síbín
host	slua
mud	slaba
smithereens	smidiríní
adding	tuilleadh
world	bith
walk	siúl
run	rith
eating	ithe
eat	ith
drink	ól
laugh	gáire
weeping	gol
speech	caint
coming	teacht
child	páiste
teacher	múinteoir
out	amach
in	isteach
home	abhaile
empty	folamh
straight	díreach
long	fada
sweet	milis
sharp	géar
dirty	salach
tired	tuirseach
sore	tinn
bag	mála
box	bosca
street	sráid
floor	urlár
milk	bainne
apple	úll
here	anseo
foster father	altra
mass	mais
there	ansin
broken	briste
open	oscailte
worn	caite
complete	déanta
written	scríofa
door	doras
window	fuinneog
pen	peann
pencil	peann luaidhe
money	airgead
work	obair
letter	litir
lesson	ceacht
best	bionda
reading	léamh
write	scríobh
bust	busta
play	súgradh
look	féachaint
hearing	éisteacht
going	imeacht
and	agus
now	anois
tá mé	táim
tá muid	táimid
ní fhuil	níl
ní fhuilim	nílim
ní fhuilimid	nílimid
you	tú
I	mé
muide	muid
you	sibh
they	siad
ink	dúch
bicycle	rothar
car	carr
orange	oráiste
penny	pingin
pence	pingine
at me	agam
at you	agat
at her	aici
at us	againn
high	ard
south	deas
poor	bocht
strong	láidir
fat	ramhar
new	nua
young	óg
old person	seanduine
red	dearg
black	dubh
grey	liath
old woman	seanbhean
old woman	seanmhná
rise	éirigh
rising	éirí
sit	suigh
standing	seasamh
wait	fanacht
marathon	maratón
music	ceol
potassium	potaisiam
chemistry	argón
companion	céile
I love you	tá grá agam ort
penis	bod
Dian Cecht	Cian
we	sinn
twisted	cas
name	ainm
knob	murlán
sentence	abairt
whiskey	fuisce
diamond	diamant
rut	ruta
angel	aingeal
Av	Ab
Scotland	Alba
God	Dia
member	Garda
Liffey	Life
Louth	Lú
Níle	Níl
Rosa	Rosa
Saint	San
reckoning	scot
my	mo
clockwise	deiseal
purchase	crean
age	cian
wether	molt
balm	balsam
Dublin	BAC
surah	sura
chicken	cearc
sweat	allas
body	corp
graph	graf
attack	amas
jump	geit
snout	soc
history	stair
tea	tae
pain	pian
with you	leat
gust	puis
um	mun
GAA	CLG
without	gan
bright	án
she	í
English	Béarla
room	rúm
play	seinn
searching	súr
bowel	inne
dwelling	lios
wall	falla
Jesus	Íosa
friend	cara
sleep	codladh
guild	gild
shapeless mass	allait
calf	lao
winter	geimhreadh
heat	teas
breakdown	teip
November	Samhain
fog	ceo
extract	bain
lucerne	alfalfa
out	amuigh
Friday	Aoine
enduring	buan
nod	gog
Irish	Gael
he	é
definite article	seo
people	tuath
ball	bál
guard	barda
love	gean
earth	domhan
Scottish	Albanach
mountain	sliabh
blackbird	lon dubh
blackberry	sméar dhubh
jam	subh
blue	gorm
dictionary	foclóir
deaf	bodhar
swan	eala
badger	broc
king	rí
queen	banríon
lath	lata
multicolored	ildaite
blessing	beannacht
Christmas	Nollaig
please	le do thoil
Sorbian	Soirbis
chieftain	taoiseach
Dáire mac Fiachna	Dáire mac Fiachna
mouse	luch
value	luach
shake	crith
shape	cuma
hand	glac
anoint	ung
axe	tua
satisfaction	sult
swimsuit	culaith shnámha
fuck	foc
not	cha
contents	lucht
fox	sionnach
fox	madra rua
plant	lus
on me	orm
poet	ollamh
on you	ort
distance	achar
bestowal	rath
watt	vata
dot	pointe
brow	mala
block	bloc
slane	sleán
slane	sleánadóir
le nbhur	len
bare	lom
rest	fos
before	sula
row	rae
we	sinne
white	geal
size	toise
counter	ríomhaire
cost	costas
butt	tump
commend	mol
strain	scag
person	duine
noble	uasal
dark	dorcha
ace	ás
fist	dorn
destroy	arg
sea	muir
earth	talamh
soul	anam
rocky	boireannach
male offspring	fireannach
understand	tuig
hairy	gruagach
colour	dath
memory	cuimhne
dead	marbh
soreness	tinneas
nominative	biadh
unfortunate	dona
yak	geac
grudge	fala
slant	fiar
flat stone	leac
porridge	leite
cheek	grua
thin	caol
sparse	gann
cold	fuar
quick	mear
ass	asal
before	ur-
surd	surda
henna	hine
tomb	ula
i n-a	ina
pride	bród
race	cine
iron	iarann
fish	iasc
suit	oir
bull	tarbh
blind	dall
zinc	sinc
interval	aga
harm	bine
track	tí
interest	ús
baby	báb
paw	lapa
if	mura
bowl	bolla
in which	inar
mum	mam
leap	ling
de do	ded
noise	fram
hop	hopa
hindrance	loc
breeding	stoc
hound	cú
dog	gadhar
pot	pota
welcome	fáilte
knowledge	fios
household	teaghlach
light	solas
branch	craobh
food	coth
burr	burra
hint	leid
Turdus merula	lon
purchase	ceannach
scheming	beartach
mug	muga
protrusion	starr
thrust	sá
Celt	Ceilteach
hall	halla
repentance	aithreachas
rough	garbh
heavy	cothrom
they	iad
i	inár
Claire	Sorcha
bundle	burla
sleeping	feis
twisted	casta
clouded apparition	mua
hoo	hú
abacus	abacas
cup	cupa
chest	ciste
cow	bó
field	achadh
live	mair
coinage	monadh
hill	cnoc
shore	cladach
squirrel	iora
syn-	sin-
woman	bé
hey	hé
copper	copar
arms	armas
ballet	bailé
stick	bata
silly talk	brilléis
bill	bille
envy	formad
fast	gasta
sword	claíomh
vomiting	orla
thallus	tallas
goddess	Áine
wood	fiodh
sight	radharc
freedom	saoirse
poem	duan
lá breithe maith agat	lá breithe maith agat
ideal	idéal
pay	pá
burse	bursa
Sile	Sile
layman	laoch
sgoileanna	sgoil
Ireland	Dáil Éireann
captive	cime
track	bóithrín
bare	nocht
shower	fras
pelt	bian
Orla	Órfhlaith
gold	ór
lordship	flaith
what	cén
if	dá
prayer	guí
need	gá
goose	gé
day	lá
with her	léi
smooth	mín
mystery	rún
thatch	tuí
zoo	zú
nun	cailleach dhubh
Islamic	Ioslamach
belief	creideamh
mother	máthair
daughter	iníon
moon	gealach
there's no place like home	níl aon tinteán mar do thinteán féin
neoplasm	neoplasma
early	moch
silence	tost
gullet	craos
anger	fearg
folly	baois
asthma	asma
tongue	teanga
head	ceann
thigh	sliasaid
bow	bogha
Hugh	Aodh
swarthy	ciar
di-	dé-
Fomorian	Eithne
fair-haired foreigner	Fionnghall
nun	cailleach
bad	olc
happiness	sonas
destroyer	millteach
honest	ionraic
uprightness	ionracas
impossible	do-
medicine	leigheas
demon	deamhan
snake	nathair
crocodile	crogall
lizard	laghairt
chase	cluich
arrow	saighead
Maighdine	Maighdean
maiden	maighdean
world	cruinne
request	iarraidh
sadness	cumha
take	gabh
being	neach
-ette	ban-
noun	-each
voice	guth
hardness	cruas
fault	cron
harm	aimhleas
river	abhainn
Sheila	Síle
stove	sorn
bitter	searbh
kiss	póg
finish	slacht
Viking	Lochlann
Mí	Mí
temple	teampall
bottle	buidéal
Englishman	Sasanach
foster child	dalta
step-	leas-
foster father	oide
baptize	baist
after-	iar-
dumb	balbh
trough	trach
marrow	smior
ghost	taibhse
spiritedness	spiorad
nature	aigne
leaf	duille
brusque	borb
learn	foghlaim
sly	glic
soft	maoth
easy	socair
pig	muc
I love you	tá grá agam dhuit
pulse	cuisle
Irish	Éireannach
share	roinn
Ostaire	Ostair
village	baile beag
face	aghaidh
lacrosse	crosógaíocht
feared	eagal
vehement	dian
get	faigh
chasuble	casal
up	suas
strength	neart
sense	ciall
uneven weight	leatrom
uneven	leatromach
sterile	aimrid
faoi an	faoin
skin	craiceann
say	abair
-ase	-áis
false	falsa
sickness	galar
urine	fual
well	tobar
horse	capall
horned	adharcach
horn	adharc
board	mias
vessel	soitheach
lame	bacach
pillow	adhartach
priest	sagart
opening	failc
top	mullach
fosterage	altram
sister	deirfiúr
rock	boireann
sell	reic
architect	ailtire
to	chun
sleep	suan
musical	oirfideach
speckled	breac
right	ceart
drink	deoch
humour	lionn
testicle	magairle
root vegetable	meacan
shell	slige
hood	cochall
avoid	seachain
oats	coirce
potato	práta
rope	rópa
omen	teir
injunction	geis
ear	cluas
summer	samhradh
worship	adhradh
stormy	doineann
naphtha	nafta
destruction	malairt
front	fronta
d’ith mé	duas
gas	gás
Virgin Mary	Maighdean Mhuire
gin	jin
lord	tiarna
Lord	Tiarna
beetle	daol
Our Lady	Ár mBantiarna
Lady	Bantiarna
lady	bantiarna
drop	braon
pappus	papas
earl	iarla
mate	máta
oboe	óbó
kidney	ára
knight	ridire
poison	nimh
trombone	trombón
state	stát
chance	seans
carbon	carbón
Monday	Luan
zany	gealtach
Isis	Ísis
litter	ál
importance	miste
love	grá mo chroí
album	albam
slice	gríscín
flood	tuile
interest	leas
caper	capras
or	nó
ó	ón
night	oíche
good	maith
thing	rud
ins an	insan
wall	múr
gun	gunna
butterfly	féileacán
junta	giunta
le n-a	lena
hard	dúr
asphalt	asfalt
boat	nae
yesterday	inné
puma	púma
May	Bealtaine
Hallowmas	almas
James	Séamas
flora	flóra
church	cill
-er	-aire
where	cá
broken	brus
generosity	gart
bit	mír
lock	urla
noun	-ne
thicket	muine
victory	bua
fair maiden	faoileann
Malta	Málta
berry	caor
wasp	puch
idea	idé
compass	compás
-ry	-ra
said	arsa
between	idir
camp	campa
Bearnán Pádraig	Pádraig
tun	tunna
parrot	pearóid
if	murar
albatross	albatras
please	más é do thoil é
characteristic	sonra
yeast	giosta
Abraham	Abrahám
second	soicind
here	abhus
rib	maide
who is	cér
full	sách
January	Eanáir
February	Feabhra
April	Aibreán
June	Meitheamh
July	Iúil
September	Meán Fómhair
October	Deireadh Fómhair
Sunday	Domhnach
noun	ainmfhocal
word	briathar
Israel	Iosrael
football	peil
claustrophobia	clástrafóibe
August	Lúnasa
March	Márta
Tasmáine	Tasmáin
that	gur
stone	cloch
school	scoil
-teen	deich
sibyl	sibille
dar b’	darb
pump	pumpa
Danmhairge	Danmhairg
note	nóta
grain	grán
heap	carn
yoke	cuing
rhyme	rím
mode	mód
organ	orgán
lollipop	líreacán
wavelength	tonnfhad
tomato	tráta
tiger	tíogar
press	preas
raw	amh
loins	áranna
system	córas
before them	rompu
candle	coinneal
bread	arán
Aristotle	Arastotail
gnu	gnú
dromedary	dromadaire
part	cuid
frame	creat
see	-im
forever	go deo
child	leanbh
feast	fleá
barrel	bairille
raise	tóg
open	oscail
look	féach
listen	éist
tear	stróic
mend	deisigh
read	léigh
finish	críochnaigh
besom	scuab
give	tabhair
when	cathain
today	inniu
last night	aréir
ice cream	reoiteog
sweet	milseán
television	teilifís
picture	pictiúr
foot	cois
sea	farraige
at home	sa bhaile
room	seomra
kitchen	cistin
bed	leaba
field	páirc
close	clós
garden	gairdín
shop	siopa
build	déanamh
Sunday	Dé Domhnaigh
Monday	Dé Luain
Tuesday	Dé Máirt
Dé Céadaoin	Dé Céadaoin
Thursday	Déardaoin
Dé	Dé hAoine
Saturday	Dé Sathairn
tomorrow	amárach
tonight	anocht
quick	luath
ar ball	ar ball
year	bliain
next	seo chugainn
Mac	Ní
mórsheisear	seacht
aon duine dhéag	aon déag
dara déag	dó dhéag
o'clock	a chlog
half-hour	leathuair
after	tar éis
quarter	ceathrú
poppy	poipín
each	gach
morning	maidin
breakfast	bricfeasta
dinner	dinnéar
supper	suipéar
Lord’s Prayer	paidir
again	arís
joy	áthas
surprise	ionadh
fear	eagla
shame	náire
anxiety	imní
hunger	ocras
cold	slaghdán
tooth	fiacaile
tooth	fiacail
cuir ar	cuir ar
cloth	éadach
rotten	lofa
like	is maith le
preferable	is fearr
possible	is féidir
remember	is cuimhin le
matter	is cuma
is mian le	is mian le
boy	garsún
paper	páipéar
hear	clois
hear	cluin
sight	feic
sick	breoite
sad	brónach
yet	fós
ready	ullamh
hand	lámh
knife	scian
eye	súil
widow	baintreach
lie	bréag
place	áit
question	ceist
dry	tirim
ar oscailt	ar oscailt
cock	coileach
shilling	scilling
week	seachtain
wear	caith
believe	creid
strike	buail
milk	crúigh
Roisin	Róisín
sell	díol
leave	fág
ask	iarr
truth	fírinne
wood	adhmad
go	imigh
collect	bailigh
answer	freagair
sleep	codail
Ares	Airéas
session	seisiún
chair	cathaoir
gate	geata
your	bhur
salt	salann
under	faoi
saying	rá
colt	bromach
yield	lacht
factory	monarcha
pope	pápa
branch	géag
elephant	eilifint
frame	deilbh
goodbye	slán agat
bib	bibe
-ite	-ít
mango	mangó
small	mion
drama	dráma
roll	rolla
constitution	bunreacht
carnality	collaíocht
lover	leannán
polo	póló
kiss my arse	póg mo thóin
pound	póna
already	cheana
fossa	fosa
round	cruinn
open-mouthed	gionach
Northern Ireland	Tuaisceart Éireann
Iorua	Iorua
seed	pór
woven	fite
body	drong
mole	mól
solid	solad
clear	follas
marquess	marcas
chunk	baog
gap	séanas
arum	áram
two	dís
that	nár
near	fogas
flag	bratach
you	tusa
humus	humas
bad luck	donas
spade	spád
nest	nead
glen	gleann
suit	feil
ó n-a	óna
bramble	dris
out of the frying pan, into the fire	amach as na muineacha is isteach sna driseacha
pane	pána
to	dúinn
to	daoibh
to	dóibh
corner	cúil
with mé	liom
with you	libh
Fionlainne	Fionlainn
hobble	habal
darkness	dorchadas
Pelvetia canaliculata	dúlamán
table	tábla
very	so-
aberration	iomrall
marten	cat crainn
vodka	vodca
adolescent	ógánach
salivary	seileach
wrinkle	furca
analog	analóg
pleasant	lách
ounce	unsa
caulker	calcaire
cloudy	scamallach
re-	ath-
plunder	slad
tornado	tornádó
you	thusa
two	beirt
paltry	suarach
knowledge	eol
holly	cuileann
boys	macra
mocking	magadh
paw	mág
grass	féar
lees	moirt
man-	fear-
apple tree	abhaill
weed	fiaile
bud	bachlóg
marijuana	marachuan
Czech	Seiceach
Seice	Seic
battle	cath
like father, like son	cad a dhéanfadh mac an chait ach luch a mharú
taste	blas
at me	agamsa
person	pearsa
noun	-sa
she	ise
you	sibhse
they	iadsan
government	rialtas
psalm	salm
birth	breith
Scandinavian	Lochlannach
Old Norse	Lochlannais
Hebrew	Eabhrach
fern	raithneach
prostitute	striapach
Gearmáine	Gearmáin
aril	aral
tie	ceangail
connection	ceangal
attached	ceangailte
library	leabharlann
is maith an	is maith an t-anlann an t-ocras
condiment	anlann
coal	gual
fá mo	fám
fá do	fád
yawn	méanfach
statutory	reachtúil
1st	1ú
argument	agallamh
reference	tagairt
land	tír
boy	gasúr
judge	breitheamh
redeem	slánaigh
redemption	slánú
editor	eagarthóir
pride	borrachas
source	foinse
anil	anail
analogy	analach
tree	crann
incline	claon
inclination	claonadh
above	os cionn
sure	dearbh
consumption	caitheamh
bribe	breab
foot	troigh
hour	uair
restraining yoke	uarach
trace	lorg
all	uile
suit	agra
abundance	iolra
able	ábalta
luck	ádh
airport	aerfort
ripe	aibí
Mass	Aifreann
weather	aimsir
peculiar	aisteach
beautiful	álainn
Scotland	Albain
one	amháin
thus	amhlaidh
song	amhrán
doubt	amhras
wasted	amú
hither	anall
soup	anraith
thither	anonn
age	aois
both	araon
changing	athrú
cult	cultas
knot	snaidhm
cheek	pluc
fetter	géibheann
before me	romham
before you	romhaibh
before him	roimhe
before us	romhainn
before me	romhamsa
before you	romhaibhse
before us	romhainne
to	chuig
swamp	bogach
blow	buille
side	taobh
it takes one to know one	aithníonn ciaróg ciaróg eile
from	dhi
to	dhuit
beetle	ciaróg
fireplace	tinteán
prowess	gaiscíoch
dun	odhar
bald	maol
smooth	soraidh
duck	lacha
toward us	chugainn
tennis	leadóg
acceptance	glacadh
threat	bagairt
personal	pearsanta
course	rian
male	fireann
Michael	Micheál
beguilement	mealladh
impairment	milleadh
dog	madadh
wolf	faol
cock	maig
Mary	Muire
vocative	gairmeach
case	tuiseal
bungalow	bungaló
heavy	cothromach
uncle	uncail
occupancy	seilbh
perception	brath
elbow	uillinn
wing	eite
all-	uile-
adultery	adhaltranas
seaweed	feamainn
seaweed	feamnach
ability	ábaltacht
Abkhaz	Abcáisis
avocado	abhacád
Abram	Abrám
actinium	achtainiam
acronym	acrainm
earn	tuill
Danish	Danmhairgis
otter	dobhrán
mistake	dearmad
ruling	ceannasach
weave	figh
when	nuair
stooped	crom
love	gráigh
what	céard
what	caidé
advice	comhairle
overweening strength	ainneart
smoke	deatach
pale	meata
unfree	daor
wanted	teastaigh
answering	freagairt
abounding	luachrach
mystic	misteach
over there	thall
hunting	seilg
French	Fraincis
German	Gearmáinis
Cornish	Coirnis
Cornwall	Corn na Breataine
Fianna	Oisín
Italian	Iodáilis
Esperanto	Sprantais
Manx	Manainnis
Occitan	Ocsatánais
Dane	Danar
Danish	Danmhargach
Estonian	Eastóinis
Hungarian	Ungáiris
Hawaiian	Haváis
Latin	Laidin
Nepali	Neipeailis
Polish	Polainnis
Romansch	Raeta-Rómáinsis
Turkish	Tuircis
Wolof	Volaifis
Walloon	Vallúinis
Finnish	Fionlainnis
easy	furasta
knock	cnag
companion	seise
bolster	adhairt
same	ionann
land	iath
agreement	margadh
Oman	Óman
promise	gealladh
pie	pióg
pasty	pastae
bíonn tú	bír
flesh	feoil
splash	steall
consonant	consan
belt	crios
hiatus	hiatas
stream	sruth
wise man	sruith
Malay	Malaeis
fax	facs
goddess	bandia
may	gura
she	sise
before	riamh
indeed	muise
tract	learg
knowledge	eolas
beireann siad	beirid
cod	trosc
pigeon	colúr
kestrel	pocaire gaoithe
peacock	péacóg
quiet	ciúin
tutor	teagascóir
brother	deartháir
niece	neacht
curly	catach
brother	bráthair
heart	croí
fiery	bruite
mill	muileann
egg	ubh
flower	bláth
nose	srón
birdcage	éanadán
story	scéal
absorb	súigh
bean	Nic
serve	freastail
life	saol
snow	sneachta
boatman	bádóir
sin	peaca
province	cúige
death	bás
belly	bolg
beginning	tosach
beginning	tús
hair	folt
callow	caladh
breast	cíoch
cross	ainle
wing	eiteog
shinty	camánacht
bird	éan
win	buaigh
slender	seang
hybrid	hibrid
knot	cnota
leaf	duilleog
foliage	duilliúr
cap	caipín
eyelid	caipín súile
kneecap	caipín glúine
knee	glúin
digit	méar
deserve	dligh
top	uachtar
freeze	reoigh
ice cream	uachtar reoite
president	uachtarán
President	Uachtarán
dairy	uachtarlann
buttocks	tóin
plummet	luaidhe
offer	tairiscint
order	ordaigh
order	ordú
pipe	píb
fingerprint	méarlorg
autumn	fómhar
pocket	póca
purse	sparán
catch	gabháil
-er	-óir
pork	muiceoil
fawn	oisín
venison	oiseoil
band	fiann
grandson	garmhac
granddaughter	gariníon
grandfather	seanathair
husband	fear céile
wife	bean chéile
nail	ionga
slavery	daoirse
aardvark	arcán talún
manly	fearúil
adjective	-úil
original	bunúsach
origin	bunús
whistle	feadóg
woman	banscál
ancient	ársa
step	céim
step	céimnigh
bad	mí-
eclipse	urú
refreshment	úrú
too	ró-
before	roimh
child	leanbán
office	oifig
officer	oifigeach
official	oifigiúil
England	Sasana
functionary	feidhmeannach
use	feidhm
verbal noun	-iú
verbal noun	ainm briathartha
kill	maraigh
deadly	marfach
darken	uraigh
marry	pós
kiss	-ann
buy	-aíonn
see	-imid
found	bunaigh
foundation	bunú
mouth	béal
language	béarla
vegetables	glasraí
greenery	glasra
heaven	neamh
cavalry	marcra
-ary	-lann
Spáinne	Spáinn
Limerick	Luimneach
killer	marfóir
morgue	marbhlann
die	éag
somewhat	roinnt
thick	tiubh
doing	gníomh
vote	vótáil
we	-aimid
fault	locht
at all	ar bith
take care	tapadh le
go raibh maith agat	go raibh maith agat
short	gearr
good	maithe
hurrah	hurá
hair	gruaig
hair	ribe
population	daonra
dessert	milseog
frozen	reoite
lick	ligh
happening	tarlú
newspaper	nuachtán
-ose	-ós
sewage	múnlach
bad	droch-
in-	neamh-
low	íseal
down	síos
over	thuas
under	thíos
up	aníos
down	anuas
Uasail	Uasal
little	beagán
pair	cúpla
beam	leathchúpla
lying	leath-
side	leath
currach	curach
Eastóine	Eastóin
camera	ceamara
Erithacus rubecula	spideog
goat	gabhar
rabbit	coinín
doctor	dochtúir
oxygen	ocsaigin
university	ollscoil
sea	lear
ladybug	bóín Dé
beast	péist
spoon	spúnóg
poetry	filíocht
biscuit	briosca
planet	pláinéad
adverb	dobhriathar
hÉigipte	Éigipt
fruit	toradh
translation	aistriúchán
Greek	Gréigis
triangle	triantán
square	cearnóg
island	oileán
car	gluaisteán
rainbow	bogha báistí
rainbow	tuar ceatha
rain	báisteach
rain	fearthainn
owl	ulchabhán
cradle	cliabhán
home	cónaí
live	cónaigh
always	i gcónaí
we	muidne
he	eisean
he	seisean
they	siadsan
you	thú
how	conas
state	ionnas
Saturday	Satharn
cow	agh
case	cás
snail	seilide
fear	faitíos
upset	múisiam
cause	fáth
plumage	clúmh
bone	cnámh
four people	ceathrar
mid	meán
toe	ladhar
balance	meáigh
half-life	leathré
body	colainn
sexual	collaí
spinning wheel	tuirne
swallow	fáinleog
cent	ceint
pioneer	tosaí
adjective	aidiacht
toe	méar coise
focus	fócas
focal	fócasach
mosque	mosc
coarse	bodúil
chiffchaff	tiuf-teaf
limit	críoch
abstract	teibigh
abstract	teibí
abstract	teibíocht
abstraction	teibiú
Wednesday	Céadaoin
ivy	eidheann
telephone	guthán
telephone	teileafón
witch	amaid
sew	fuaigh
stitching	fuáil
sewing machine	inneall fuála
arrangement	inneall
quiet	éaglórach
light	éadrom
noisy	glórach
noisy	gleoch
noise	gleo
third	trian
deanship	déanacht
last	déanach
-ness	-acht
fork	gabhlóg
fork	forc
fork	gabhal
news	nuacht
fast	aoine
switch	aistriú
county	contae
extinguish	múch
before her	roimpi
family	muintir
movement	gluaiseacht
moved	gluaiste
pup	coileán
puppy	coileáinín
yellow	buí
television	teilifíseán
village	sráidbhaile
uilleann pipes	píb uilleann
piper	píobaire
February	Faoilleach
mouse	luchóg
sigh	osna
tenant	manach
bulk	toirt
trans-	tar-
wagon	féan
wagon	vaigín
unwashable	donite
rock	carraig
behind	cúl
chess	ficheall
pulsar	pulsár
generation	ginealach
hawk	seabhac
the upper hand	an lámh a bheith in uachtar agat
dream	brionglóid
dream	aisling
southward	aduaidh
northerly	thuaidh
north	tuaisceart
south	deisceart
from	aneas
feed	biathaigh
front	oirthear
west	iarthar
from	anoir
from	aniar
west	thiar
westerly	siar
in	istigh
prefix	réimír
suffix	iarmhír
preposition	réamhfhocal
connection	cónasc
interjection	intriacht
cognomen	forainm
Ísiltíre	Ísiltír
Internet	Idirlíon
bra	cíochbheart
answer	freagra
Lent	Carghas
sparrow	gealbhan
saint	naomh
Saint	Naomh
false	bréag-
Vietnam	Vítneam
execution	bású
execute	básaigh
salmon	bradán
over-	os-
gut	putóg
human	daonna
wattled	cliath
ditcher	cladhaire
aloneness	aonar
sub-	fo-
buffalo	buabhall
cattle	crodh
Welsh	Breatnach
Scots	Albainis
Albanian	Albáinis
Welsh	Breatnais
wine	fíon
French	Francach
closing	dúnadh
spider	damhán alla
ſ	ẛ
hormone	hormón
bondman	mogh
fetid	bréan
wheel	roth
Easter	Cáisc
curious	fiosrach
place	ionad
national debt	fiach náisiúnta
national	náisiúnta
hot	teo-
Louis	Lughaidh
constellation	Madraí Fiaigh
invalid	othar
stump	nuta
mirror	scáthán
front	éadan
drunkenness	meisce
offspring	sliocht
English	Béarlóir
engineer	innealtóir
trade	ceird
artisan	ceardaí
ladle	liach
dockworker	dugaire
-er	-tóir
otter	dobharchú
wolf	mac tíre
wild dog	faolchú
wolf	madra allta
wolf	madra alla
dachshund	broc-chú
communism	cumannachas
princely	flaithiúil
crab	portán
lobster	gliomach
Astráile	Astráil
scythe	speal
Viking	Uigingeach
Alban Nua	Albain Nua
Spanish	Spáinneach
Christian	Críostaí
Christ	Críost
dead body	marbhán
baptism	baisteadh
Gaul	Gall
spotted	ballach
like that	mar sin
Nua-Shéalainne	Nua-Shéalainn
prince	prionsa
archduke	ard-diúc
badger	brocach
duke	diúc
calf	gamhain
judgment	breithiúnas
ring finger	méar an fháinne
little finger	méar bheag
tent	puball
nut	cnó
walnut	gallchnó
hazelnut	cnó coill
hazelnut	cnó gaelach
broad	leathan
faigh locht ar	faigh locht ar
ice	oighear
freeman	urra
certain	cinnte
foolish	amaideach
pledge	gealltanas
basket	cliabh
friendship	cairdeas
stepfather	leasathair
stepmother	leasmháthair
nickname	leasainm
stepson	leasmhac
regent	leasrí
Holy Land	Talamh Naofa
cúige	Mumhain
dandelion	caisearbhán
prickle	dealg
otter	madra uisce
silicon	sileacan
firewood	connadh
shaggy	giobach
straddle	srathair
corn	arbhar
wig	bréagfholt
lying	bréagach
chin	smig
rise	-íonn
liar	bréagadóir
dative	tabharthach
bricklayer	brícléir
bricklayer	bríceadóir
herb	luibh
digit	luibhean
journey	turas
Sarah	Sárá
Isaac	Íosác
teenager	déagóir
Isle of Man	Manainn
good	dea-
stairs	staighre
e-	r-
flame	lasrach
bridle	srian
wedding	bainis
mercury	mearcair
Mercury	Mearcair
quicksilver	airgead beo
Saturn	Satarn
grammar	gramadach
diary	cín lae
lie	luigh
wake up	dúisigh
Ulster	Ulaidh
Connacht	Connachtach
lying	luí
awake	dúiseacht
secondary	Gaelcholáiste
cake	císte
ball	liathróid
blow	séid
flannel	báinín
toy	bréagán
healthy	slán
health	sláinte
hygienic	sláinteach
Brownie	Brigín
Brownie	Brídín
Brownie	Donnóg
young	macaomh
helper	cuiditheoir
help	cuidiú
assisted	cuidithe
gardener	garraíodóir
gardener	gairneoir
hydrogen	hidrigin
follower	leantóir
penis	péineas
glans penis	breall
girl	ainnir
independent	neamhspleách
pint	pionta
harmless	neamhdhíobhálach
harmful	díobhálach
denominator	ainmneoir
singer	fonnadóir
end	earr
calamity	tubaiste
