paint	cat
door	pintu
cigarette	rokok
rattan	rotan
bread	roti
ill	sakit
sugar	sakar
safety	selamat
milk	susu
know	tahu
sugar cane	tebu
egg	telur
plank	papan
flat	papar
crocodile	buaya
alms	derma
ash	duli
honey	madu
at	pada
life	hidup
monarch	ratu
pure	suci
man	tani
heavy	berat
uncooked rice	beras
lip	bibir
current	arus
plate	pinggan
flaw	cacat
earth	ardi
nail	kuku
mother	ina
choose	pilih
hole	lubang
junk	wangkang
assume	anggap
put	taruh
boat	perahu
nauseous	luak
full	penuh
show	tunjuk
bamboo	buluh
thunder	guruh
sea turtle	penyu
moss	lumut
cut	putus
after	kemudian
eject	luah
nose	hidung
help	tolong
elder sister	taci
afraid	takut
grow	tumbuh
pus	nanah
forehead	dahi
leaf	daun
hill	bukit
say	ucap
horsefly	langau
larva	ulat
fog	kabut
observe	tinjau
spider	labah
gain	untung
navel	pusat
mangrove	tengar
point	tuju
moustache	kumis
death	ajal
plate	pending
smart	pintar
pestle	الو
quail	puyu
progressive	maju
excrement	tahi
bamboo	aur
bertunas	tunas
rainbow	ganu
face	muke
card	kad
honor	izzat
I	sini
fish trap	bubu
professor	profesor
fragrant	wangi
river	alur
scar	parut
July	Julai
there	situ
hook	sangkut
pail	baldi
tuber	umbi
whale	paus
lemongrass	serai
sick	gering
ocean	segara
steam	wap
yawn	uap
hundredth	kati
brother	uda
pupil	murid
soul	jiwa
alphabet	abjad
locust	balang
majority	paling
puppeteer	dalang
natural fibre	guni
lie down	baring
Ijazah Sarjana Muda	ijazah
pretend	sadin
manganese	mangan
individual	individu
letter	ă
about	tentang
larva	renga
ring	cincin
agar	agar-agar
age	zaman
dress	gaun
ear	telinga
finger	jari
thumb	ibu jari
child	kanak
be	adalah
be	berada
sit	duduk
belly	perut
southeast	tenggara
still	masih
Aklanon	Aklan
run swiftly	menciput
eyebrow	kening
giant	bota
free	bebas
burden	beban
technology	teknologi
warning	amaran
co-parent-in-law	besan
dawn	fajar
holy	kudus
pineapple	nanas
science	sains
conscious	sedar
plan	pelan
orange	oren
camel	unta
manage	urus
orangutan	orang utan
second	detik
people	umat
very	terlalu
already	telah
cold	adem
shadow play	wayang
beetle	kumbang
ice	ais
uterus	tian
three	tige
marble	guli
seal	sil
mission	misi
letter	ĕ
shoulder	bahu
turban	serban
song	gita
beginning	sedia
alcohol	alkohol
forbidden	haram
grandmother	pan
school	madrasah
scandium	skandium
can	dapat
course	aliran
calcium	kalsium
cadmium	kadmium
zirconium	zirkonium
small hole	liang
indigo	nila
wax candle	dian
肖示	saksi
mite	tuma
promethium	prometium
cockroach	lipas
mother	pukimak
sentence	ayat
group	geng
older sister	kang
jussive	-lah
satisfied	puas
pharmacy	apotek
Abraham	ابراهیم
that	تو
second	ساعت
casuarina	eru
breadfruit	kulur
buffet	bufet
century	ابد
philosophy	falsafah
hybrid banana	punti
block	sekat
March	مچ
captain	kapitan
oxygen	oksigen
climate	iklim
conductor	konduktor
retreat	undur
coupon	kupon
ethics	etika
giraffe	زرافه
lyrics	lirik
steal	ketek
interview	interviu
work	فعل
curtain	tirai
stale	basi
wrestling	gusti
factor	faktor
think	fikir
many	ramai
Venus clam	lala
search	cari
vision	visi
lychee	laici
party	pesta
zinc	zink
microbiology	mikrobiologi
economy	ekonomi
king	راج
authentic	tulen
penis	palat
measure	sukat
chisel	pahat
lorry	lori
century	kurun
raft	rakit
approve	pakat
philosophy	فلسفه
satellite	satelit
red	berma
right	kanan
sauce	sos
tiger	macan
frost	fros
swallow	telan
monkey	kera
maybe	kalu
queen	suri
vulva	puki
incense	dupa
centipede	lipan
sport	sukan
loyal	setia
realm	alam
pastry	perata
ant	semut
transfusion	transfusi
shoe	kasut
chile	cili
older sister	kak
thin	kurus
butterfly	kupu-kupu
butterfly	rama-rama
steep	curam
seduce	goda
beginning	awal
drain	longkang
idol	reca
automatic	automatik
Philippines	Filipina
eternal	abadi
climb	naik
biology	biologi
ecology	ekologi
deceptive	tipu
everything	segala
self-defense	silat
hello	helo
mint	pudina
letter	Ă
muscle	otot
cycle rickshaw	beca
down	turun
selamat makan	selamat makan
diamonds	daiman
hot	panas
god	اله
krypton	kripton
cobalt	kobalt
electron	elektron
express	ekspres
hisap batang	hisap batang
violin	biola
church	gereja
accidental aspect	ter-
tail	kotek
work	fiil
pimp	barua
animal	حيوان
guess	teka
guerilla	gerila
cook	tanak
bed	katil
true	benar
vegetable	sayur
grill	panggang
cucumber	timun
salt	garam
sama	sama-sama
pardon	maaf
until	sampai
selamat pagi	selamat pagi
bon voyage	selamat jalan
dig	korek
husband	suami
prostitute	pelacur
indolent	malas
healthy	segar
liberated	merdeka
ouch	aduh
action	aksi
active	aktif
Greek	Yunani
bench	bangku
workshop	bengkel
bishop	biskop
hinge	engsel
fanatic	fanatik
old	توا
sura	surah
love	sayang
biscuit	biskut
welcome	selamat datang
son	anak laki-laki
heart	jantung
present	kini
star	bintang
number	nombor
letter	huruf
hell	neraka
apple	epal
and	دان
blue	biru
green	hijau
yellow	kuning
mouse	tikus
tree	pokok
east	timur
snake	ular
thick	tebal
father	ayah
bee	lebah
cold	dingin
flower	kembang
copper	tembaga
Citrus	limau
thing	barang
sleep	tidur
girlfriend	teman wanita
shoot	tembak
wet	basah
wind	angin
blanket	selimut
goat	kambing
owl	burung hantu
hare	kelinci
rabbit	arnab
elephant	gajah
abacus	sempoa
salary	gaji
accuse	tuduh
near	dekat
autopsy	autopsi
geography	geografi
beach	pantai
male student	siswa
university student	mahasiswa
caterpillar	beluncas
shadow	bayang
colour	rona
henna	inai
vowel	vokal
bone	tulang
mountain	gunung
politician	politikus
hero	wira
pennon	panji-panji
poison	racun
school	maktab
breakfast	sarapan
twin	kembar
angel	malaikat
ginger	halia
government	kerajaan
smell	bau
cube	kubus
bottle	botol
hiccough	sedu
candidate	calon
palace	istana
artist	seniman
blessing	kurnia
arsenic	arsenik
Royal Brunei Navy	KDB
sandfly	agas
kris	keris
decade	dekad
laki	lelaki
country	negara
world	dunia
Jupiter	Musytari
cold	sejuk
bear	beruang
hide	sembunyi
woolly ruminant	domba
sheep	biri-biri
scissors	gunting
cruel	zalim
dawn	subuh
function	fungsi
spoon	sudu
opium	candu
beruang kutub	beruang kutub
dream	mimpi
physics	fizik
panther	harimau
drop	titis
xylophone	xilofon
pigeon	merpati
pan	apan
amateur	amatur
ocean	lautan
town	pekan
friend	rakan
loss	rugi
basil	lampes
thorium	torium
fly	lalat
write	tulis
bismuth	bismut
antimony	antimoni
flag	bendera
weave	tenun
west	kulon
Tuesday	Selasa
Thursday	Khamis
Friday	Jumaat
Saturday	Sabtu
tooth	gigi
scooter	skuter
ginger	jae
bow	busur
protactinium	protaktinium
soldier	askar
Malay world	Nusantara
ruthenium	rutenium
rhenium	renium
orchestra	orkestra
rhodium	rodium
hard	keras
technetium	teknetium
thulium	tulium
coconut milk	santan
turmeric	kunyit
bromine	bromin
fluorine	fluorin
Europe	Eropah
North Sea	Laut Utara
abaca	abaka
article	artikel
action	tindakan
gill	insang
can	boleh
conquest	fatah
shocker	kejutan
nation	bangsa
season	musim
summer	musim panas
grass	rumput
slow	lambat
car	gerabak
swan goose	angsa
chapter	babak
judge	hakim
performance	prestasi
boleh anda cakap bahasa Inggeris	boleh anda cakap bahasa Inggeris
me	-ku
kambing biri-biri	kambing biri-biri
cart	pedati
breath	nafas
breathe	bernafas
siapa nama kamu	siapa nama kamu
stupid	bebal
ferry	feri
residue	sisa
act	akta
horizon	ufuk
canyon	kanyon
nest	sarang
hatred	benci
citizen	rakyat
count	kira
weak	lemah
-tio	-sen
mercury	raksa
coat of arms	jata
philology	filologi
fantasy	fantasi
dagger	belati
individualism	individualisme
physiology	fisiologi
Aaron	Harun
spleen	limpa
snow	salji
embroidery	suji
glory	keramat
older sister	kanda
glass	kaca
spectacles	kaca mata
confused	kacau
sometimes	kadangkala
lesson	kaji
older sister	kakanda
defeated	kalah
tin	kaleng
you	kalian
civil	saudara
March	Maret
May	Mei
cape	tanjung
jaw	rahang
caliph	khalifah
be	ialah
temporary	sentara
split	belah
pancreas	pankreas
base	asas
earring	anting-anting
gravity	graviti
ostrich	burung unta
hammer and sickle	tukul dan sabit
anak perempuan	anak perempuan
become	jadi
penis	butoh
bite	gigit
stethoscope	stetoskop
beryllium	berilium
yttrium	itrium
molybdenum	molibdenum
caesium	sesium
cerium	serium
praseodymium	praseodimium
neodymium	neodimium
comic	komik
weary	lemas
cloud	اون
Aaron	هارون
breadfruit	sukun
custom	عادت
change	tukar
kite	wau
rape	rogol
free	percuma
cotton	kapas
pig	khinzir
tail	ekor
butt	buntut
energy	tenaga
hammer	palu
kidney	ginjal
fast	laju
tired	lelah
bicycle	sepeda
bicycle	basikal
carbon	karbon
kapok	kapuk
New Year	Tahun Baru
mollusc	siput
dolphin	lumba-lumba
numeral	-em-
have	harus
rose	mawar
afternoon	petang
noun	-el-
I	ku-
spear	tombak
hatch	tetas
public limited	berhad
obstacle	aral
tortoise	kura-kura
captivate	pikat
Venus	Zuhrah
myth	mitos
Mercury	Utarid
seam	kelim
uterus	peranakan
frame	ikat
sour	asam
knife	pisau
technique	teknik
die	mampus
stall	gerai
standard	baku
Orang Asli	sakai
this	ني
fin	sirip
I	patik
gambling	judi
onion	bawang
wolf	serigala
baby	bayi
muntjac	kijang
rainbow	pelangi
rainbow	bianglala
ring finger	jari manis
read	membaca
willing	rela
dare	cabar
mask	topeng
dark blue	senam
cigar	cerutu
insect	serangga
blue	paul
amblyopia	ambliopia
suggest	cadang
piranha	pirana
isotope	isotop
shaman	dukun
resolution	azam
shaman	pawang
you	-mu
him	-nya
-th	ke-
lineage	zuriat
rocket	roket
example	misal
mound	guar
betel	sirih
rhythm	ritma
crow	gagak
source	punca
dive	selam
polygon	oktagon
cattle	lembu
body	badan
cabin	bilik
chicken	ayam
earth	ارض
blowfish	buntal
helium	هيليوم
boron	بورون
neon	نيون
silver	فضة
ash	دولي
slowly	perlahan
meat	daging
accurate	jitu
taxi	teksi
impossible	mustahil
circumcision	sunat
strait	selat
official	rasmi
test	uji
penicillin	penisilin
nickel	nikel
syrup	sirap
scallion	daun bawang
deserted	sunyi
animal	haiwan
say	bilang
germ	germa
mushroom	cendawan
battery	bateri
hot	pedas
divorce	cerai
grindstone	canai
chat	beka
mud	lumpur
confluence	kuala
batu karang	batu karang
buah pala	buah pala
polemic	polemik
record	rakam
letter	Ā
letter	Ĕ
hen	babun
for	untuk
district	daerah
brick	batu bata
warehouse	gudang
naked	telanjang
age	زمان
garland	malai
place	letak
squirrel	bajing
sea anemone	buran
without	sonder
stupid	ahmak
soccer	bola sepak
hajj	haji
if	jika
real	sejati
notice	notis
alliance	pakatan
anjing rakun	anjing rakun
anjing prairi	anjing prairi
seal	anjing laut
berang	berang-berang
binturong	binturung
water buffalo	kerbau
bat	kelelawar
mouse	mencit
babi hutan	babi hutan
civet	musang
rhinoceros	badak
zebu	sapi
wildcat	kucing liar
Wednesday	Rabu
woman	minah
cup	cangkir
pearl	mutiara
oil	minyak
infrared	inframerah
saw	gergaji
dish	piring
gourd	labu
statue	patung
prince	putera
lung	paru-paru
thunder	guntur
sister	saudari
master of ceremonies	pengacara
ivory	gading
knee	lutut
tobacco	tembakau
enzyme	enzim
bedbug	pijat
potato	kentang
poor	miskin
chief	penghulu
David	داود
doctor	tabib
omelette	telur dadar
butter	mentega
west	مغرب
mother	emak
stair	tangga
wise person	pendeta
furniture	perabot
evil	kejahatan
illness	penyakit
metal	logam
copper	kuprum
nurse	rawat
young person	budak
never	tidak pernah
rice field	huma
angel	bidadari
picture	citra
friend	sobat
work	karya
abu	abu-abu
general	jeneral
papaya	betik
March	مارت
porcupine	landak
original	asli
butt	popor
mica	cermin
watermelon	semangka
station	stesen
sibling-in-law	lamai
pathogen	patogen
easy	mudah
bastard	gampang
quiet	pendiam
accelerator	penderas
king	datu
-teen	belas
be	اد
phycology	fikologi
bracelet	gelang
present	hadir
peninsula	semenanjung
style	stail
restaurant	restoran
brand	selar
sixpack	sado
swing	buai
flour	tepung
silicon	silikon
olive	zaitun
championship	kejohanan
God	Tuhan
breast	payudara
vast	luas
leaf	patera
luck	bertuah
luck	tuah
born	lahir
direction	arah
hundred	ratus
error	kesalahan
lantern	tanglung
numeral	angka
June	جون
spur	taji
line	baris
climbing	Memanjat
day after tomorrow	lusa
buttocks	burit
chopstick	sepit
spurt	percit
iron	ferum
thallium	talium
fragrant	harum
scrap	kikis
hall	dewan
turn	edar
tired	penat
arrive	tiba
desire	hajat
turn	putar
world	jagat
sketch	lakar
popular	populer
zygote	zigot
chlorine	klorin
vegetable	sayuran
plant	tumbuhan
plant	tanaman
courtyard	halaman
Egypt	Mesir
monkey	buset
interest	minat
text	teks
communism	komunisme
blessing	restu
join	serta
fright	seram
correct	betul
century	قرون
elastic	elastik
cream	krim
arrange	atur
nerve	saraf
toilet	tandas
body	awak
you	dikau
you	tuanku
white	ابيض
put	tarok
stupid	dungu
jackal	jakal
trace	bekas
drive away	halau
drive away	usir
curry	rendang
Mrs	puan
constitution	piagam
run	nyah
tall grass	lalang
window	jendela
fruit	kurma
god	ilah
because	kerana
magazine	majalah
merciful	karim
systematic	sistematik
sea cucumber	gamat
between	antara
match	mancis
princess	puteri
dainty	ayu
maize	jagung
this	اين
kris	empu
interaction	interaksi
ask	soal
black	lotong
miss	cik
jackfruit	nangka
mangosteen	manggis
germ	kuman
shark	يو
do	buat
stalk	tangkai
tael	tahil
traditional Malaysian	rojak
voice	suara
vowel	bunyi hidup
consonant	bunyi mati
vowel	huruf hidup
consonant	huruf mati
consonant	konsonan
television	televisyen
illustration	komku
you	-kau
slave	sahaya
siblings	saudara-saudari
we	kita orang
they	dia orang
you	kau orang
you	engkau orang
that one	yang itu
this one	yang ini
dari mana	dari mana
don't	jangan
mak cik	mak cik
biological father	bapa kandung
biological father	ayah kandung
adoptive father	bapa angkat
adoptive father	ayah angkat
biological mother	ibu kandung
biological mother	emak kandung
adoptive mother	ibu angkat
adoptive mother	emak angkat
adoptive mother	mak angkat
biological mother	mak kandung
kanak	kanak-kanak
cousin	sepupu
anak lelaki	anak lelaki
descendant	keturunan
pokok keluarga	pokok keluarga
pohon keluarga	pohon keluarga
father	abah
cucu perempuan	cucu perempuan
cucu lelaki	cucu lelaki
cucu laki-laki	cucu laki-laki
grandfather	datuk
grandmother	nenek
grandfather	atuk
cucu saudara	cucu saudara
cucu saudari	cucu saudari
datuk saudara	datuk saudara
nenek saudari	nenek saudari
great-grandchild	cicit
cicit perempuan	cicit perempuan
cicit lelaki	cicit lelaki
cicit laki-laki	cicit laki-laki
ibu bapa datuk nenek	ibu bapa datuk nenek
moyang perempuan	moyang perempuan
ibu datuk nenek	ibu datuk nenek
moyang lelaki	moyang lelaki
bapa datuk nenek	bapa datuk nenek
anak lelaki cicit	anak lelaki cicit
cucu lelaki cicit	cucu lelaki cucu
ibu moyang	ibu moyang
nenek datuk nenek	nenek datuk nenek
datuk nenek	datuk nenek
bapa moyang	bapa moyang
datuk datuk nenek	datuk datuk nenek
brother	adik lelaki
younger sister	adik perempuan
nephew	anak saudara
niece	anak saudari
keluarga diraja	keluarga diraja
parent	ibu bapa
emak ayah	emak ayah
adik	adik-beradik
uncle	pakcik
anak laki-laki cicit	anak laki-laki cicit
cucu laki-laki cicit	cucu laki-laki cucu
moyang laki-laki	moyang laki-laki
father	bapai
older sister	akak
older sister	kekanda
older sister	kakang
older sister	akang
older sister	kangmas
brother	engko
sibling	yayi
family	famili
adelphogamy	adelfogami
Malay	Melayu
buyut laki-laki	buyut laki-laki
buyut lelaki	buyut lelaki
buyut perempuan	buyut perempuan
great-great-grandchild	piut
piut laki-laki	piut laki-laki
piut lelaki	piut lelaki
piut perempuan	piut perempuan
great-great-great-grandchild	oneng-oneng
oneng-oneng laki-laki	oneng-oneng laki-laki
oneng-oneng lelaki	oneng-oneng lelaki
oneng-oneng perempuan	oneng-oneng perempuan
father	ابه
dog	kuyuk
anjing jantan	anjing jantan
asu jantan	asu jantan
asu betina	asu betina
anjing betina	anjing betina
anjing Dalmatia	anjing Dalmatia
anak asu	anak asu
anak anjing	anak anjing
anjing pemburu	anjing pemburu
anjing chow	anjing chow
understand	faham
anjing corgi	anjing corgi
pomegranate	delima
puluh ribu	puluh ribu
ratus ribu	ratus ribu
puluh juta	puluh juta
ratus juta	ratus juta
dua belas	dua belas
tiga belas	tiga belas
telu belas	telu belas
empat belas	empat belas
lima belas	lima belas
enam belas	enam belas
tujuh belas	tujuh belas
pitu belas	pitu belas
lapan belas	lapan belas
delapan belas	delapan belas
sembilan belas	sembilan belas
dua puluh	dua puluh
satu puluh	satu puluh
satu belas	satu belas
rumah asu	rumah asu
rumah anjing	rumah anjing
daging asu	daging asu
daging anjing	daging anjing
anjing fox terrier	anjing fox terrier
iodine	iodin
spur	pacu
segi telu	segi telu
segi empat	segi empat
sawah padi	sawah padi
Earth	Bumi
earth	Jagat
earth	Bentala
earth	Buana
giraffe	zirafah
method	kaedah
Spanish	Sepanyol
great-great-great-great-grandchild	entah-entah
great-great-great-great-great-grandchild	onang-aning
pencil	pensel
neck	leher
promise	ikrar
leopard cat	kucing batu
African wildcat	kucing liar Afrika
Asiatic wildcat	kucing liar Asia
Andean cat	kucing Andes
Bornean cat	kucing Borneo
Bornean cat	kucing merah Borneo
Bornean cat	kucing merah
Indian desert cat	kucing padang pasir India
Andean mountain cat	kucing banjaran Andes
desert cat	kucing padang pasir
flat-headed cat	kucing hutan
anjing hutan	anjing hutan
babi rusa	babi rusa
mammal	mamalia
aardvark	ardvark
kerbau Afrika	kerbau Afrika
pangolin	tenggiling
antelope	antelop
banteng	tembadau
banteng	banting
Asian golden cat	kucing tulap
Asian golden cat	kucing emas
fishing cat	kucing ikan
marbled cat	kucing dahan
hour	جم
lapangan terbang	lapangan terbang
padang terbang	padang terbang
ilmu alam	ilmu alam
zon pengudaraan	zon pengudaraan
river	batang
fire	pawaka
wind	bayu
moon	purnama
moon	cendera
new	baharu
deaf	congek
mist	kabus
close	picing
branch	dahan
South Africa	Afrika Selatan
Central African Republic	Republik Afrika Tengah
Arab Saudi	Arab Saudi
germ	aba-daba
river	bengawan
far	jauh
calf	betis
umbrella	payung
unfortunate	berau
coitus	ampek
if	jikalau
vow	kaul
terms	terma
big	gedang
bronze	gangsa
tooth	danta
body	tubuh
navel	pusar
ear	kuping
kidney	kerinjal
buah pinggang	buah pinggang
knee	tuhut
gigi susu	gigi susu
single	tunggal
penta-	panca-
back	belakang
turn	belok
dirty	kumuh
life	nyawa
water buffalo	benuang
vomit	muntah
spit	ludah
chew	kunyah
chew	mamah
suck	hisap
suck	sedut
day	yaum
red	biram
fish trap	lukah
count	hitung
black	itam
turn	beleng
yawn	kuap
stay	inap
duty	cukas
dew	embun
penis	butuh
tooth	gerigi
-ing	ber-
you	kau-
salesperson	juru-
I	ajeh
I	manira
I	ingsun
casuarina	cemara
I	pacal
slave	kawula
I	titiang
white	abiad
white	abyad
black	هيتم
black	aswad
black	لوتوڠ
red	بيرم
red	برما
-ness	ke- -an
existence	keadaan
book	pustaka
shaman	bomoh
abacus	cepua
abacus	sepua
abacus	dekak-dekak
furry	berbulu
بندر سري بڬاوان	بندر سري بڬاوان
binturong	tenturun
binturong	benturung
cassowary	kasuari
gingham	gingam
ajar	genggang
gutta-percha	getah perca
gutta-percha	getah taban
kapok	kekabu
upas	ipuh
sea cucumber	teripang
sea cucumber	timun laut
carry	bawa
sappan	sepang
sun	mentari
sun	suria
sun	rawi
sun	syamsi
seed	benih
widow	balu
come on	ماري
alocasia	birah
god	توهن
hibiscus	bunga raya
hibiscus	worawari
gomuti	ijuk
Ijok	Ijok
sappan	secang
bald	botak
medicine	ubat
endmost	hujung
endmost	هوجوڠ
