code,name
aig,antigua and barbuda creole english
aih,ai-cham
aii,assyrian neo-aramaic
aij,lishanid nosh
aik,ak
ail,aim
aim,aimo
ain,ainu (japan)
aio,aito
aip,burumakok
aiq,aimaq
air,airor
ais,nataoran amis
ait,arikem
aiw,aari
aix,aigho
aiy,ali
aja,aja (south sudan)
ajg,aja (benin)
aji,ajië
ajn,andaji
ajp,south levantine arabic
ajt,judeo-tunisian arabic
aju,judeo-moroccan arabic
ajw,ajaw
ajz,amri karbi
aka,ak
akb,batak angko
akc,mpur
akd,ukpet-ehom
ake,akawaio
akf,akp
akg,anak
akh,angal h
aki,aiom
akj,aka-jer
akk,akkadi
akl,aklano
akm,aka-bo
ako,akurio
akp,siw
akq,ak
akr,araki
aks,akaselem
akt,akolet
aku,akum
akv,akhvakh
akw,akw
akx,aka-ked
aky,aka-ko
akz,alabam
ala,alago
alc,qawasqar
ald,alladi
ale,aleut
alh,alaw
ali,amaimo
alk,alak
all,allar
alm,amblo
aln,gheg albani
alo,larike-wakasih
alq,algonqui
alr,alutor
als,tosk albani
alt,southern altai
alu,'are'ar
alw,alaba-k’ab
alw,wanbas
alx,amo
aly,alyawarr
alz,alur
ama,amanayé
amb,ambo
amc,amahuac
ame,yanesha'
amf,hamer-b
amg,amurdak
amh,amharic
ami,amis
amj,amd
amk,ambai
aml,war-jainti
amm,ama (papua new guinea)
amn,amanab
amo,amo
amp,alamblak
amq,amahai
amr,amarakaeri
ams,southern amami-oshim
amt,amto
amu,guerrero amuzgo
amv,amb
amw,western neo-aramaic
amx,anmatyerr
amy,ami
amz,atampay
ana,andaqui
anb,ando
anc,ngas
and,ansus
ane,xârâcùù
anf,animer
ang,old english (ca. 450-1100)
anh,nend
ani,andi
anj,anor
ank,goemai
anl,anu-hkongso chi
ann,obolo
ano,andoq
anp,angik
anq,jarawa (india)
anr,andh
ans,anserm
ant,antakariny
anu,anuak
anv,deny
anx,andra-hus
any,anyi
anz,anem
aoa,angolar
aob,abom
aoc,pemo
aod,andarum
aoe,angal
aof,bragat
aog,angoram
aoh,arm
aoi,anindilyakw
aoj,mufi
aok,arhö
aol,alor
aom,ömi
aon,bumbita arapesh
aor,aor
aos,taikat
aot,a'to
aot,atong (india)
aou,a'o
aox,atorad
aoz,uab meto
apb,sa'
apc,north levantine arabic
apd,sudanese arabic
ape,bukiyip
apf,pahanan agt
apg,amp
aph,athpariy
api,apiaká
apj,jicarilla apach
apk,kiowa apach
apl,lipan apach
apm,mescalero-chiricahua apach
apn,apinayé
apo,amb
app,apm
apq,a-pucikwar
apr,arop-lokep
aps,arop-sissano
apt,apatani
apu,apurinã
apv,alapmunt
apw,western apach
apx,aputai
apy,apalaí
apz,safeyok
aqc,archi
aqd,ampari dogo
aqg,arigidi
aqm,atohwaim
aqn,northern alt
aqp,atakap
aqr,arhâ
aqt,angaité
aqz,akunts
ara,arabic
arb,standard arabic
arc,imperial aramaic (700-300 bce)
arc,official aramaic (700-300 bce)
ard,arab
are,western arrarnt
arg,aragones
arh,arhuaco
ari,arikar
arj,arapaso
ark,arikapú
arl,arab
arn,mapuch
arn,mapud
aro,arao
arp,arapaho
arq,algerian arabic
arr,karo (brazil)
ars,najdi arabic
aru,arawá
aru,aruá (amazonas state)
arv,arbor
arw,arawak
arx,aruá (rodonia state)
ary,moroccan arabic
arz,egyptian arabic
asa,asu (tanzania)
asb,assiniboi
asc,casuarina coast asmat
asd,asas
ase,american sign
asf,aus
asf,australian sign
asg,cishingini
ash,abishir
asi,buruwai
asj,sari
ask,ashk
asl,asi
asm,assames
asn,xingú asuriní
aso,dano
asp,algerian sign
asq,austrian sign
asr,asuri
ass,ipulo
ast,asturi
ast,asturleones
ast,bab
ast,leones
asu,tocantins asurini
asv,aso
asw,australian aborigines sign
asx,muratayak
asy,yaosakor asmat
asz,as
ata,pele-at
atb,zaiw
atc,atsahuac
atd,ata manobo
ate,atemb
atg,ivbie north-okpela-arh
ati,attié
atj,atikamekw
atk,ati
atl,mt. iraya agt
atm,at
atn,ashtiani
ato,atong (cameroon)
atp,pudtol att
atq,aralle-tabulah
atr,waimiri-atroari
ats,gros ventr
att,pamplona att
atu,r
atv,northern altai
atw,atsugewi
atx,arutani
aty,aneityum
atz,art
aua,asumbo
auc,waorani
aud,anut
auh,aushi
aui,anuki
auj,awjilah
auk,heyo
aum,asu (nigeria)
aun,molmo o
auo,auyokaw
aup,makayam
auq,anus
auq,korur
aur,aruek
aut,austr
auu,auy
auw,awyi
aux,aurá
auy,awiy
auz,uzbeki arabic
ava,avaric
avb,av
avd,alviri-vidari
ave,avest
avi,avikam
avk,kotav
avl,eastern egyptian bedawi arabic
avm,angkamuthi
avn,avatim
avo,agavotaguerr
avs,aushiri
avu,avokay
avv,avá-canoeiro
awa,awadhi
awb,awa (papua new guinea)
awc,cicip
awe,awetí
awg,anguthimri
awh,awbono
awi,aekyom
awk,awabak
awm,arawum
awn,awngi
awo,awak
awr,awer
aws,south awy
awt,araweté
awu,central awy
awv,jair awy
aww,aw
awx,awar
awy,edera awy
axb,abipo
axe,ayerrer
axg,mato grosso arár
axk,yaka (central african republic)
axl,lower southern arand
axm,middle armeni
axx,xârâgurè
aya,awar
ayb,ayizo gb
ayc,southern aymar
ayd,ayabadh
aye,ayer
ayg,giny
ayh,hadrami arabic
ayi,leyigh
ayk,akuk
ayl,libyan arabic
aym,aymar
ayn,sanaani arabic
ayo,ayoreo
ayp,north mesopotamian arabic
ayq,ayi (papua new guinea)
ayr,central aymar
ays,sorsogon ayt
ayt,magbukun ayt
ayu,ay
ayy,tayabas ayt
ayz,mai brat
aza,azh
azb,south azerbaijani
azd,eastern durango nahuat
aze,azerbaijani
azg,san pedro amuzgos amuzgo
azj,north azerbaijani
azm,ipalapa amuzgo
azn,western durango nahuat
azo,awi
azt,faire att
azz,highland puebla nahuat
baa,babat
bab,bainouk-gunyuño
bac,badui
bae,baré
baf,nubac
bag,tuki
bah,bahamas creole english
baj,barakai
bak,bashkir
bal,baluchi
bam,bambar
ban,balines
bao,waimah
bap,bantaw
bar,bavari
bas,basa (cameroon)
bau,bada (nigeria)
bav,vengo
baw,bambili-bambui
bax,bam
bay,batuley
bba,baatonum
bbb,barai
bbc,batak tob
bbd,b
bbe,bangb
bbf,baibai
bbg,baram
bbh,b
bbi,barombi
bbj,ghomálá'
bbk,babanki
bbl,bats
bbm,babango
bbn,uneap
bbo,konabéré
bbo,northern bobo madaré
bbp,west central band
bbq,bamali
bbr,giraw
bbs,bakpink
bbt,mburk
bbu,kulung (nigeria)
bbv,karnai
bbw,bab
bbx,bubi
bby,bef
bbz,babalia creole arabic
bca,central bai
bcb,bainouk-samik
bcc,southern balochi
bcd,north babar
bce,bamenyam
bcf,bam
bcg,baga pokur
bch,bariai
bci,baoulé
bcj,bardi
bck,bunab
bcl,central biko
bcm,bannoni
bcn,bali (nigeria)
bco,kaluli
bcp,bali (democratic republic of congo)
bcq,bench
bcr,babi
bcs,kohumono
bct,bendi
bcu,awad bi
bcv,shoo-minda-ny
bcw,b
bcy,bacam
bcz,bainouk-gunyaamolo
bda,bayot
bdb,basap
bdc,emberá-baudó
bdd,bunam
bde,bad
bdf,bi
bdg,bonggi
bdh,baka (south sudan)
bdi,bur
bdj,bai
bdj,bai (south sudan)
bdk,budukh
bdl,indonesian baj
bdm,budum
bdn,baldem
bdo,morom
bdp,bend
bdq,bahnar
bdr,west coast baj
bds,bur
bdt,bokoto
bdu,oroko
bdv,bodo parj
bdw,baham
bdx,budong-budo
bdy,bandj
bdz,badeshi
bea,beaver
beb,beb
bec,iceve-maci
bed,bedoanas
bee,byangsi
bef,benab
beg,belait
beh,biali
bei,bekati'
bej,bedawiyet
bej,bej
bek,bebeli
bel,belarusi
bem,bemba (zambia)
ben,bengali
beo,beami
bep,beso
beq,beemb
bes,besm
bet,guiberoua bét
beu,blagar
bev,daloa bété
bew,betawi
bex,jur modo
bey,beli (papua new guinea)
bez,bena (tanzania)
bfa,bari
bfb,pauri bareli
bfc,northern bai
bfc,panyi bai
bfd,bafut
bfe,betaf
bfe,t
bff,bofi
bfg,busang kay
bfh,blaf
bfi,british sign
bfj,bafanji
bfk,ban khor sign
bfl,banda-ndélé
bfm,mm
bfn,bunak
bfo,malba birifor
bfp,beb
bfq,bad
bfr,bazigar
bfs,southern bai
bft,balti
bfu,gahri
bfw,bondo
bfx,bantayano
bfy,bagheli
bfz,mahasu pahari
bga,gwamhi-wuri
bgb,bobongko
bgc,haryanvi
bgd,rathwi bareli
bge,bauri
bgf,bangand
bgg,b
bgi,gi
bgj,bango
bgk,bit
bgk,buxinh
bgl,bo (laos)
bgn,western balochi
bgo,baga ko
bgp,eastern balochi
bgq,bagri
bgr,bawm chi
bgs,tagabaw
bgt,bughot
bgu,mbongno
bgv,warkay-bipim
bgw,bhatri
bgx,balkan gagauz turkish
bgy,benggoi
bgz,banggai
bha,bhari
bhb,bhili
bhc,bi
bhd,bhadrawahi
bhe,bhay
bhf,odiai
bhg,binander
bhh,bukharic
bhi,bhilali
bhj,bahi
bhl,bimi
bhm,bathari
bhn,bohtan neo-aramaic
bho,bhojpuri
bhp,bim
bhq,tukang besi south
bhr,bara malagasy
bhs,buw
bht,bhattiyali
bhu,bhunji
bhv,bah
bhw,biak
bhx,bhalay
bhy,bh
bhz,bada (indonesia)
bia,badimay
bib,bis
bib,biss
bic,bikar
bid,bidiyo
bie,bepour
bif,biafad
big,biangai
bij,vaghat-ya-bijim-legeri
bik,biko
bil,bi
bim,bimob
bin,bini
bin,edo
bio,nai
bip,bi
biq,bipi
bir,bisorio
bis,bislam
bit,berinomo
biu,biet
biv,southern birifor
biw,kol (cameroon)
bix,bijori
biy,birhor
biz,baloi
bja,budz
bjb,banggar
bjc,bariji
bje,biao-jiao mi
bjf,barzani jewish neo-aramaic
bjg,bidyogo
bjh,bahinemo
bji,burji
bjj,kanauji
bjk,barok
bjl,bulu (papua new guinea)
bjm,bajelani
bjn,banjar
bjo,mid-southern band
bjp,fanamaket
bjr,binumari
bjs,baj
bjt,balanta-ganj
bju,bus
bjv,bedjond
bjw,bakwé
bjx,banao it
bjy,bayali
bjz,bar
bka,kyak
bkc,baka (cameroon)
bkd,binukid
bkd,talaandi
bkf,beek
bkg,burak
bkh,bakoko
bki,baki
bkj,pand
bkk,brokskat
bkl,berik
bkm,kom (cameroon)
bkn,bukit
bko,kwa'
bkp,boko (democratic republic of congo)
bkq,bakairí
bkr,bakumpai
bks,northern sorsogano
bkt,boloki
bku,buhid
bkv,bekwarr
bkw,bekw
bkx,baikeno
bky,bokyi
bkz,bungk
bla,siksik
blb,bi
blc,bella coo
bld,bolango
ble,balanta-kentoh
blf,buo
blg,b
blh,kuw
bli,boli
blj,bolo
blk,pa'o
blk,pa'o kar
bll,biloxi
blm,beli (south sudan)
bln,southern catanduanes biko
blo,anii
blp,blab
blq,baluan-pam
blr,b
bls,balaes
blt,tai dam
blv,bolo
blv,kib
blw,balangao
blx,mag-indi ayt
bly,notr
blz,balantak
bma,lam
bmb,bemb
bmc,biem
bmd,baga manduri
bme,limass
bmf,bom-kim
bmg,bamw
bmh,kei
bmi,bagirmi
bmj,bote-majhi
bmk,ghayavi
bml,bomboli
bmm,northern betsimisaraka malagasy
bmn,bina (papua new guinea)
bmo,bamb
bmp,bulgebi
bmq,bom
bmr,mui
bms,bilma kanuri
bmt,biao mo
bmu,somba-siawari
bmv,bum
bmw,bomwali
bmx,baimak
bmz,baram
bna,bonerat
bnb,book
bnc,bontok
bnd,banda (indonesia)
bne,bint
bnf,masiw
bng,b
bni,bangi
bnj,eastern tawbuid
bnk,bierebo
bnl,boo
bnm,bat
bnn,b
bno,bantoano
bnp,bo
bnq,bantik
bnr,butmas-tur
bns,bundeli
bnu,bento
bnv,beneraf
bnv,bonerif
bnv,edwas
bnw,bisis
bnx,bangub
bny,bint
bnz,beez
boa,bor
bob,aweer
bod,tibet
boe,mundabli
bof,bolo
bog,bamako sign
boh,bom
boi,barbareño
boj,anjam
bok,bonjo
bol,bo
bom,berom
bon,bi
boo,tiemacèwè bozo
bop,bonkim
boq,bogay
bor,borôro
bos,bosni
bot,bongo
bou,bondei
bov,tuwuli
bow,rem
box,buam
boy,bodo (central african republic)
boz,tiéyaxo bozo
bpa,daakak
bpb,barbacoas
bpd,banda-band
bpg,bonggo
bph,botlikh
bpi,bagupi
bpj,binji
bpk,'ôrôê
bpk,orow
bpl,broome pearling lugger pidgi
bpm,biyom
bpn,dzao mi
bpo,anasi
bpp,kaur
bpq,banda malay
bpr,koronadal b
bps,sarangani b
bpt,barrow point
bpu,bo
bpv,bian marind
bpw,bo (papua new guinea)
bpx,palya bareli
bpy,bishnupriy
bpz,bilb
bqa,tchumbuli
bqb,bagus
bqc,boko (benin)
bqc,boo
bqd,b
bqf,baga kaloum
bqg,bago-kusunt
bqh,baim
bqi,bakhtiari
bqj,bandi
bqk,banda-mbrès
bql,bilakur
bqm,wumboko
bqn,bulgarian sign
bqo,balo
bqp,bus
bqq,biritai
bqr,burus
bqs,bos
bqt,bamukumbit
bqu,bogur
bqv,begbere-ejar
bqv,koro wachi
bqw,buru (nigeria)
bqx,baangi
bqy,bengkala sign
bqz,bakak
bra,braj
brb,lav
brc,berbice creole dutch
brd,baraam
bre,breto
brf,ber
brg,baur
brh,brahui
bri,mokpw
brj,bieri
brk,birked
brl,birw
brm,baramb
brn,boruc
bro,brokkat
brp,barapasi
brq,breri
brr,birao
brs,baras
brt,bitar
bru,eastern br
brv,western br
brw,bellari
brx,bodo (india)
bry,burui
brz,bilbi
bsa,abinom
bsb,brunei bisay
bsc,bassari
bsc,oniy
bse,wushi
bsf,bauchi
bsg,bashkardi
bsh,kati
bsi,bassossi
bsj,bangwinji
bsk,burushaski
bsl,basa-gum
bsm,busami
bsn,barasana-eduri
bso,buso
bsp,baga sitem
bsq,bass
bsr,bassa-kontagor
bss,akoos
bst,basketo
bsu,bahonsuai
bsv,baga sobané
bsw,baiso
bsx,yangkam
bsy,sabah bisay
bta,bat
btc,bati (cameroon)
btd,batak dairi
bte,gamo-ningi
btf,birgit
btg,gagnoa bété
bth,biatah bidayuh
bti,burat
btj,bacanese malay
btm,batak mandaili
btn,ratagno
bto,rinconada biko
btp,budibud
btq,batek
btr,baetor
bts,batak sim
btt,bete-bendi
btu,bat
btv,bateri
btw,butuano
btx,batak karo
bty,bobot
btz,batak alas-kluet
bua,buriat
bub,b
buc,bushi
bud,ntcham
bue,beothuk
buf,bushoo
bug,bugines
buh,younuo b
bui,bongili
buj,basa-gurm
buk,bugawac
bul,bulgari
bum,bulu (cameroon)
bun,sherbro
buo,terei
bup,buso
buq,brem
bus,bokobar
but,bungai
buu,bud
buv,b
buw,bubi
bux,boghom
buy,bullom so
buz,bukw
bva,barei
bvb,bub
bvc,b
bvd,b
bve,berau malay
bvf,boor
bvg,bonk
bvh,bur
bvi,belanda viri
bvj,b
bvk,bukat
bvl,bolivian sign
bvm,bamunk
bvn,b
bvo,bolgo
bvp,bum
bvq,birri
bvr,burarr
bvt,bati (indonesia)
bvu,bukit malay
bvv,baniv
bvw,bo
bvx,dibo
bvy,baybayano
bvz,bauzi
bwa,bwatoo
bwb,namosi-naitasiri-ser
bwc,bwi
bwd,bwaidok
bwe,bwe kar
bwf,boselew
bwg,barw
bwh,bishuo
bwi,baniw
bwj,láá láá bwam
bwk,bauwaki
bwl,bw
bwm,biwat
bwn,wunai b
bwo,borna (ethiopia)
bwo,boro (ethiopia)
bwp,mandobo bawah
bwq,southern bobo madaré
bwr,bura-pabir
bws,bombom
bwt,bafaw-balo
bwu,buli (ghana)
bww,bw
bwx,bu-nao b
bwy,cwi bwam
bwz,bwisi
bxa,tairah
bxb,belanda bor
bxc,mo
bxd,p
bxe,bir
bxf,bilur
bxf,minigir
bxg,b
bxh,buhut
bxi,pirlatap
bxj,bay
bxk,bukus
bxk,lubukus
bxl,jalk
bxm,mongolia buriat
bxn,burd
bxo,barikanchi
bxp,bebi
bxq,b
bxr,russia buriat
bxs,busam
bxu,china buriat
bxv,berako
bxw,bankagoom
bxz,binahari
bya,batak
byb,biky
byc,ubaghar
byd,benyadu'
bye,pouy
byf,bet
byg,baygo
byh,bhuj
byi,buy
byj,bina (nigeria)
byk,biao
byl,bayono
bym,bidyar
byn,bili
byn,bli
byo,biyo
byp,bumaji
byq,basay
byr,baruy
byr,yipm
bys,burak
byt,berti
byv,medumb
byw,belhariy
byx,qaqet
byz,banaro
bza,bandi
bzb,andio
bzc,southern betsimisaraka malagasy
bzd,bribri
bze,jenaama bozo
bzf,boiki
bzg,babuz
bzh,mapos b
bzi,bis
bzj,belize kriol english
bzk,nicaragua creole english
bzl,boano (sulawesi)
bzm,bolondo
bzn,boano (maluku)
bzo,bozab
bzp,kemberano
bzq,buli (indonesia)
bzr,biri
bzs,brazilian sign
bzt,britheni
bzu,burmeso
bzv,naami
bzw,basa (nigeria)
bzx,kɛlɛngaxo bozo
bzy,obanlik
bzz,evant
caa,chortí
cab,garif
cac,chuj
cad,caddo
cae,lehar
caf,southern carrier
cag,nivaclé
cah,cahuarano
caj,chané
cak,cakchiq
cak,kaqchik
cal,carolini
cam,cemuhî
can,chambri
cao,chácobo
cap,chipay
caq,car nicobares
car,galibi carib
cas,tsimané
cat,cat
cat,valenci
cav,cavineñ
caw,callaw
cax,chiquitano
cay,cay
caz,canich
cbb,cabiyarí
cbc,carap
cbd,carijo
cbg,chimi
cbi,chachi
cbj,ede cab
cbk,chavacano
cbl,bualkhaw chi
cbn,nyahkur
cbo,izor
cbq,cub
cbq,tsucub
cbr,cashibo-cacataibo
cbs,cashinah
cbt,chayahuit
cbu,candoshi-shapr
cbv,cac
cbw,kinabali
cby,carabayo language|carabayo
cca,cauc
ccc,chamicuro
ccd,cafundo creo
cce,chopi
ccg,samba dak
cch,atsam
ccj,kas
ccl,cutchi-swahili
ccm,malaccan creole malay
cco,comaltepec chinantec
ccp,chakm
ccr,cacaopera_language|cacaoper
cda,choni
cde,chench
cdf,chir
cdg,chamari
cdh,chambeali
cdi,chodri
cdj,churahi
cdm,chep
cdn,chaudangsi
cdo,min dong chines
cdr,cinda-regi-tiy
cds,chadian sign
cdy,chado
cdz,kod
cea,lower chehalis
ceb,cebuano
ceg,chamacoco
cek,eastern khumi chi
cen,c
ces,czech
cet,centúúm
cfa,dijim-bwilim
cfd,car
cfg,como karim
cfm,falam chi
cga,changriw
cgc,kagay
cgg,chi
cgk,chocangacakh
cha,chamorro
chb,chibch
chc,catawb
chd,highland oaxaca chont
che,chech
chf,tabasco chont
chg,chagatai
chh,chinook
chj,ojitlán chinantec
chk,chuukes
chl,cahui
chm,mari (russia)
chn,chinook jargo
cho,choctaw
chp,chipewy
chp,dene suli
chq,quiotepec chinantec
chr,cherok
cht,choló
chu,church slavic
chu,church slavonic
chu,old bulgari
chu,old church slavonic
chu,old slavonic
chv,chuvash
chw,chuwab
chx,chanty
chy,chey
chz,ozumacín chinantec
cia,cia-ci
cib,ci gb
cic,chickasaw
cid,chimariko
cie,cineni
cih,chinali
cik,chitkuli kinnauri
cim,cimbri
cin,cinta lar
cip,chiapanec
cir,hamé
cir,mé
cir,tiri
ciw,chippew
ciy,chaim
cja,western cham
cje,chr
cjh,upper chehalis
cji,cham
cjk,chokw
cjm,eastern cham
cjn,chenapi
cjo,ashéninka pajo
cjp,cabécar
cjs,shor
cjv,chuav
cjy,jinyu chines
ckb,central kurdish
ckh,chak
ckl,cibak
ckn,kaang chi
cko,anufo
ckq,kajaks
ckr,kairak
cks,tayo
ckt,chukot
cku,koasati
ckv,kav
ckx,cak
cky,cakfem-musher
ckz,cakchiquel-quiché mixed
cla,ro
clc,chilcoti
cld,chaldean neo-aramaic
cle,lealao chinantec
clh,chilisso
cli,chakali
clj,laitu chi
clk,idu-mishmi
cll,ch
clm,clallam
clo,lowland oaxaca chont
clt,lautu chi
clu,caluy
clw,chulym
cly,eastern highland chatino
cma,m
cme,cerm
cmg,classical mongoli
cmi,emberá-chamí
cml,campalagi
cmm,michigam
cmn,mandarin chines
cmo,central mno
cmr,mro-khimi chi
cms,messapic
cmt,camtho
cna,changth
cnb,chinbon chi
cnc,côô
cng,northern qi
cnh,haka chi
cnh,hakha chi
cni,ashánink
cnk,khumi chi
cnl,lalana chinantec
cno,co
cnr,montenegri
cns,central asmat
cnt,tepetotutla chinantec
cnu,cheno
cnw,ngawn chi
cnx,middle cornish
coa,cocos islands malay
cob,chicomuceltec
coc,cocop
cod,cocama-cocami
coe,koreguaj
cof,colorado
cog,cho
coh,chichonyi-chidzihana-chikaum
coh,chonyi-dzihana-kaum
coj,cochimi
cok,santa teresa cor
col,columbia-wenatchi
com,comanch
con,cofá
coo,comox
cop,coptic
coq,coqui
cor,cornish
cos,corsic
cot,caquint
cou,wamey
cov,cao miao
cow,cowlitz
cox,nanti
coz,chochotec
cpa,palantla chinantec
cpb,ucayali-yurúa ashénink
cpc,ajyíninka apurucayali
cpg,cappadocian greek
cpi,chinese pidgin english
cpn,cherepo
cpo,kpeego
cps,capizno
cpu,pichis ashénink
cpx,pu-xian chines
cpy,south ucayali ashénink
cqd,chuanqiandian cluster miao
cra,char
crb,island carib
crc,lonwolwo
crd,coeur d'
cre,cr
crf,caramant
crg,michif
crh,crimean tatar
crh,crimean turkish
cri,sãotomens
crj,southern east cr
crk,plains cr
crl,northern east cr
crm,moose cr
crn,el nayar cor
cro,crow
crq,iyo'wujwa chorot
crr,carolina algonqui
crs,seselwa creole french
crt,iyojwa'ja chorot
crv,chaur
crw,chr
crx,carrier
cry,cori
crz,cruzeño
csa,chiltepec chinantec
csb,kashubi
csc,catalan sign
csc,lengua de señas cat
csc,llengua de signes cat
csd,chiangmai sign
cse,czech sign
csf,cuba sign
csg,chilean sign
csh,asho chi
csi,coast miwok
csj,songlai chi
csk,jola-kas
csl,chinese sign
csm,central sierra miwok
csn,colombian sign
cso,sochiapam chinantec
cso,sochiapan chinantec
csq,croatia sign
csr,costa rican sign
css,southern ohlo
cst,northern ohlo
csv,sumtu chi
csw,swampy cr
csy,siyin chi
csz,coos
cta,tataltepec chatino
ctc,chetco
ctd,tedim chi
cte,tepinapa chinantec
ctg,chittagoni
cth,thaiphum chi
ctl,tlacoatzintepec chinantec
ctm,chitimach
ctn,chhint
cto,emberá-catío
ctp,western highland chatino
cts,northern catanduanes biko
ctt,wayanad chetti
ctu,cho
ctz,zacatepec chatino
cua,c
cub,cubeo
cuc,usila chinantec
cug,chungmboko
cug,c
cuh,chuk
cuh,gichuk
cui,cuib
cuj,mashco piro
cuk,san blas k
cul,culi
cul,kuli
cuo,cumanagoto
cup,cupeño
cuq,c
cur,chh
cut,teutila cuicatec
cuu,tai y
cuv,cuvok
cuw,chukw
cux,tepeuxila cuicatec
cuy,cuitlatec
cvg,ch
cvn,valle nacional chinantec
cwa,kabw
cwb,maindo
cwd,woods cr
cwe,kwer
cwg,cheq wo
cwg,chewo
cwt,kuwaataay
cya,nopala chatino
cyb,cayubab
cym,welsh
cyo,cuyono
czh,huizhou chines
czk,knaanic
czn,zenzontepec chatino
czo,min zhong chines
czt,zotung chi
daa,dangaléat
dac,dambi
dad,marik
dae,duup
dag,dagbani
dah,gwahatik
dai,day
daj,dar fur daj
dak,dakot
dal,dahalo
dam,damakaw
dan,danish
dao,daai chi
daq,dandami mari
dar,dargw
das,daho-doo
dau,dar sila daj
dav,dawid
dav,tait
daw,davawenyo
dax,dayi
daz,dao
dba,bangim
dbb,deno
dbd,dadiy
dbe,dab
dbf,edopi
dbg,dogul dom dogo
dbi,dok
dbj,ida'
dbl,dyirb
dbm,duguri
dbn,durianker
dbo,dulb
dbp,duwai
dbq,dab
dbr,dabarr
dbt,ben tey dogo
dbu,bondum dom dogo
dbv,d
dbw,bankan tey dogo
dby,dibiyaso
dcc,decc
dcr,negerhollands
dda,dadi dadi
ddd,dongotono
dde,doondo
ddg,fataluk
ddi,west goodenough
ddj,jar
ddn,dendi (benin)
ddo,dido
ddr,dhudhuro
dds,donno so dogo
ddw,dawera-daweloor
dec,dagik
ded,ded
dee,dewoi
def,dezfuli
deg,degem
deh,dehwari
dei,demis
dek,dek
del,delawar
dem,dem
den,slave (athapascan)
dep,pidgin delawar
deq,dendi (central african republic)
der,deori
des,desano
deu,germ
dev,dom
dez,denges
dga,southern dagaar
dgb,bunoge dogo
dgc,casiguran dumagat agt
dgd,dagaari dio
dge,d
dgg,do
dgh,dghwed
dgi,northern dagar
dgk,dagb
dgl,andaandi
dgl,dongolawi
dgn,dagom
dgo,dogri (individual language)
dgr,dogrib
dgs,dogoso
dgt,ndra'ngith
dgu,degar
dgw,daungwurr
dgx,doghoro
dgz,d
dhd,dhundari
dhg,dh
dhg,dhangu-dj
dhg,dj
dhi,dhim
dhl,dhalandji
dhm,zemb
dhn,dhanki
dho,dhodi
dhr,dhargari
dhs,dhaiso
dhu,dhur
dhv,deh
dhv,dreh
dhw,dhanwar (nepal)
dhx,dhungaloo
dia,di
dib,south central dink
dic,lakota did
